word,pop,hip hop,not available,rock,metal,other,country,jazz,electronic,folk,r b,indie
liable,0.7312638104535072,3.184344109980738,0.41195901130721335,4.09635368880924,0.4677582054906722,0.0,0.17384549475293673,0.944477373062799,0.10975140648811982,0.0,0.34615961583842814,0.0
liar,24.895330193078337,13.024057988049929,11.309816691456058,84.25487645676913,24.9714180007254,2.9724089531903424,7.310623640691032,3.043310487463817,4.829325902474201,0.8441508236839417,2.613793737894399,1.9633188681057092
liars,3.9832851841922032,6.544202767523795,2.865887542069704,26.148808936886027,11.083880218202117,1.7935871448252056,2.0210055936099955,0.41142363982653035,0.6796590464825827,0.7157482148079769,0.2786752841087399,0.13744122453775542
lib,3.6667764848126256,1.2473048762229744,6.091678261312529,3.3718211876982065,0.24757201436602516,0.16810534821617748,0.0,0.4790401845829574,0.2554579110602989,0.21651182078522152,0.5271823689099697,0.07305226827838361
liberate,0.9013491825241216,0.5206731446313513,0.8757880198561274,10.168389571009836,4.530212467689544,0.08423029268783905,0.23892749502771815,0.0,0.3521598005779627,0.0,0.19724921485430114,0.0
liberation,1.7445527317349554,1.8645046352688297,0.9193461367723632,10.640592069252127,7.33824379477612,0.14028551901614209,0.0,0.5510308254980758,0.7547317749242224,0.0476844807882693,0.7034030003397963,0.533807601376663
liberty,11.991043263825384,5.418724364919569,6.371373035969045,32.74863260746335,11.808589305477495,1.000879821077305,1.4291830056967263,0.6956250760903758,1.65717960641877,0.9808071193370277,0.7536837190370149,0.6952014612184334
library,1.9338565926214781,2.7230597597640296,1.1045376593519567,7.7922163618809615,1.037135395577472,0.06957260181905024,0.2879150497572413,0.2022303731427718,0.40804982527176564,0.0,0.0,0.6898011512799015
libs,2.4451491047892646,4.442470569389294,1.619843853773106,0.93210636163929,0.41995687069659404,0.053945319100723824,0.0,0.4193713119342195,0.5862847576588103,0.0,0.0,0.0
license,3.7032224520257735,10.598903046314554,1.405024642906936,11.090054247088444,2.367910653364796,0.3292052967094225,2.257625548839912,0.7715117360432315,0.8777105031956733,0.13034039167830594,0.46501572267133606,0.3957738680249896
lick,11.777934789652036,54.83314428893262,8.519280078088144,42.2737305534477,14.871938508588249,2.1468831362673475,2.7607598570768266,1.9455297830834,6.780490577137738,0.0,0.6996546870260805,1.1175563788599732
licked,2.0340482243357902,6.166158852863999,0.8088070463211856,7.809145472601831,4.348347595312545,0.19531300774381866,1.1126226608146845,0.4208739801116198,0.2009061132965373,0.08176045142838193,0.13543905215807137,1.0592490906553629
lickin,1.8271125637317551,12.698817064488944,0.8933142285811915,8.77764396937278,0.7519505891196012,0.2874131478251989,0.639540947020821,0.504715473538438,0.5105597496698431,0.0,0.6195503230248323,0.0
licking,2.9481287726359944,7.862256958198501,1.0113577029807284,14.54319426390462,8.006880292272779,0.4553035059270648,0.3812197488400828,0.24307410811634042,1.3503552762773832,0.10587950628433794,0.08603778240259365,0.6681129619119421
licks,1.3531755458773045,9.184815785913042,2.074455411236063,8.760907076711858,3.5234261992050593,0.5170297119922915,1.1712799436334072,0.4821741247707366,0.29451341470437564,0.0,0.36149191518432133,0.21847052069443423
lid,1.7254262446246649,4.676130898977547,0.9458138983211639,10.986849639351696,5.700006391958768,0.0720568706050323,1.3152877497241109,0.2867923192285102,0.7385007459665945,0.0,0.0,1.1194265296487689
lids,0.4590784282252778,2.4850326201921233,0.27343501028171746,5.414022018251104,4.3488303409458675,0.27575543648060064,0.09260701894313912,0.7511915956297036,0.4745680544183704,0.23905789488071144,0.10563561147835072,0.38888781700970865
lie,152.15732005129192,83.81945289855447,62.43504041668802,496.38016456868513,128.84153389974418,17.838232601069244,57.669079163992315,20.541400311338027,25.879888871156947,8.123889648946584,16.617506246712583,14.64220891298761
lied,28.937893025280975,13.139934395933949,13.508318517301522,94.33022930372512,15.15411597560063,1.8971132347937694,9.794750314896636,2.6921636416946564,5.1346791436154025,1.9944648914803482,5.693474453238891,2.063613535317306
lies,124.81963072241686,49.68994093166741,66.22015662845557,462.7140772521198,199.80608026063794,14.723677058380321,39.60083789171588,17.036699068293988,27.549323654510847,6.560926190481475,10.907435329562425,9.148265085945203
life,575.5231228261532,369.6596508833963,293.6163842897325,1532.9656028446764,502.5819700197238,60.423919879614026,195.1272361637263,95.26783487291044,105.94274890697693,21.52324400228305,53.64439740599073,39.93190494656488
lifeless,2.1934369731665244,2.984626233289341,2.881395035100339,20.431423839706884,32.09769621388245,0.3879995590705785,0.7416832347964312,0.0,0.6165342249419181,0.15229225969332622,0.4949178619815887,0.5588333759977353
lifeline,8.459399045277774,2.2474453273948383,1.340042122886173,16.320451416753286,3.4918896447812298,0.3928540517405385,0.26324691713461473,0.3193542494249628,1.1243788154134362,0.08808638287661327,0.4347309139726393,0.3559228529909968
lifelong,2.5467747451655494,0.50691581033631,0.9989808939937027,4.500189053424237,1.3517115413418943,0.0,0.5534597177327585,0.5945699975867806,0.4062721606695634,0.0,0.08437451288731351,0.14501985464254072
lifes,45.802999149090176,33.193738606614936,27.738300896251065,149.764137351263,42.28862198768566,6.4290443479448705,29.444072393195984,9.519433184987506,5.453789600299315,1.6278517772147187,3.9827229700744753,1.751908402760381
lifestyle,4.117570768568317,18.03977632777551,2.454895566363481,12.704468078092475,3.424251952824086,0.5929471447558601,0.7828363060936061,0.19341509558441577,0.7322192458422858,0.3131289022311501,0.06707162857323998,0.13026933830890172
lifetime,37.24804920477918,14.201598131179933,18.232205284917836,90.8420492256179,21.19754970856303,3.3777586880607897,18.113964380195473,7.93144786523879,6.045762837227722,1.7416461147939781,2.791249895400675,1.3065593599087058
lifetimes,3.447999948464011,0.7313771294992107,2.5262136282673193,9.011263045380721,3.4561875139005784,0.0,2.269453027741304,0.0,1.0074894903833518,0.0,0.0,0.15123134187539397
lift,46.31725492313528,36.96872331300739,27.77502411628057,126.13974451569383,19.654873919248303,6.120027515818364,10.998063101132495,3.8001152776987746,10.877749592192874,4.534871359948899,1.919067020919365,4.646294337294664
lifted,12.392092427307645,13.499120410695982,8.104702358546444,34.234812139325314,6.030081308705098,2.620594331571091,7.2369454362843575,1.6532646686533248,0.7978917735089861,0.8362672664039623,1.086756906871334,1.2384307872538272
liftin,1.270472170631113,3.7077801415894664,1.2909779814938458,3.7126436693362166,0.1426497834925157,0.0,1.328249505680271,0.6308796795151356,0.0,0.0,0.0,0.0
