,2000s,2010s,1990s,1970s,1980s
done,20375,10054,756,158,211
dong,557,142,12,22,0
donkey,161,105,4,1,0
donna,258,63,7,5,1
dontcha,166,94,2,0,1
donuts,82,40,0,0,1
doo,3830,2012,263,273,64
doobie,95,59,2,0,0
dooby,159,37,1,0,18
doodle,131,41,10,1,0
doom,1045,234,23,3,9
doomed,434,144,9,0,3
doomsday,90,34,2,0,1
doop,228,79,17,0,1
door,15269,6177,731,167,206
doorbell,96,21,3,0,0
doors,2358,1042,60,19,24
doorstep,138,96,11,5,2
doorway,368,148,26,6,3
doot,355,100,16,16,0
dope,2543,2315,64,7,10
dopest,60,50,3,0,0
dorado,129,17,3,0,0
dormant,97,26,0,1,1
dos,224,111,9,1,0
dose,298,167,12,0,0
dot,580,355,10,0,2
doth,164,24,3,0,1
dots,141,90,7,1,1
dotted,151,47,3,0,2
double,3112,1641,107,16,19
doubt,4948,2236,196,30,42
doubted,136,75,8,0,6
doubting,94,58,2,3,0
doubts,630,328,17,5,8
doug,65,48,10,0,0
dough,1797,864,73,4,3
dougie,10,153,1,0,0
dove,789,233,46,6,4
doves,167,134,13,0,0
dovey,96,27,4,0,0
dow,184,36,5,0,1
downfall,239,102,2,2,1
downhill,77,40,6,0,0
download,79,38,0,0,0
downs,429,196,20,6,2
downstairs,194,80,8,0,0
downtown,1288,536,72,14,23
downward,116,37,5,1,1
dozen,497,174,17,6,3
dr,896,324,16,3,5
draft,152,65,4,0,4
drag,1964,818,71,19,18
dragged,392,155,16,3,3
draggin,171,72,15,2,1
dragging,374,241,13,1,6
dragon,535,195,16,4,4
dragonfly,90,24,2,0,0
dragons,304,56,7,5,3
drags,197,60,9,0,2
drain,685,332,25,10,3
drained,312,108,9,0,5
draining,144,36,2,0,1
drains,116,31,3,0,2
drake,100,206,2,0,0
drama,1678,677,31,1,1
dramatic,131,74,3,0,0
drank,1038,532,35,5,9
draped,178,94,5,2,0
drastic,195,57,1,1,1
draw,1551,822,74,16,21
drawer,177,100,6,1,1
drawers,320,92,12,0,1
drawing,442,179,29,4,1
drawn,936,430,31,11,16
draws,426,193,27,5,6
dre,907,333,40,0,0
dread,588,220,97,44,20
dreadful,193,63,13,1,5
dreadlock,66,13,39,0,5
dreads,118,59,68,0,0
dream,21460,9271,1020,181,234
dreamed,1647,624,87,22,17
dreamer,704,316,20,3,21
dreamers,340,203,14,1,8
dreamin,1408,443,60,10,10
dreaming,4260,2138,178,23,33
dreamland,118,28,4,0,0
dreamless,77,36,7,3,0
dreams,17951,7143,720,182,194
dreamt,406,229,12,0,2
dreamy,170,65,5,1,0
dreary,164,50,9,3,0
drenched,203,58,4,1,1
dres,94,14,20,0,0
dress,2860,1355,117,31,28
dressed,2067,880,129,21,20
dresser,120,91,7,0,0
dresses,300,86,10,4,2
dressing,197,130,16,2,1
drew,516,248,32,6,1
dried,511,150,16,1,4
dries,101,56,0,0,0
drift,1140,494,48,6,7
drifted,289,93,12,2,3
drifter,123,26,11,0,7
driftin,182,94,35,3,0
drifting,1110,434,38,29,17
drifts,181,48,6,1,2
driftwood,73,47,0,1,0
drill,312,165,7,2,2
drink,7273,3765,266,80,57
drinkin,1338,539,73,17,15
drinking,1905,1306,71,24,26
drinks,1001,719,33,4,7
drip,771,525,52,0,3
drippin,219,219,6,1,2
dripping,487,310,8,1,2
drips,237,81,17,1,5
drive,6681,3192,305,55,57
driven,727,219,21,8,8
driver,611,294,20,5,6
drivers,214,70,5,3,3
drives,1002,393,32,11,22
driveway,195,118,4,0,0
drivin,1167,384,70,10,5
driving,2634,1443,79,27,26
drizzy,41,82,0,0,0
dro,382,143,1,0,0
drone,103,62,1,0,0
drool,143,53,4,5,0
drop,7480,4769,209,27,34
dropped,1337,625,44,3,47
droppin,653,248,20,0,2
dropping,550,437,14,3,4
drops,1034,392,35,7,1
drought,178,140,4,0,0
drove,1442,584,66,27,7
drown,2273,1222,73,18,33
drowned,638,241,18,10,4
drownin,114,42,4,0,0
drowning,1489,836,56,7,4
drowns,152,86,4,1,3
drug,1676,872,42,7,6
drugged,92,19,0,0,1
drugs,1828,1011,33,1,9
drum,1414,822,57,7,24
drummer,274,155,21,1,2
drumming,81,58,2,0,1
drums,1124,420,61,14,9
drunk,2890,1734,101,18,44
drunken,409,123,11,3,1
drunks,87,27,1,1,1
dry,4108,1593,169,45,47
drying,102,62,6,0,0
ds,332,104,5,0,2
du,933,415,27,1,0
dub,532,172,10,1,12
dublin,108,44,9,0,0
dubs,268,66,3,0,0
duck,989,416,29,5,5
duckin,213,46,8,2,0
ducking,108,63,1,1,0
ducks,114,45,4,0,1
duct,104,43,1,0,0
dude,1311,847,23,0,3
dudes,598,347,12,3,1
due,862,327,33,10,11
dues,594,220,31,8,12
duet,110,18,3,0,0
dug,485,176,25,4,3
duh,283,111,2,0,0
duke,363,58,18,6,1
dukes,133,55,4,0,0
dull,506,162,20,1,6
dum,755,473,44,0,34
dumb,3012,1387,103,28,23
dummy,305,118,4,2,2
dump,504,205,21,0,0
dumped,147,36,4,0,1
dumpin,139,17,8,0,0
dun,445,125,12,0,0
dung,198,31,2,0,0
dungeon,200,101,4,0,0
dunk,102,46,5,0,0
dunn,114,14,7,0,0
dunno,169,64,6,1,1
dup,106,44,0,0,0
dusk,544,158,15,1,3
dust,3775,1566,141,43,47
dusted,98,27,24,0,3
dusty,546,219,11,7,7
dutch,229,146,7,0,1
duty,410,193,16,5,4
dweet,27,86,0,0,0
dwell,679,182,20,2,4
dwelling,143,55,5,0,0
dwells,166,44,4,1,1
dye,118,79,6,0,1
dyin,1037,265,48,8,9
dying,5730,2301,192,37,40
dyke,89,52,3,0,0
dylan,89,48,4,4,2
dynamite,383,235,35,4,1
dynasty,85,29,0,0,0
dyou,172,55,13,5,4
ea,125,40,36,2,0
eachother,104,35,5,0,0
eager,334,124,19,2,2
eagle,744,305,31,12,13
eagles,284,91,12,0,1
eah,69,120,13,2,2
ear,2311,1053,99,20,20
earl,274,61,16,0,1
earlier,105,39,2,0,0
early,2721,1101,216,40,50
earn,500,286,17,3,11
earned,393,209,14,0,4
earrings,108,26,4,0,0
ears,2218,830,80,22,24
earth,8282,3085,291,54,99
earthly,279,68,28,2,2
earthquake,194,126,8,3,0
earthquakes,87,28,2,2,0
earths,217,64,10,0,0
ease,2213,792,104,30,21
easier,1136,469,37,3,4
easily,1271,534,39,12,16
east,2472,1008,143,45,13
easter,134,52,7,2,3
eastern,215,62,9,3,4
eastside,188,63,9,0,0
easy,11516,4914,517,137,120
eat,5798,2596,200,60,47
eaten,327,80,5,2,4
eater,71,41,4,0,2
eatin,609,257,28,2,1
eating,1122,642,30,3,10
eats,418,122,6,4,4
eazy,330,103,94,1,0
ebb,93,44,1,0,0
ebony,123,30,14,1,1
echo,1015,570,37,5,6
echoed,103,25,4,1,0
echoes,767,257,29,5,7
echoing,174,96,5,2,0
eclipse,249,112,3,2,1
economy,143,72,5,4,3
ecstacy,124,28,5,1,0
ecstasy,896,380,46,4,20
ed,468,133,10,5,2
eddie,283,50,10,0,3
eden,418,111,27,2,2
edge,2789,1421,108,17,16
edges,185,98,7,0,1
edition,71,74,2,0,0
educated,185,68,6,7,3
education,390,104,11,0,5
ee,728,358,43,11,8
eee,148,63,1,1,0
eerie,101,29,3,1,0
effect,546,177,39,5,3
effects,262,88,5,3,1
effort,256,107,4,2,0
efforts,126,34,1,0,0
egg,299,117,11,8,10
eggs,356,136,26,3,5
ego,772,418,17,5,19
egos,140,55,3,0,0
egypt,108,30,3,0,0
egyptian,78,40,1,0,1
eh,1688,2675,86,20,15
ehh,121,80,0,0,1
ei,95,21,7,0,0
eight,2165,712,97,29,24
eightball,131,4,1,0,0
eighteen,437,173,25,1,11
eighth,138,62,6,2,0
eighty,536,219,22,4,6
eiht,130,2,1,0,0
ein,119,6,0,0,0
either,1927,1117,68,14,13
el,1272,321,25,0,14
elastic,90,41,3,2,1
elation,90,31,0,2,0
elbow,127,29,4,0,4
elbows,129,62,3,0,0
elder,125,33,3,1,4
elders,104,39,8,1,0
elected,111,19,6,0,1
election,91,26,1,0,1
electric,1234,574,49,14,15
electrical,70,48,0,0,0
electricity,195,111,4,1,5
electronic,112,63,3,1,0
elegant,123,45,5,1,2
element,159,57,1,1,1
elementary,106,29,2,0,0
elements,259,65,3,0,1
elephant,295,106,7,1,2
elephants,182,72,18,4,0
elevate,163,130,6,1,0
elevator,289,179,2,2,9
eleven,649,245,23,4,3
eliminate,189,51,5,0,2
elite,144,47,4,0,1
elizabeth,76,53,3,1,3
ella,164,48,20,1,0
elle,126,14,1,0,0
else,11975,5513,461,100,116
elses,824,332,35,1,4
elsewhere,114,46,5,0,0
elusive,119,57,1,9,0
elves,108,7,6,0,0
elvis,512,121,37,0,6
em,23863,13864,691,83,110
email,58,75,1,0,0
embarrassed,141,75,5,0,1
embedded,100,33,4,0,0
ember,94,53,3,2,3
embers,208,110,7,1,1
embrace,1962,949,83,4,10
embraced,266,57,2,0,1
embraces,132,40,7,5,1
embracing,190,73,5,4,0
emcee,173,42,5,0,0
emcees,317,77,13,0,1
emerald,149,55,10,2,0
emerge,142,41,2,2,5
emergency,323,238,12,0,2
emily,223,108,32,16,0
eminem,298,124,0,0,0
emma,144,21,11,0,0
emmanuel,137,45,5,1,0
emotion,1462,493,38,5,8
emotional,603,255,9,0,6
emotionally,96,26,3,0,1
emotions,1391,473,40,3,7
empathy,93,117,0,0,0
emperor,160,36,8,1,0
empire,568,293,12,2,1
empires,116,48,5,0,2
emptied,105,36,7,0,3
emptiness,1151,355,27,6,6
empty,6761,2727,228,53,60
en,821,224,34,12,2
enchanted,232,77,5,4,3
encore,214,86,7,0,0
encounter,97,32,4,2,0
end,24752,11384,869,267,197
endeavor,67,48,6,1,6
ended,947,461,17,8,7
ending,2152,1071,71,13,10
endings,189,64,5,0,1
endless,2657,938,75,19,22
endlessly,455,198,17,3,2
ends,3516,1656,110,27,54
endure,398,181,11,0,3
endures,62,67,3,1,0
enemies,1414,697,29,3,4
enemy,2413,1019,49,8,10
enemys,92,42,0,0,0
energy,1250,712,25,2,14
engage,105,27,5,0,1
engaged,110,48,4,3,1
engine,669,281,29,4,8
engineer,129,27,16,0,0
engines,318,83,12,5,3
england,451,114,23,3,6
english,594,274,26,3,3
engraved,113,26,1,0,0
engulfed,123,17,3,1,0
enjoy,1362,721,44,6,4
enjoyed,154,58,9,0,1
enjoying,120,61,4,1,2
enlighten,101,29,0,0,0
enlightened,80,32,11,1,0
enormous,108,40,1,1,1
enough,17982,9443,660,159,183
ensemble,171,20,2,6,0
enslave,96,40,2,0,0
enslaved,226,70,5,0,0
enter,1220,386,42,10,15
entered,284,97,10,2,3
entering,164,28,1,5,0
enterprise,107,35,0,2,0
enters,140,33,9,3,2
entertain,292,112,22,1,0
entertainer,44,62,3,7,0
entertaining,104,44,2,3,2
entertainment,319,107,9,11,1
entire,366,138,8,3,1
entirely,104,42,2,0,1
entity,168,45,3,1,0
entombed,146,15,2,0,1
entrance,145,69,24,3,1
entry,107,36,0,1,4
entwined,189,54,3,1,0
envelope,102,46,2,0,2
envious,89,22,3,0,0
environment,134,53,0,0,8
envy,605,252,16,2,6
epic,99,134,0,1,0
episode,166,72,3,0,1
epmd,85,53,0,0,0
equal,506,245,16,8,3
equality,157,28,6,2,0
equally,97,28,5,0,0
equals,205,75,1,0,0
equation,85,36,0,0,1
equipped,218,59,5,0,0
er,393,454,19,8,0
era,264,140,4,0,0
erase,1216,663,40,2,8
erased,473,182,19,0,2
erasing,108,58,1,0,0
ere,94,84,11,2,1
erection,101,24,1,0,0
eric,214,112,17,1,2
erick,326,52,0,0,0
erotic,157,65,2,1,0
err,72,60,0,0,0
error,238,64,5,1,2
erupt,90,45,1,0,0
es,709,212,23,0,0
escalade,101,30,0,0,0
escape,3461,1642,85,14,23
escaped,235,78,11,0,4
escapes,124,80,4,1,1
escaping,372,157,5,4,4
esham,196,1,0,0,0
eskimo,114,40,0,6,0
eskimos,85,31,8,1,0
especially,647,245,26,6,5
essence,596,170,11,6,1
essential,151,33,2,0,1
est,308,83,15,0,0
esta,115,81,5,0,4
estate,190,97,3,1,2
esteem,247,107,7,0,0
et,1002,217,91,39,1
etc,326,59,11,4,1
etched,136,47,7,0,1
eternal,2282,470,62,4,29
eternally,668,185,23,2,12
eternity,1906,460,58,6,27
ether,84,80,1,3,0
euphoria,88,90,5,0,0
europe,199,55,1,0,2
european,103,75,4,8,0
eva,157,147,4,0,0
eve,1074,281,41,4,3
even,27195,15229,967,183,172
evenin,260,102,37,3,4
evening,2376,907,109,50,34
evenings,157,51,6,7,3
event,239,87,6,1,10
events,195,63,5,0,1
eventually,489,233,6,2,1
ever,38932,19066,1661,388,338
everbody,109,22,5,0,0
evergreen,131,31,6,3,0
everlasting,918,327,47,3,6
evermore,274,97,11,1,5
every,44379,23075,1961,459,398
everybody,14140,7616,585,126,135
everybodys,3081,1442,148,35,35
everyday,5735,2506,222,35,56
everydays,72,44,0,0,0
everynight,106,27,1,0,2
everyone,8145,3546,243,65,70
everyones,1184,474,28,12,10
everythin,193,90,1,1,1
everything,29462,15333,996,226,255
everythings,2262,1021,128,21,29
everytime,1981,620,40,5,11
everywhere,4927,2586,232,81,56
evidence,620,207,14,1,1
evident,128,61,8,0,2
evil,5241,1597,283,36,37
evils,190,52,2,0,2
evolution,371,120,11,2,4
evolve,110,62,1,0,0
evry,555,239,57,41,18
evrybody,187,32,19,2,0
evrything,168,62,14,6,1
ew,76,91,1,0,1
ex,756,535,32,1,0
exact,145,61,4,0,0
exactly,1638,765,60,8,9
example,296,104,10,4,2
excellent,74,55,15,3,0
excelsis,97,64,3,0,0
except,1405,603,52,16,16
exception,159,55,9,1,0
excess,184,46,6,1,1
exchange,292,110,7,2,2
excite,158,59,4,0,0
excited,661,378,18,4,11
excitement,174,57,6,1,0
exciting,292,138,9,4,6
exclusive,138,35,0,0,0
excuse,1454,700,40,3,15
excuses,628,245,8,3,4
execute,128,26,0,0,2
execution,229,71,5,1,0
exercise,203,56,6,0,0
exhale,193,120,7,0,0
exhaust,63,46,0,0,6
exhausted,151,80,3,1,1
exile,144,36,5,2,0
exist,1353,505,29,9,4
existed,135,47,4,1,0
existence,1154,284,31,0,4
existing,166,43,10,4,0
exists,297,119,11,6,1
exit,528,253,19,6,6
exodus,120,35,0,34,6
exotic,186,169,3,3,2
expand,185,61,5,0,0
expanding,83,40,4,0,3
expect,1700,586,47,15,8
expectation,96,32,0,1,0
expectations,286,112,8,8,2
expected,398,162,10,0,3
expecting,289,129,15,3,1
expense,129,30,2,0,0
expensive,312,166,13,2,4
experience,613,211,25,9,6
experienced,122,26,1,0,2
experiment,133,26,0,0,1
expert,103,34,6,0,0
expire,90,50,2,0,0
expired,86,34,0,5,2
explain,2972,1200,95,29,24
explained,137,43,8,2,0
explaining,119,80,5,0,2
explanation,311,92,14,3,4
explode,903,432,38,5,4
exploded,87,32,5,1,4
explodes,164,95,7,0,1
exploding,217,75,8,1,3
explore,345,170,9,1,3
exploring,89,30,4,2,0
explosion,161,74,7,2,2
explosions,71,50,0,0,1
explosive,83,42,1,0,1
expose,243,76,10,1,0
exposed,343,161,11,0,1
express,580,259,27,23,5
expression,386,94,9,4,4
expressions,99,28,5,0,1
exquisite,75,38,2,1,1
extend,92,47,1,4,0
extended,94,61,3,1,1
extension,78,42,4,0,1
extinct,92,27,1,0,1
extinction,152,41,5,0,1
extra,1205,584,39,4,4
extraordinary,167,100,9,3,0
extreme,350,91,12,0,4
extremely,79,40,3,0,3
extremes,125,28,11,1,7
ey,459,684,19,1,5
eye,8690,3564,303,89,84
eyeballs,135,39,2,1,3
eyed,1495,431,98,15,20
eyelids,233,107,2,0,1
eyes,49065,20778,2061,419,473
fa,793,254,22,7,32
fab,113,48,3,0,0
fable,107,32,4,0,2
fabric,134,68,3,0,1
fabulous,283,56,17,3,3
facade,131,60,0,0,0
face,29623,12396,1085,250,307
facebook,10,147,0,0,0
faced,696,300,29,2,11
faceless,312,65,12,0,1
faces,3434,1328,166,68,30
facial,78,40,1,0,0
facin,177,35,4,2,3
facing,639,346,20,6,8
fact,3450,1353,106,20,50
factor,130,39,12,1,0
factories,109,34,3,1,8
factory,505,124,19,9,5
facts,900,368,32,4,9
fad,117,29,4,0,0
fade,5451,2392,205,25,39
faded,1304,908,37,8,7
fades,1256,472,52,10,10
fadin,113,43,4,2,0
fading,2022,986,53,12,17
fag,173,55,5,0,1
faggot,269,104,4,0,1
faggots,176,62,1,0,1
fags,120,35,1,0,2
fail,1800,890,58,15,17
failed,1006,406,22,1,5
failing,354,147,9,5,3
fails,392,174,12,2,1
failure,652,273,8,1,2
failures,172,94,2,0,1
faint,351,193,7,1,1
fair,2868,1190,113,28,18
faire,110,30,7,2,0
fairly,116,41,2,1,1
fairy,694,268,18,13,8
fairytale,223,141,1,1,5
fait,107,14,7,3,0
faith,5840,2523,286,32,43
faithful,1111,565,51,7,2
faithfully,153,74,10,2,1
faithfulness,51,57,5,0,0
faithless,136,52,15,1,1
fake,3537,2054,96,37,22
faked,77,39,0,0,0
faker,108,43,4,1,0
fakers,100,37,0,4,1
fakes,156,55,3,1,2
fakin,284,82,9,0,0
faking,319,187,12,2,1
fall,24471,13427,844,163,212
fallen,2931,1139,113,36,18
fallin,2085,908,112,42,10
falling,10696,5863,344,70,130
fallout,106,38,5,1,0
falls,3411,1355,126,20,23
false,1359,472,57,9,19
falter,195,61,2,0,2
fam,411,402,7,0,0
fame,2608,1289,81,60,24
familiar,1093,488,27,19,4
families,343,84,11,1,5
family,4874,1984,160,23,35
familys,134,50,7,1,1
famine,157,59,3,0,0
famous,1038,844,30,4,13
fan,967,611,60,8,10
fanatic,109,17,1,0,0
fancy,1183,583,49,22,18
fangs,126,59,5,0,0
fanny,165,22,26,11,0
fans,774,533,20,2,0
fantasies,552,196,22,3,8
fantasize,238,69,6,1,0
fantastic,385,133,5,3,0
fantasy,1870,813,62,17,18
far,19853,8661,835,193,204
faraway,151,52,4,0,0
fare,379,120,25,4,2
farewell,828,328,31,2,6
farm,761,278,37,4,7
farmer,243,100,11,1,4
farmers,193,56,3,1,0
fart,99,33,6,0,0
farther,557,220,29,4,4
fascinated,104,46,3,0,0
fascinating,65,46,10,0,1
fascination,277,101,6,38,6
fascist,135,21,3,0,2
fashion,1060,489,25,1,22
fashioned,349,133,7,4,6
fast,8431,4246,347,66,69
faster,2093,1107,73,12,20
fastest,137,63,6,1,1
fat,3118,1169,156,13,12
fatal,517,129,19,0,1
fate,4005,1501,106,23,42
fateful,89,23,1,0,1
fates,285,116,13,3,2
father,4910,2107,291,111,52
fathers,1153,502,68,15,10
fathom,92,27,1,0,0
fatter,121,54,1,0,0
fatty,138,83,1,0,0
fault,1750,873,59,13,18
faults,249,108,10,2,15
favor,646,269,24,6,2
favorite,2082,1502,51,11,14
favors,162,132,6,4,1
favour,95,62,1,2,4
favourite,325,262,8,3,6
fax,98,15,5,0,0
fbi,113,33,2,0,1
fe,423,264,32,0,1
fear,11809,4513,374,73,74
feared,269,111,11,1,1
fearful,113,72,2,1,1
fearing,209,66,9,2,3
fearless,265,215,6,0,2
fears,2680,1098,85,16,29
feast,707,230,29,7,5
feat,127,118,2,0,0
feather,518,243,34,7,11
feathers,392,160,13,6,0
feature,144,84,2,8,2
features,203,127,6,0,4
featuring,130,39,7,0,1
february,128,74,1,2,0
fed,1456,505,57,4,14
federal,140,45,5,0,0
feds,483,307,12,0,2
fee,356,143,29,2,3
feeble,267,73,8,2,5
feed,3288,1179,100,13,26
feedin,137,38,4,0,1
feeding,751,287,22,4,4
feeds,496,186,24,1,2
feel,69773,35810,2561,627,543
feelin,5992,2294,309,68,52
feeling,18407,10690,668,156,195
feelings,4432,2170,137,42,50
feelins,196,63,15,0,1
feels,9058,5594,340,79,54
feet,9921,4632,411,142,105
fell,5747,2937,252,44,60
fella,441,187,12,5,2
fellas,964,294,55,2,4
fellow,389,200,24,10,5
fellows,165,43,14,3,5
felon,91,36,1,0,1
felony,141,39,2,0,1
felt,7684,3619,303,49,47
female,479,179,18,2,3
females,174,62,4,0,4
feminine,117,38,3,0,0
fence,905,344,24,2,6
fences,284,107,11,1,3
fendi,72,69,1,0,0
ferocious,83,28,2,0,0
ferrari,89,220,1,0,1
ferris,108,58,4,1,1
fertile,118,21,0,0,0
festival,108,48,2,2,0
fetch,153,102,7,6,2
fetish,116,125,2,1,0
fetti,53,65,5,0,0
fever,1934,668,140,40,10
fevers,68,37,2,5,1
fi,1990,738,106,4,0
fickle,104,45,3,1,3
fiction,499,156,6,0,1
fiddle,379,124,11,8,38
field,1496,684,46,11,31
fields,1976,583,74,11,11
fiend,629,217,22,0,3
fiendin,141,23,5,0,0
fiends,567,196,13,0,0
fierce,189,86,4,2,0
fiery,265,101,11,3,3
fiesta,44,81,1,7,2
fifteen,715,253,30,5,4
fifth,650,402,20,2,2
fifty,1266,493,44,12,9
fight,13922,7257,495,108,131
fighter,335,314,17,0,0
fighters,124,77,4,3,2
fightin,678,175,17,6,4
fighting,3265,1841,91,50,50
fights,746,373,25,4,7
figure,2452,1336,86,8,26
figured,849,442,31,1,6
figures,513,192,13,4,4
file,355,91,8,2,1
files,173,40,4,0,1
fill,4726,2318,209,42,35
filled,3680,1335,154,41,40
fillin,245,67,16,1,2
filling,644,321,17,5,1
fills,1186,393,35,14,5
film,559,185,10,12,26
films,94,33,3,6,0
filter,95,139,4,2,2
filth,389,96,4,0,0
filthy,645,273,8,3,3
fin,269,75,6,2,0
final,2948,971,79,4,30
finally,5606,2809,164,47,72
financial,90,23,2,0,1
find,40721,18394,1668,449,483
findin,151,45,4,0,2
finding,1394,717,57,8,15
finds,844,327,28,14,7
fine,10001,4897,443,118,121
finer,270,120,13,0,4
finesse,92,65,8,0,0
finessin,8,122,0,0,0
finest,619,240,29,6,2
finger,2444,1048,106,12,23
fingernails,141,33,6,0,4
fingerprints,152,50,8,0,1
fingers,3163,1419,114,27,36
fingertips,442,203,18,4,8
finish,1201,690,35,3,7
finished,846,430,15,7,2
finna,329,496,5,0,0
fire,17790,10138,765,132,253
fireball,88,56,2,1,1
fired,546,245,20,2,5
fireflies,133,72,2,1,0
firefly,85,41,0,0,1
firelight,79,56,12,5,0
fireplace,156,92,22,0,0
fires,1115,453,25,8,20
fireside,134,33,7,1,1
fireworks,226,170,10,2,2
firing,138,73,3,2,0
firm,622,96,45,7,4
firmly,105,25,2,0,2
first,16580,7772,609,133,128
fish,1658,724,69,26,18
fishes,219,78,7,1,1
fishin,249,104,12,0,3
fishing,304,147,16,3,7
fist,1407,527,31,5,12
fists,589,173,17,1,7
fit,2978,1475,117,37,29
fits,524,219,30,3,7
fitted,213,106,2,0,0
fittest,78,30,2,0,4
fittin,118,29,1,0,0
fitting,117,75,4,1,1
five,5838,2242,282,123,32
fives,102,42,5,2,0
fix,1985,1418,74,20,12
fixed,476,245,17,8,3
fixin,112,30,8,0,0
fixing,144,97,5,1,0
flag,1099,630,49,8,10
flags,295,152,7,2,6
flakes,108,16,3,1,2
flam,106,25,20,0,0
flame,3361,1582,186,36,52
flames,2573,1160,57,9,47
flaming,279,63,13,4,3
flap,98,50,2,0,0
flare,142,55,2,1,0
flash,1461,650,41,7,9
flashback,87,95,1,0,1
flashed,143,43,6,0,0
flashes,176,78,8,2,1
flashin,270,66,12,0,2
flashing,567,434,28,6,7
flashlight,100,82,5,0,0
flashy,152,54,4,1,1
flat,1242,563,53,11,16
flatline,95,25,1,0,0
flaunt,203,75,11,0,0
flava,173,55,19,0,0
flavor,680,178,22,0,2
flavors,160,61,2,1,0
flavour,88,30,2,0,0
flaw,131,67,5,1,1
flawed,68,50,2,0,0
flawless,182,195,2,0,0
flaws,217,255,5,0,1
flea,114,42,8,0,0
fleas,110,31,7,3,2
fled,242,79,11,2,2
flee,524,175,8,4,6
fleet,126,56,2,2,0
fleeting,263,115,6,7,0
flesh,4251,948,131,18,52
flew,861,406,27,10,6
flex,724,355,34,0,0
flexin,79,190,6,0,1
flexing,45,131,1,0,0
flick,391,179,7,0,3
flicker,208,103,12,0,3
flickering,171,70,7,0,2
flicks,170,52,6,0,1
flies,1395,464,68,25,5
flight,1500,911,55,10,15
flights,153,156,5,1,0
fling,261,128,11,1,5
flint,101,16,2,0,0
flip,2081,999,54,6,2
flipmode,323,31,13,0,0
flipped,325,159,7,1,3
flippin,517,177,19,1,4
flipping,174,131,6,2,0
flips,131,65,3,0,2
flirt,391,114,13,0,6
flirtin,85,55,4,0,0
flirting,124,73,1,2,0
flo,544,135,8,6,0
float,1159,570,101,10,11
floated,96,32,6,1,1
floatin,281,158,5,1,2
floating,1301,661,60,4,4
floats,185,70,8,2,1
flock,321,135,23,5,3
flocks,80,38,8,0,0
flood,880,566,38,6,6
flooded,158,85,4,0,3
flooding,101,47,4,0,1
floods,192,95,3,2,2
floor,9146,4860,283,62,64
floors,392,177,8,1,3
flop,315,112,8,5,2
florida,240,107,6,7,0
floss,371,115,18,12,1
flossin,166,77,3,0,1
flow,5428,2658,149,21,23
flowed,97,38,6,2,2
flower,1483,521,43,16,21
flowers,2828,873,137,26,12
flowin,356,103,13,0,3
flowing,1005,461,37,18,11
flown,414,164,20,4,7
flows,1571,619,54,6,12
flu,156,74,5,1,1
fluid,241,79,12,0,4
fluids,109,12,1,0,0
flung,85,24,7,0,1
flush,148,75,8,1,0
flute,152,39,9,0,2
flutter,94,53,8,5,1
fly,14528,7822,494,108,151
flyer,107,131,9,3,0
flyest,91,41,2,0,0
flyin,856,320,36,4,3
flying,2767,1447,88,45,14
fo,1884,525,50,1,1
foam,139,42,5,2,1
focus,957,710,23,5,6
focused,386,338,1,0,1
foe,439,137,12,1,3
foes,420,127,9,1,2
fog,693,311,23,10,12
foggy,185,103,18,0,0
fol,109,86,0,0,0
fold,796,452,20,4,2
folded,172,66,4,1,1
folding,115,64,3,1,0
folds,97,33,3,0,1
folk,416,177,10,2,3
folks,2543,817,135,48,16
follow,8467,4263,254,49,67
followed,981,327,35,11,3
followers,107,52,4,0,0
followin,168,56,5,0,1
following,1127,439,26,9,9
follows,455,186,17,5,6
fond,221,94,14,5,1
foo,109,28,1,1,0
food,2301,792,92,20,22
fool,9958,3788,556,112,134
fooled,633,241,21,2,11
foolin,439,133,21,4,11
fooling,578,225,19,7,14
foolish,1241,598,61,13,18
fools,3046,877,144,27,41
foot,2176,929,81,25,19
football,398,162,27,2,4
footloose,88,35,1,1,2
footprints,241,111,9,1,1
footsteps,677,307,29,4,10
forbid,129,35,5,2,0
forbidden,471,131,14,22,8
force,2471,898,51,11,23
forced,1011,345,14,4,7
forces,661,178,12,3,3
forcing,177,53,1,2,2
ford,383,189,22,2,0
fore,736,475,31,3,4
forehead,210,91,2,3,1
foreign,817,753,44,7,8
foreplay,126,52,0,0,0
foresee,94,40,4,0,1
forest,1091,325,33,10,5
forests,234,38,12,4,1
foretold,103,21,0,2,2
forever,18629,9022,770,120,245
forevermore,261,160,17,2,3
forevers,88,52,3,0,0
forfeit,137,46,4,1,0
forgave,90,62,4,0,0
forge,92,40,1,0,0
forged,165,36,10,0,2
forget,13882,6793,534,80,114
forgets,136,64,7,3,0
forgettin,99,36,3,0,0
forgetting,468,316,16,10,15
forgive,3354,1523,149,19,26
forgiven,550,383,45,0,1
forgiveness,881,398,29,2,3
forgives,83,29,9,0,0
forgiving,275,105,4,4,0
forgot,1999,994,60,10,9
forgotten,2436,847,115,14,27
fork,211,135,9,4,3
forlorn,207,42,6,2,1
form,1837,599,40,10,14
format,174,32,2,0,0
formed,308,91,6,3,4
former,224,83,11,2,1
forming,200,62,8,8,2
forms,358,107,15,1,1
formula,127,54,2,0,0
forsake,299,135,24,2,0
forsaken,537,234,22,6,3
fort,234,66,7,0,4
