,2000s,2010s,1990s,1970s,1980s
aftermath,300,110,6,0,1
afternoon,1123,346,30,14,14
afternoons,106,26,6,0,3
age,2916,1024,143,29,20
aged,120,49,5,2,0
ageless,81,28,3,1,2
agenda,144,66,0,0,1
agent,191,86,7,0,1
agents,94,22,4,1,0
ages,730,247,14,2,3
aggravation,92,23,7,4,1
aggression,188,41,4,0,1
aggressive,96,82,3,0,0
aging,121,65,3,2,3
aglow,189,79,8,0,1
ago,4179,1540,206,56,54
agony,826,200,10,1,10
agree,1147,439,47,11,14
agreed,223,81,7,0,0
ah,13657,7329,625,260,186
aha,433,375,20,8,3
ahead,3768,2307,152,36,37
ahh,1524,660,42,39,14
ahhh,456,339,13,13,7
ahhhh,195,148,5,0,0
ahhhhh,85,87,4,0,1
ai,266,149,10,0,1
aid,307,139,7,1,1
aids,287,66,10,1,0
aight,623,144,16,0,0
aim,1205,610,36,21,2
aimed,178,80,9,0,2
aimin,93,42,1,1,0
aiming,155,168,11,2,17
aimless,114,32,1,2,0
aims,88,25,1,0,0
aint,62573,38758,2579,593,525
air,10106,5113,316,71,102
airplane,238,105,4,7,0
airplanes,85,118,1,0,0
airport,205,94,8,3,1
airs,115,40,3,1,0
airwaves,111,43,2,0,0
aisle,224,112,7,0,5
aiyo,141,16,1,0,0
aiyyo,589,39,7,0,9
ak,383,192,3,0,0
aka,92,54,3,0,0
akon,158,72,0,0,0
aks,75,49,2,0,0
al,569,263,39,0,4
alabama,307,192,4,2,9
alamo,107,27,5,0,0
alan,105,9,0,0,0
alarm,674,440,20,1,7
alarmed,123,48,5,2,0
alarms,113,72,0,0,0
alas,142,58,10,2,2
alaska,137,34,2,6,1
albert,86,34,12,0,2
album,1213,386,33,3,2
albums,156,84,3,0,0
alcohol,617,326,9,13,7
alcoholic,143,50,6,0,1
ale,91,94,7,2,4
alert,302,145,8,2,1
alexander,73,60,0,0,0
ali,295,179,12,1,2
alibi,412,112,17,2,1
alibis,263,86,9,6,11
alice,292,98,45,29,2
alien,359,138,7,0,5
aliens,145,55,3,0,3
alight,157,90,8,3,4
align,95,108,0,0,2
aligned,98,118,2,0,1
alike,277,110,16,1,1
alive,10470,5581,330,80,93
allah,282,98,1,1,0
allegiance,214,79,6,0,0
alleluia,168,100,15,5,0
allen,132,31,1,1,2
allergic,71,43,3,0,0
alley,669,174,41,5,7
alleys,135,59,5,3,2
alliance,90,26,7,0,1
alligator,226,84,12,2,1
allow,782,315,32,3,1
allowed,584,287,14,7,5
allright,236,38,5,0,1
alls,166,75,6,0,5
ally,62,144,1,1,0
almighty,440,246,43,4,9
almost,4586,1740,153,42,48
alone,29672,13729,1279,277,209
along,10253,4677,506,137,147
alot,329,176,2,1,0
aloud,243,116,2,2,4
alpha,135,65,12,0,0
alphabet,108,50,3,0,0
already,5468,3479,173,18,30
alright,12222,6384,721,241,136
also,1179,419,40,6,7
altar,389,112,22,1,5
alter,218,72,2,3,2
altered,124,46,0,0,0
alternative,140,14,1,0,11
although,1711,735,79,29,14
alvin,110,20,4,0,0
always,41415,19489,1828,370,460
amaze,191,65,7,0,0
amazed,450,194,10,0,2
amazes,81,41,5,0,8
amazin,128,60,2,0,0
amazing,1130,1150,46,4,15
amazon,98,15,3,0,3
amber,166,174,6,2,5
ambition,356,206,15,5,2
ambitions,108,84,3,1,5
ambitious,71,43,2,2,1
ambulance,246,79,5,1,0
amen,627,503,18,2,2
amends,281,126,10,2,3
america,1866,720,68,21,45
american,1838,923,35,40,12
americans,208,33,10,0,1
americas,252,80,3,3,1
amid,101,43,3,1,1
amidst,169,35,7,1,1
amigo,61,51,9,0,0
ammo,121,71,2,0,3
ammunition,168,78,4,0,0
amnesia,141,81,0,0,1
amo,85,34,0,0,0
among,1557,447,60,20,21
amongst,535,185,8,4,1
amor,468,150,14,0,0
amore,110,29,3,0,0
amount,417,213,13,2,1
amounts,117,29,3,0,0
amour,158,46,11,0,0
amp,91,21,2,0,0
amplified,90,22,1,0,0
amsterdam,166,57,4,1,2
amused,137,47,7,3,2
amusement,74,42,3,0,1
amy,271,150,16,0,0
anal,119,11,0,0,0
analyze,250,46,10,0,2
anarchy,211,35,5,0,8
anatomy,89,32,5,0,3
ancestors,145,23,3,0,0
anchor,317,160,8,4,1
anchors,57,63,0,0,0
ancient,1454,361,32,15,7
anderson,161,15,1,0,1
andre,184,62,8,0,0
andrew,90,42,0,0,0
andy,179,77,7,7,0
anew,257,128,14,2,2
angel,6697,2137,319,57,82
angeles,260,115,7,2,0
angelic,121,31,5,0,0
angelina,90,64,0,0,0
angels,5051,1919,217,36,38
anger,1906,507,49,17,18
angie,129,23,1,0,0
angle,249,100,12,1,1
angles,196,74,4,0,0
angry,1423,492,63,57,19
anguish,311,73,3,1,4
animal,1064,670,36,2,22
animals,681,334,28,5,4
ankle,98,58,1,0,1
ankles,179,67,5,1,0
ann,358,41,11,43,0
anna,239,80,10,0,0
anne,125,38,1,4,0
annie,266,105,12,1,0
annihilate,129,31,0,0,0
annihilation,171,24,3,0,3
anniversary,71,55,2,0,0
annoyed,85,30,1,0,0
anonymous,151,81,2,1,0
anotha,216,27,1,0,0
another,28762,12313,1194,217,410
anothers,289,78,5,0,4
answer,5005,1899,163,46,60
answered,372,109,15,4,11
answering,164,47,5,3,0
answers,2225,849,58,9,18
ant,197,64,9,1,0
ante,84,35,4,0,0
anthem,248,151,5,0,0
anthems,94,29,2,0,0
anthony,64,53,2,0,0
anti,376,128,7,1,7
anticipate,75,35,4,3,1
anticipating,224,91,9,2,5
anticipation,184,54,2,1,0
antidote,121,62,2,0,3
antone,125,49,10,0,0
ants,179,77,11,1,0
