Band,Song,Url
Geoff Love,As Time Goes By,/lyric/3409033/Vera+Lynn/As+Time+Goes+By
Geoff Love,Vera Lynn,artist/Vera-Lynn/26680
Geoff Love,Geoff Love & His Orchestra,artist/Geoff-Love-&-His-Orchestra/546596
Geoff Love,Gunfight at the O.K. Corral,/lyric/2146020/Geoff+Love/Gunfight+at+the+O.K.+Corral
Geoff Love,High Noon (Do Not Forsake Me),/lyric/2146021/Geoff+Love/High+Noon+%28Do+Not+Forsake+Me%29
Geoff Love,A Kiss to build a dream on (from The Strip) [*],/lyric/8246288/Bill+Lowe/A+Kiss+to+build+a+dream+on+%28from+The+Strip%29+%5B%2A%5D
Geoff Love,Bill Lowe,artist/Bill-Lowe/99698
Geoff Love,Freddy Williams,artist/Freddy-Williams/281394
Geoff Love,Jeannie Carson,artist/Jeannie-Carson/476070
Geoff Love,The Orchestra,artist/The-Orchestra/978950
Geoff Love,I Don't Want To Set the World on Fire/It's Been a Long Long Time/A Litt,/lyric/9595153/Geoff+Love/I+Don%27t+Want+To+Set+the+World+on+Fire-It%27s+Been+a+Long+Long+Time-A+Litt
Geoff Love,Lili Marlene/Praise the Lord and Pass the Ammunition/Roll Me Over,/lyric/9595144/Geoff+Love/Lili+Marlene-Praise+the+Lord+and+Pass+the+Ammunition-Roll+Me+Over
Geoff Love,Annie's Song,/lyric/17955167/Geoff+Love/Annie%27s+Song
Geoff Love,True Love,/lyric/17955162/Geoff+Love/True+Love
Geoff Love,Geoff Love & His Orchestra,artist/Geoff-Love-&-His-Orchestra/546596
Geoff Love,From the Time You Say Goodbye [#],/lyric/10340672/Vera+Lynn/From+the+Time+You+Say+Goodbye+%5B%23%5D
Geoff Love,Vera Lynn,artist/Vera-Lynn/26680
Geoff Love,Geoff Love & His Orchestra,artist/Geoff-Love-&-His-Orchestra/546596
Geoff Love,Land of Hope and Glory [#],/lyric/10340671/Vera+Lynn/Land+of+Hope+and+Glory+%5B%23%5D
Geoff Love,Vera Lynn,artist/Vera-Lynn/26680
Geoff Love,Geoff Love & His Orchestra,artist/Geoff-Love-&-His-Orchestra/546596
Geoff Love,Let It Be Me,/lyric/28601035/Peter+%26+Gordon/Let+It+Be+Me
Geoff Love,Peter & Gordon,artist/Peter-&-Gordon/5136
Geoff Love & His Orchestra,Gunfight at the O.K. Corral,/lyric/4190896/Geoff+Love+%26+His+Orchestra/Gunfight+at+the+O.K.+Corral
Geoff Love & His Orchestra,High Noon (Do Not Forsake Me),/lyric/4190897/Geoff+Love+%26+His+Orchestra/High+Noon+%28Do+Not+Forsake+Me%29
Geoff Love & His Orchestra,Maverick,/lyric/4190893/Geoff+Love+%26+His+Orchestra/Maverick
Geoff Love & His Orchestra,As Time Goes By,/lyric/3409033/Vera+Lynn/As+Time+Goes+By
Geoff Love & His Orchestra,Vera Lynn,artist/Vera-Lynn/26680
Geoff Love & His Orchestra,Geoff Love,artist/Geoff-Love/178842
Geoff Love & His Orchestra,'S Wonderful,/lyric/19309619/Shirley+Bassey/%27S+Wonderful
Geoff Love & His Orchestra,Shirley Bassey,artist/Shirley-Bassey/3082
Geoff Love & His Orchestra,It All Depends on You [#],/lyric/19309608/Shirley+Bassey/It+All+Depends+on+You+%5B%23%5D
Geoff Love & His Orchestra,Shirley Bassey,artist/Shirley-Bassey/3082
Geoff Love & His Orchestra,Reach for the Stars,/lyric/19309615/Shirley+Bassey/Reach+for+the+Stars
Geoff Love & His Orchestra,Shirley Bassey,artist/Shirley-Bassey/3082
Geoff Love & His Orchestra,Tonight,/lyric/19309612/Shirley+Bassey/Tonight
Geoff Love & His Orchestra,Shirley Bassey,artist/Shirley-Bassey/3082
