Band,Song,Url
Aretha Franklin,So Long,/lyric/1012122/Aretha+Franklin/So+Long
Aretha Franklin,Today I Sing the Blues,/lyric/1012114/Aretha+Franklin/Today+I+Sing+the+Blues
Aretha Franklin,The Tracks of My Tears,/lyric/1012119/Aretha+Franklin/The+Tracks+of+My+Tears
Aretha Franklin,Don't Play That Song,/lyric/2877410/Aretha+Franklin/Don%27t+Play+That+Song
Aretha Franklin,Honest I Do,/lyric/3667259/Aretha+Franklin/Honest+I+Do
Aretha Franklin,Oh No Not My Baby,/lyric/3667265/Aretha+Franklin/Oh+No+Not+My+Baby
Aretha Franklin,One Way Ticket,/lyric/3667262/Aretha+Franklin/One+Way+Ticket
Aretha Franklin,Pullin',/lyric/3667257/Aretha+Franklin/Pullin%27
Aretha Franklin,That's All I Want from You,/lyric/3667264/Aretha+Franklin/That%27s+All+I+Want+from+You
Aretha Franklin,Try Matty's,/lyric/3667263/Aretha+Franklin/Try+Matty%27s
Aretha Franklin,When the Battle Is Over,/lyric/3667261/Aretha+Franklin/When+the+Battle+Is+Over
Aretha Franklin,You and Me,/lyric/3667258/Aretha+Franklin/You+and+Me
Aretha Franklin,Call Me,/lyric/607060/Aretha+Franklin/Call+Me
Aretha Franklin,Ac-Cent-Tchu-Ate the Positive,/lyric/928082/Aretha+Franklin/Ac-Cent-Tchu-Ate+the+Positive
Aretha Franklin,Son of a Preacher Man,/lyric/4845857/Aretha+Franklin/Son+of+a+Preacher+Man
Aretha Franklin,This Girl's In Love with You,/lyric/4845862/Aretha+Franklin/This+Girl%27s+In+Love+with+You
Aretha Franklin,Bridge Over Troubled Water [Alternate Take][*],/lyric/8884450/Aretha+Franklin/Bridge+Over+Troubled+Water+%5BAlternate+Take%5D%5B%2A%5D
Aretha Franklin,Don't Play That Song [Alternate Take][*],/lyric/8884455/Aretha+Franklin/Don%27t+Play+That+Song+%5BAlternate+Take%5D%5B%2A%5D
Aretha Franklin,Dr. Feelgood,/lyric/8884442/Aretha+Franklin/Dr.+Feelgood
Aretha Franklin,Respect [Alternate Take][*],/lyric/8884446/Aretha+Franklin/Respect+%5BAlternate+Take%5D%5B%2A%5D
Aretha Franklin,Spirit in the Dark [Alternate Take][*],/lyric/8884457/Aretha+Franklin/Spirit+in+the+Dark+%5BAlternate+Take%5D%5B%2A%5D
Aretha Franklin,Make It With You,/lyric/3159252/Aretha+Franklin/Make+It+With+You
Aretha Franklin,Reach Out and Touch (Somebody's Hand),/lyric/3159257/Aretha+Franklin/Reach+Out+and+Touch+%28Somebody%27s+Hand%29
Aretha Franklin,Amazing Grace,/lyric/809749/Aretha+Franklin/Amazing+Grace
Aretha Franklin,Climbing Higher Mountains,/lyric/809751/Aretha+Franklin/Climbing+Higher+Mountains
Aretha Franklin,God Will Take Care of You,/lyric/809753/Aretha+Franklin/God+Will+Take+Care+of+You
Aretha Franklin,Mary Don't You Weep,/lyric/809743/Aretha+Franklin/Mary+Don%27t+You+Weep
Aretha Franklin,Old Landmark,/lyric/809745/Aretha+Franklin/Old+Landmark
Aretha Franklin,Precious Lord (Take My Hand)/You've Got a Friend [Medley],/lyric/809744/Aretha+Franklin/Precious+Lord+%28Take+My+Hand%29-You%27ve+Got+a+Friend+%5BMedley%5D
Aretha Franklin,Precious Memories,/lyric/809750/Aretha+Franklin/Precious+Memories
Aretha Franklin,What a Friend We Have in Jesus,/lyric/809748/Aretha+Franklin/What+a+Friend+We+Have+in+Jesus
Aretha Franklin,Wholy Holy,/lyric/809754/Aretha+Franklin/Wholy+Holy
Aretha Franklin,You'll Never Walk Alone,/lyric/809755/Aretha+Franklin/You%27ll+Never+Walk+Alone
Aretha Franklin,April Fools,/lyric/7393615/Aretha+Franklin/April+Fools
Aretha Franklin,A Brand New Me,/lyric/7393614/Aretha+Franklin/A+Brand+New+Me
Aretha Franklin,Didn't I (Blow Your Mind This Time),/lyric/7393619/Aretha+Franklin/Didn%27t+I+%28Blow+Your+Mind+This+Time%29
Aretha Franklin,I've Been Loving You Too Long,/lyric/7393616/Aretha+Franklin/I%27ve+Been+Loving+You+Too+Long
Aretha Franklin,"Young, Gifted and Black",/lyric/7393612/Aretha+Franklin/Young%2C+Gifted+and+Black
Aretha Franklin,Hey Now Hey (The Other Side of the Sky),/lyric/4580760/Aretha+Franklin/Hey+Now+Hey+%28The+Other+Side+of+the+Sky%29
Aretha Franklin,Mister Spain,/lyric/4580764/Aretha+Franklin/Mister+Spain
Aretha Franklin,Sister from Texas,/lyric/4580763/Aretha+Franklin/Sister+from+Texas
Aretha Franklin,Somewhere,/lyric/4580761/Aretha+Franklin/Somewhere
Aretha Franklin,That's the Way I Feel About Cha,/lyric/4580765/Aretha+Franklin/That%27s+the+Way+I+Feel+About+Cha
Aretha Franklin,Are You Sure?,/lyric/1046684/Aretha+Franklin/Are+You+Sure%3F
Aretha Franklin,It Ain't Necessarily So,/lyric/1046686/Aretha+Franklin/It+Ain%27t+Necessarily+So
Aretha Franklin,Love Is the Only Thing,/lyric/1046679/Aretha+Franklin/Love+Is+the+Only+Thing
Aretha Franklin,Over the Rainbow,/lyric/1046678/Aretha+Franklin/Over+the+Rainbow
Aretha Franklin,Who Needs You?,/lyric/1046682/Aretha+Franklin/Who+Needs+You%3F
Aretha Franklin,Ain't Nothing Like the Real Thing,/lyric/2877456/Aretha+Franklin/Ain%27t+Nothing+Like+the+Real+Thing
Aretha Franklin,Eight Days On the Road,/lyric/4823151/Aretha+Franklin/Eight+Days+On+the+Road
Aretha Franklin,If You Don't Think,/lyric/4823152/Aretha+Franklin/If+You+Don%27t+Think
Aretha Franklin,The Masquerade is Over,/lyric/4823148/Aretha+Franklin/The+Masquerade+is+Over
Aretha Franklin,Oh Baby,/lyric/4823150/Aretha+Franklin/Oh+Baby
Aretha Franklin,A Song for You,/lyric/4823153/Aretha+Franklin/A+Song+for+You
Aretha Franklin,With Pen In Hand,/lyric/4823149/Aretha+Franklin/With+Pen+In+Hand
Aretha Franklin,All of These Things,/lyric/52537/Aretha+Franklin/All+of+These+Things
Aretha Franklin,Don't Go Breaking My Heart,/lyric/52531/Aretha+Franklin/Don%27t+Go+Breaking+My+Heart
Aretha Franklin,I Love Every Little Thing About You,/lyric/52535/Aretha+Franklin/I+Love+Every+Little+Thing+About+You
Aretha Franklin,When You Get Right Down to It,/lyric/52532/Aretha+Franklin/When+You+Get+Right+Down+to+It
Aretha Franklin,You'll Never Get to Heaven,/lyric/52533/Aretha+Franklin/You%27ll+Never+Get+to+Heaven
Aretha Franklin,Don't Cry Baby,/lyric/589836/Aretha+Franklin/Don%27t+Cry+Baby
Aretha Franklin,If I Should Lose You,/lyric/589835/Aretha+Franklin/If+I+Should+Lose+You
Aretha Franklin,Just for a Thrill,/lyric/589837/Aretha+Franklin/Just+for+a+Thrill
Aretha Franklin,Look for the Silver Lining,/lyric/589840/Aretha+Franklin/Look+for+the+Silver+Lining
Aretha Franklin,Misty,/lyric/589832/Aretha+Franklin/Misty
Aretha Franklin,There Is No Greater Love,/lyric/589833/Aretha+Franklin/There+Is+No+Greater+Love
Aretha Franklin,Unforgettable,/lyric/589834/Aretha+Franklin/Unforgettable
Aretha Franklin,Hooked on Your Love,/lyric/4326242/Aretha+Franklin/Hooked+on+Your+Love
Aretha Franklin,I Get High,/lyric/4326244/Aretha+Franklin/I+Get+High
Aretha Franklin,Jump,/lyric/4326245/Aretha+Franklin/Jump
Aretha Franklin,Look into Your Heart,/lyric/4326243/Aretha+Franklin/Look+into+Your+Heart
Aretha Franklin,Loving You Baby,/lyric/4326246/Aretha+Franklin/Loving+You+Baby
Aretha Franklin,Day Dreaming,/lyric/227438/Aretha+Franklin/Day+Dreaming
Aretha Franklin,See Saw,/lyric/227435/Aretha+Franklin/See+Saw
Aretha Franklin,Spanish Harlem,/lyric/227436/Aretha+Franklin/Spanish+Harlem
Aretha Franklin,Until You Come Back to Me (That's What I'm Gonna Do),/lyric/227440/Aretha+Franklin/Until+You+Come+Back+to+Me+%28That%27s+What+I%27m+Gonna+Do%29
Aretha Franklin,Break It to Me Gently,/lyric/666417/Aretha+Franklin/Break+It+to+Me+Gently
Aretha Franklin,Sweet Passion,/lyric/666427/Aretha+Franklin/Sweet+Passion
Aretha Franklin,What I Did for Love,/lyric/666419/Aretha+Franklin/What+I+Did+for+Love
Aretha Franklin,When I Think About You,/lyric/666418/Aretha+Franklin/When+I+Think+About+You
Aretha Franklin,I Wonder (Where Are You Tonight),/lyric/928494/Aretha+Franklin/I+Wonder+%28Where+Are+You+Tonight%29
Aretha Franklin,Laughing on the Outside (Crying on the Inside),/lyric/928495/Aretha+Franklin/Laughing+on+the+Outside+%28Crying+on+the+Inside%29
Aretha Franklin,Take a Look,/lyric/928496/Aretha+Franklin/Take+a+Look
Aretha Franklin,This Bitter Earth,/lyric/928499/Aretha+Franklin/This+Bitter+Earth
Aretha Franklin,Trouble in Mind [Live],/lyric/928491/Aretha+Franklin/Trouble+in+Mind+%5BLive%5D
Aretha Franklin,What a Difference a Day Made,/lyric/928489/Aretha+Franklin/What+a+Difference+a+Day+Made
Aretha Franklin,Without the One You Love [Live],/lyric/928490/Aretha+Franklin/Without+the+One+You+Love+%5BLive%5D
Aretha Franklin,Can't Turn You Loose,/lyric/996064/Aretha+Franklin/Can%27t+Turn+You+Loose
Aretha Franklin,Come to Me,/lyric/996063/Aretha+Franklin/Come+to+Me
Aretha Franklin,Love Me Forever,/lyric/996070/Aretha+Franklin/Love+Me+Forever
Aretha Franklin,School Days,/lyric/996071/Aretha+Franklin/School+Days
Aretha Franklin,Take Me With You,/lyric/996066/Aretha+Franklin/Take+Me+With+You
Aretha Franklin,Hold On! I'm Comin',/lyric/3128772/Aretha+Franklin/Hold+On%21+I%27m+Comin%27
Aretha Franklin,It's My Turn,/lyric/3128776/Aretha+Franklin/It%27s+My+Turn
Aretha Franklin,Living in the Streets,/lyric/3128773/Aretha+Franklin/Living+in+the+Streets
Aretha Franklin,Love All the Hurt Away,/lyric/3128771/Aretha+Franklin/Love+All+the+Hurt+Away
Aretha Franklin,Search On,/lyric/3128778/Aretha+Franklin/Search+On
Aretha Franklin,There's a Star for Everyone,/lyric/3128774/Aretha+Franklin/There%27s+a+Star+for+Everyone
Aretha Franklin,Truth and Honesty,/lyric/3128777/Aretha+Franklin/Truth+and+Honesty
Aretha Franklin,I Wanna Make It Up To You,/lyric/27478597/Aretha+Franklin/I+Wanna+Make+It+Up+To+You
Aretha Franklin,It's Your Thing,/lyric/27478596/Aretha+Franklin/It%27s+Your+Thing
Aretha Franklin,(It's Just) Your Love,/lyric/3129071/Aretha+Franklin/%28It%27s+Just%29+Your+Love
Aretha Franklin,If She Don't Want Your Lovin',/lyric/3129069/Aretha+Franklin/If+She+Don%27t+Want+Your+Lovin%27
Aretha Franklin,Jump to It,/lyric/3129067/Aretha+Franklin/Jump+to+It
Aretha Franklin,Just My Daydream,/lyric/3129074/Aretha+Franklin/Just+My+Daydream
Aretha Franklin,This Is for Real,/lyric/3129070/Aretha+Franklin/This+Is+for+Real
Aretha Franklin,Better Friends Than Lovers,/lyric/2200945/Aretha+Franklin/Better+Friends+Than+Lovers
Aretha Franklin,Every Girl (Wants My Guy),/lyric/2200942/Aretha+Franklin/Every+Girl+%28Wants+My+Guy%29
Aretha Franklin,I Got Your Love,/lyric/2200946/Aretha+Franklin/I+Got+Your+Love
Aretha Franklin,I Wish It Would Rain,/lyric/2200944/Aretha+Franklin/I+Wish+It+Would+Rain
Aretha Franklin,When You Love Me Like That,/lyric/2200943/Aretha+Franklin/When+You+Love+Me+Like+That
Aretha Franklin,Blue Holiday,/lyric/513924/Aretha+Franklin/Blue+Holiday
Aretha Franklin,Nobody Like You,/lyric/513918/Aretha+Franklin/Nobody+Like+You
Aretha Franklin,Just Right Tonight,/lyric/2877904/Aretha+Franklin/Just+Right+Tonight
Aretha Franklin,I Will Trust in the Lord,/lyric/750205/Rev.+C.L.+Franklin/I+Will+Trust+in+the+Lord
Aretha Franklin,Rev. C.L. Franklin,artist/Rev.-C.L.-Franklin/2280
Aretha Franklin,Never Grow Old,/lyric/750208/Rev.+C.L.+Franklin/Never+Grow+Old
Aretha Franklin,Rev. C.L. Franklin,artist/Rev.-C.L.-Franklin/2280
Aretha Franklin,"Baby, I Love You",/lyric/28344177/Aretha+Franklin/Baby%2C+I+Love+You
Aretha Franklin,Oh Me Oh My (I'm a Fool for You Baby),/lyric/2878016/Aretha+Franklin/Oh+Me+Oh+My+%28I%27m+a+Fool+for+You+Baby%29
Aretha Franklin,Integrity,/lyric/2017713/Aretha+Franklin/Integrity
Aretha Franklin,Push,/lyric/2017712/Wolf%2C+Peter/Push
Aretha Franklin,"Wolf, Peter","artist/Wolf,-Peter/0"
Aretha Franklin,Peter Wolf,artist/Peter-Wolf/5861
Aretha Franklin,Sweet Bitter Love,/lyric/2017707/Aretha+Franklin/Sweet+Bitter+Love
Aretha Franklin,Ain't Nobody Ever Loved You,/lyric/26519476/Aretha+Franklin/Ain%27t+Nobody+Ever+Loved+You
Aretha Franklin,Sisters Are Doin' It for Themselves,/lyric/26519478/Aretha+Franklin/Sisters+Are+Doin%27+It+for+Themselves
Aretha Franklin,Until You Say You Love Me,/lyric/26519477/Aretha+Franklin/Until+You+Say+You+Love+Me
Aretha Franklin,An Angel Cries,/lyric/3639689/Aretha+Franklin/An+Angel+Cries
Aretha Franklin,Do You Still Remember,/lyric/3639686/Aretha+Franklin/Do+You+Still+Remember
Aretha Franklin,Look to the Rainbow,/lyric/24365363/Aretha+Franklin/Look+to+the+Rainbow
Aretha Franklin,If You Need My Love Tonight,/lyric/31529604/Aretha+Franklin/If+You+Need+My+Love+Tonight
Aretha Franklin,Larry Graham,artist/Larry-Graham/17977
Aretha Franklin,He Will Wash You White as Snow,/lyric/48618/Aretha+Franklin/He+Will+Wash+You+White+as+Snow
Aretha Franklin,Yield Not to Temptation,/lyric/48620/Aretha+Franklin/Yield+Not+to+Temptation
Aretha Franklin,Until You Come Back to Me,/lyric/9855670/Aretha+Franklin/Until+You+Come+Back+to+Me
Aretha Franklin,Skylark,/lyric/665003/Aretha+Franklin/Skylark
Aretha Franklin,Ave Maria,/lyric/6270189/Aretha+Franklin/Ave+Maria
Aretha Franklin,Jesus Hears Every Prayer,/lyric/6270182/Aretha+Franklin/Jesus+Hears+Every+Prayer
Aretha Franklin,The Lord's Prayer,/lyric/6270184/Aretha+Franklin/The+Lord%27s+Prayer
Aretha Franklin,Oh Happy Day,/lyric/6270186/Aretha+Franklin/Oh+Happy+Day
Aretha Franklin,Mavis Staples,artist/Mavis-Staples/127995
Aretha Franklin,Walk in the Light,/lyric/6270179/Aretha+Franklin/Walk+in+the+Light
Aretha Franklin,If Ever a Love There Was,/lyric/3117903/The+Four+Tops/If+Ever+a+Love+There+Was
Aretha Franklin,The Four Tops,artist/The-Four-Tops/4300
Aretha Franklin,Kenny G,artist/Kenny-G/5924
Aretha Franklin,"It Isn't, It Wasn't, It Ain't Never Gonna Be",/lyric/3117899/Aretha+Franklin/It+Isn%27t%2C+It+Wasn%27t%2C+It+Ain%27t+Never+Gonna+Be
Aretha Franklin,Whitney Houston,artist/Whitney-Houston/4519
Aretha Franklin,Think [1989],/lyric/3117901/Aretha+Franklin/Think+%5B1989%5D
Aretha Franklin,"It Isn't, It Wasn't, It Ain't Never Gonna Be [House Radio Mix] [Mix]",/lyric/31529560/Aretha+Franklin/It+Isn%27t%2C+It+Wasn%27t%2C+It+Ain%27t+Never+Gonna+Be+%5BHouse+Radio+Mix%5D+%5BMix%5D
Aretha Franklin,Whitney Houston,artist/Whitney-Houston/4519
Aretha Franklin,Moody's Mood,/lyric/1207145/Aretha+Franklin/Moody%27s+Mood
Aretha Franklin,Respect,/lyric/293987/Aretha+Franklin/Respect
Aretha Franklin,"Precious Lord (Take My Hand), Pt. 1",/lyric/921266/Aretha+Franklin/Precious+Lord+%28Take+My+Hand%29%2C+Pt.+1
Aretha Franklin,"Do Right Woman, Do Right Man",/lyric/1000112/Aretha+Franklin/Do+Right+Woman%2C+Do+Right+Man
Aretha Franklin,Rock Steady,/lyric/1000146/Aretha+Franklin/Rock+Steady
Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,/lyric/2754536/Aretha+Franklin/%28Sweet+Sweet+Baby%29+Since+You%27ve+Been+Gone
Aretha Franklin,Everyday People,/lyric/3168451/Aretha+Franklin/Everyday+People
Aretha Franklin,What You See Is What You Sweat,/lyric/3168453/Aretha+Franklin/What+You+See+Is+What+You+Sweat
Aretha Franklin,O Christmas Tree,/lyric/4101363/Aretha+Franklin/O+Christmas+Tree
Aretha Franklin,(Blue) By Myself,/lyric/953073/Aretha+Franklin/%28Blue%29+By+Myself
Aretha Franklin,Love for Sale,/lyric/953089/Aretha+Franklin/Love+for+Sale
Aretha Franklin,Maybe I'm a Fool,/lyric/953074/Aretha+Franklin/Maybe+I%27m+a+Fool
Aretha Franklin,Operation Heartbreak,/lyric/953094/Aretha+Franklin/Operation+Heartbreak
Aretha Franklin,Sweet Lover,/lyric/953078/Aretha+Franklin/Sweet+Lover
Aretha Franklin,This Could Be the Start of Something,/lyric/953092/Aretha+Franklin/This+Could+Be+the+Start+of+Something
Aretha Franklin,Why Was I Born?,/lyric/953108/Aretha+Franklin/Why+Was+I+Born%3F
Aretha Franklin,Someday We'll All Be Free,/lyric/1047618/Aretha+Franklin/Someday+We%27ll+All+Be+Free
Aretha Franklin,All the King's Horses,/lyric/2878193/Aretha+Franklin/All+the+King%27s+Horses
Aretha Franklin,Border Song (Holy Moses),/lyric/2878186/Aretha+Franklin/Border+Song+%28Holy+Moses%29
Aretha Franklin,The Dark End of the Street,/lyric/2878179/Aretha+Franklin/The+Dark+End+of+the+Street
Aretha Franklin,Every Natural Thing,/lyric/2878204/Aretha+Franklin/Every+Natural+Thing
Aretha Franklin,The House That Jack Built,/lyric/2878154/Aretha+Franklin/The+House+That+Jack+Built
Aretha Franklin,Rock with Me,/lyric/2878210/Aretha+Franklin/Rock+with+Me
Aretha Franklin,Sit Down and Cry,/lyric/2878168/Aretha+Franklin/Sit+Down+and+Cry
Aretha Franklin,So Swell When You're Well,/lyric/2878198/Aretha+Franklin/So+Swell+When+You%27re+Well
Aretha Franklin,Sparkle,/lyric/2878209/Aretha+Franklin/Sparkle
Aretha Franklin,Why I Sing the Blues,/lyric/2878183/Aretha+Franklin/Why+I+Sing+the+Blues
Aretha Franklin,My Song,/lyric/1083899/Aretha+Franklin/My+Song
Aretha Franklin,Somewhere (Plus Rien),/lyric/15660694/Aretha+Franklin/Somewhere+%28Plus+Rien%29
Aretha Franklin,Ain't No Way,/lyric/3168033/Aretha+Franklin/Ain%27t+No+Way
Aretha Franklin,The Weight,/lyric/3168031/Aretha+Franklin/The+Weight
Aretha Franklin,I Never Loved a Man (The Way I Love You),/lyric/1084476/Aretha+Franklin/I+Never+Loved+a+Man+%28The+Way+I+Love+You%29
Aretha Franklin,Eleanor Rigby,/lyric/1790228/Aretha+Franklin/Eleanor+Rigby
Aretha Franklin,The Makings of You,/lyric/1047284/Aretha+Franklin/The+Makings+of+You
Aretha Franklin,All Night Long,/lyric/842006/Aretha+Franklin/All+Night+Long
Aretha Franklin,Doctor's Orders,/lyric/983908/Aretha+Franklin/Doctor%27s+Orders
Aretha Franklin,Luther Vandross,artist/Luther-Vandross/5743
Aretha Franklin,Ever Changing Times,/lyric/983915/Aretha+Franklin/Ever+Changing+Times
Aretha Franklin,Michael McDonald,artist/Michael-McDonald/4870
Aretha Franklin,Freeway of Love,/lyric/983904/Aretha+Franklin/Freeway+of+Love
Aretha Franklin,Honey,/lyric/983912/Aretha+Franklin/Honey
Aretha Franklin,I Dreamed a Dream,/lyric/983918/Aretha+Franklin/I+Dreamed+a+Dream
Aretha Franklin,I Knew You Were Waiting (For Me),/lyric/983905/Aretha+Franklin/I+Knew+You+Were+Waiting+%28For+Me%29
Aretha Franklin,George Michael,artist/George-Michael/4909
Aretha Franklin,Jimmy Lee,/lyric/983916/Aretha+Franklin/Jimmy+Lee
Aretha Franklin,United Together,/lyric/983909/Aretha+Franklin/United+Together
Aretha Franklin,Who's Zoomin' Who,/lyric/983910/Aretha+Franklin/Who%27s+Zoomin%27+Who
Aretha Franklin,Willing to Forgive,/lyric/983907/Aretha+Franklin/Willing+to+Forgive
Aretha Franklin,Another Night,/lyric/1785333/Aretha+Franklin/Another+Night
Aretha Franklin,Deeper Love,/lyric/98981/Aretha+Franklin/Deeper+Love
Aretha Franklin,Something He Can Feel,/lyric/2671372/Aretha+Franklin/Something+He+Can+Feel
Aretha Franklin,Call Me [*],/lyric/2877952/Aretha+Franklin/Call+Me+%5B%2A%5D
Aretha Franklin,Eleanor Rigby [*],/lyric/2877950/Aretha+Franklin/Eleanor+Rigby+%5B%2A%5D
Aretha Franklin,All the King's Horses [*],/lyric/2877967/Aretha+Franklin/All+the+King%27s+Horses+%5B%2A%5D
Aretha Franklin,Border Song (Holy Moses) [*],/lyric/2877965/Aretha+Franklin/Border+Song+%28Holy+Moses%29+%5B%2A%5D
Aretha Franklin,Brand New Me [*],/lyric/2877966/Aretha+Franklin/Brand+New+Me+%5B%2A%5D
Aretha Franklin,Master of Eyes (The Deepness of Your Eyes),/lyric/2877961/Aretha+Franklin/Master+of+Eyes+%28The+Deepness+of+Your+Eyes%29
Aretha Franklin,Oh Me Oh My (I'm a Fool for You Baby) [*],/lyric/2877968/Aretha+Franklin/Oh+Me+Oh+My+%28I%27m+a+Fool+for+You+Baby%29+%5B%2A%5D
Aretha Franklin,Bridge over Troubled Water,/lyric/2302158/Aretha+Franklin/Bridge+over+Troubled+Water
Aretha Franklin,I'm in Love,/lyric/2304197/Aretha+Franklin/I%27m+in+Love
Aretha Franklin,Silent Night,/lyric/3997534/The+Four+Tops/Silent+Night
Aretha Franklin,The Four Tops,artist/The-Four-Tops/4300
Aretha Franklin,White Christmas,/lyric/3997530/The+Four+Tops/White+Christmas
Aretha Franklin,The Four Tops,artist/The-Four-Tops/4300
Aretha Franklin,A Change,/lyric/2653365/Aretha+Franklin/A+Change
Aretha Franklin,Hello Sunshine,/lyric/2653364/Aretha+Franklin/Hello+Sunshine
Aretha Franklin,I Take What I Want,/lyric/2653363/Aretha+Franklin/I+Take+What+I+Want
Aretha Franklin,You Send Me,/lyric/2653361/Aretha+Franklin/You+Send+Me
Aretha Franklin,Muddy Water,/lyric/272135/Aretha+Franklin/Muddy+Water
Aretha Franklin,Kissin' by the Mistletoe,/lyric/2395148/Aretha+Franklin/Kissin%27+by+the+Mistletoe
Aretha Franklin,You've Got a Friend,/lyric/2030098/Aretha+Franklin/You%27ve+Got+a+Friend
Aretha Franklin,BeBe & CeCe Winans,artist/BeBe-&-CeCe-Winans/138970
Aretha Franklin,CeCe Winans,artist/CeCe-Winans/168317
Aretha Franklin,BeBe Winans,artist/BeBe-Winans/182795
Aretha Franklin,Someone Else's Eyes,/lyric/1224526/Aretha+Franklin/Someone+Else%27s+Eyes
Aretha Franklin,Get It Right,/lyric/1606340/Aretha+Franklin/Get+It+Right
Aretha Franklin,Spirit in the Dark,/lyric/1373093/Aretha+Franklin/Spirit+in+the+Dark
Aretha Franklin,Trouble in Mind,/lyric/1615996/Aretha+Franklin/Trouble+in+Mind
Aretha Franklin,It Hurts Like Hell,/lyric/1460770/Aretha+Franklin/It+Hurts+Like+Hell
Aretha Franklin,First Snow in Kokomo,/lyric/1615591/Aretha+Franklin/First+Snow+in+Kokomo
Aretha Franklin,California Girls,/lyric/1939935/Aretha+Franklin/California+Girls
Aretha Franklin,Deeper Love [C+C Tribesman Mix],/lyric/1472213/Aretha+Franklin/Deeper+Love+%5BC%2BC+Tribesman+Mix%5D
Aretha Franklin,I'll Fly Away,/lyric/2045464/Aretha+Franklin/I%27ll+Fly+Away
Aretha Franklin,Sisters Are Don' It for Themselves,/lyric/14597921/Eurythmics/Sisters+Are+Don%27+It+for+Themselves
Aretha Franklin,Eurythmics,artist/Eurythmics/4207
Aretha Franklin,Spirit in the Dark (Reprise),/lyric/1649541/Ray+Charles/Spirit+in+the+Dark+%28Reprise%29
Aretha Franklin,Ray Charles,artist/Ray-Charles/3876
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,/lyric/1392210/Aretha+Franklin/%28You+Make+Me+Feel+Like%29+A+Natural+Woman
Aretha Franklin,Let It Be,/lyric/2413503/Aretha+Franklin/Let+It+Be
Aretha Franklin,You're All I Need to Get By,/lyric/1285533/Aretha+Franklin/You%27re+All+I+Need+to+Get+By
Aretha Franklin,Think,/lyric/1670094/Aretha+Franklin/Think
Aretha Franklin,Share Your Love With Me,/lyric/1391904/Aretha+Franklin/Share+Your+Love+With+Me
Aretha Franklin,Every Little Bit Hurts,/lyric/1916249/Aretha+Franklin/Every+Little+Bit+Hurts
Aretha Franklin,Here We Go Again,/lyric/1916248/Aretha+Franklin/Here+We+Go+Again
Aretha Franklin,How Many Times,/lyric/1916252/Aretha+Franklin/How+Many+Times
Aretha Franklin,I'll Dip,/lyric/1916251/Aretha+Franklin/I%27ll+Dip
Aretha Franklin,In the Morning,/lyric/1916250/Aretha+Franklin/In+the+Morning
Aretha Franklin,Love Pang,/lyric/1916254/Aretha+Franklin/Love+Pang
Aretha Franklin,A Rose Is Still a Rose,/lyric/1916245/Aretha+Franklin/A+Rose+Is+Still+a+Rose
Aretha Franklin,Watch My Back,/lyric/1916253/Aretha+Franklin/Watch+My+Back
Aretha Franklin,The Woman,/lyric/1916255/Aretha+Franklin/The+Woman
Aretha Franklin,Freeway of Love [Rock Mix],/lyric/2186806/Aretha+Franklin/Freeway+of+Love+%5BRock+Mix%5D
Aretha Franklin,You Can't Always Get What You Want,/lyric/2032110/Aretha+Franklin/You+Can%27t+Always+Get+What+You+Want
Aretha Franklin,Here We Go Again [Morales Classic Mix],/lyric/3028112/Aretha+Franklin/Here+We+Go+Again+%5BMorales+Classic+Mix%5D
Aretha Franklin,Through the Storm,/lyric/2089582/Aretha+Franklin/Through+the+Storm
Aretha Franklin,Elton John,artist/Elton-John/4617
Aretha Franklin,Respect [*],/lyric/2723802/Aretha+Franklin/Respect+%5B%2A%5D
Aretha Franklin,"Baby, I Love You [From Goodfellas]",/lyric/2384420/Aretha+Franklin/Baby%2C+I+Love+You+%5BFrom+Goodfellas%5D
Aretha Franklin,Exactly Like You,/lyric/2394601/Aretha+Franklin/Exactly+Like+You
Aretha Franklin,For All We Know,/lyric/2394606/Aretha+Franklin/For+All+We+Know
Aretha Franklin,How Deep Is the Ocean?,/lyric/2394598/Aretha+Franklin/How+Deep+Is+the+Ocean%3F
Aretha Franklin,I Apologize,/lyric/2394605/Aretha+Franklin/I+Apologize
Aretha Franklin,Moon River,/lyric/2394607/Aretha+Franklin/Moon+River
Aretha Franklin,Until the Real Thing Comes Along,/lyric/2394599/Aretha+Franklin/Until+the+Real+Thing+Comes+Along
Aretha Franklin,Rock Steady [*],/lyric/2365733/Aretha+Franklin/Rock+Steady+%5B%2A%5D
Aretha Franklin,You Are My Sunshine,/lyric/19047832/Aretha+Franklin/You+Are+My+Sunshine
Aretha Franklin,I Never Loved a Man (The Way I Love You) [Live],/lyric/2877878/Aretha+Franklin/I+Never+Loved+a+Man+%28The+Way+I+Love+You%29+%5BLive%5D
Aretha Franklin,I Wonder (Where Are You Tonight) [*],/lyric/2877891/Aretha+Franklin/I+Wonder+%28Where+Are+You+Tonight%29+%5B%2A%5D
Aretha Franklin,Pitiful [*],/lyric/2877890/Aretha+Franklin/Pitiful+%5B%2A%5D
Aretha Franklin,Ramblin' [*],/lyric/2877889/Aretha+Franklin/Ramblin%27+%5B%2A%5D
