Band,Lyrics,Song,Year
Chris Mills,"You're everything I every wanted
You're everything I ever needed
You're everything that was good in my life
How did things go so bad?

Well I could say I'm sorry
I tried to tell you I can change
But the words they get all twisted
They get rearranged

This love is gonna kill me
This love is gonna kill me
This love is gonna kill me
One of these days

Well I guess that you're leaving
I really don't know why you stayed
I guess it don't matter
What can I say

This love is gonna kill me
This love is gonna kill me
This love is gonna kill me
One of these days
One of these days
One of these days
One of these days
One of these days",This Love,2003
Chris Mills,"Trouble me no more stranger
Trouble me no more
You got what you were after
I got what I was waiting for
Cause you were looking for a sucker
And I was ripe for a lesson
So just leave what you have broken
And trouble me no more",Trouble Me No More,2003
Chris Mills,"I dreamed I was Richard Pryor
Running on fire down the Sunset Strip
And as the flames burned brighter, my head grew lighter
And I watched the flesh fall from my fingertips

Ashes to ashes
Trust to dust
I don't know what it means
To be burned by something that you love so much
I think I must be living the dream
I know that I am living the dream

I dreamed I was the pilot
Of a ship lost out at sea
And as my eyes filled up with blood
My ears rang with cries of mutiny

Ashes to ashes
Trust to dust
I don't know what it means
To be blinded by something that you love so much
I think I must be living the dream
I think that I am living the dream

A flock of birds flew from my mouth
And as I fell to my knees
I could hear those hollow bones
All echo back to me

Ashes to ashes
Trust to dust
I don't know what it means
When you try to hold on to something you can't touch
I think I must be living the dream
I think that I am living the dream",Chris Mills Is Living the Dream,2005
Chris Mills,"Dancing on the head of a pin
Dancing on the head of a pin
Sleep our days away on the edge of a blade
But at night we all go out
Dancing on the head of a pin

All we want is to love
And to be loved in return
But for every breath you take
There's a heart somewhere that breaks
And a promise that's come all undone

Because we're dancing on the head of a pin
Dancing on the head of a pin
Sleep our days away on the edge of a blade
But at night we all go out
Dancing on the head of a pin

As sure as the sun will rise
Or the rain does fall
Love will find a way to make a king into a slave
Or a man into a child

Just dancing on the head of a pin
Dancing on the head of a pin
Sleep our days away on the edge of a blade
But at night we all go out
Dancing on the head of a pin
Dancing on the head of a pin",Dancing on the Head of a Pin,2005
Chris Mills,"Stars are falling from the sky
And virgins all from the parapet
With arms outstretched, they have leapt
They are tired of waiting
For a groom they know will never come
Now that the King of Kings has gone out of his head
He's whispering to fools in their beds
And giving them the power

And it's late, but it's not too late
We can still make our escape
I've tunneled beneath the subway line
So take a last look from the corner of your eye
At the city lights all fading

Now that the sky has come crashing to the ground
And we've played back all the black boxes we found
On the corner kids are moving to the sound
Of history repeating
So say goodbye to all that you love best
And hope we find it all again somewhere out west
For in these skyscrapers united we will stand
Only in our isolation

And I'm high, but I'm not that high
If we had a car, I think I could still drive
From here to the Berlin Wall
Or the bottom of the ocean

And it's late, but it's not too late
We can still make our escape
And though it's sad, it's not that sad
For soon the memories of the hard times that we've had
Will be like city lights all fading",Escape from New York,2005
Chris Mills,"Daddy, won't you tell me
Everything about the heart?
Where it stops and where it starts
And where to let it go
Won't you tell me
So that I will know?

For it has loved a girl
And it has loved a boy
It has been set fire
And it has been destroyed
But still I hear it beating
Like that song you used to sing me all the time

I just want to know
If love is real

Is it high or is it low?
Is it fast or is it slow?
Or is it never-ending
Forever spinning like a wheel?

So, daddy, won't you tell me
Everything about the heart?
Where it stops and where it starts
And where to let it go
Won't you tell me
So that I will know?",Everything About the Heart,2005
Chris Mills,"Lover, lay your weapons down
And wipe the blood from around your mouth
And let the armies of my heart
Beaten but still beating
Go silently retreating in night
There is no common ground left for to fight
So, lover, lay your weapons down

You soldier, you captain
You've seen so much action
I know our bed is only ashes now

But I can't believe
How you could bear to see
All those fresh-faced boys with copper coins across their eyes

They came with looks to kill
But all they learned how to do was die
So, lover, lay your weapons down

Lover, lay your weapons down
And let the bodies all be found
Naked, burnt, and twisted
Tattooed hearts upon their wrists
And passion forever frozen in their mouths
At least now we know what love is all about
So, lover, lay your weapons down
Lover, lay your weapons down",A Farewell to Arms,2005
Chris Mills,"I think I've seen you
Or maybe I've been you
I don't know how deep
I just know I've been in you
By the touch of your lips
Or the way that your slip
Hangs from your ancient frame
And I've been waiting my whole life
Just to love you again

I've wasted nights on the Spanish canals
Like a fool, trying to sail from your memory somehow
But now I can see
It was not up to me
It's all been some master plan
And I've been waiting my whole life
Just to love you again

As for the girls in the gas station bathrooms
Or on top of the Eiffel Tower
I know I said that I loved them
And I did
But I've been waiting my whole life
Just to love you again

For there is no earthly aspect
To match the beauty of your eye
No countenance so full from light within
And though I've spent endless ages
Trying to deny it
I've been waiting my whole life
Just to love you again",In the Time of Cholera,2005
Chris Mills,"Martha, will you please be quiet?
Can't you see that I'm trying to sleep?
I know, though you have told me
That our love is growing cold
We're not the first ones to trade passion
For a little bit of peace

And, Martha, will you please stop crying?
The neighbors are beginning to talk
You say our love is dying
But I find it very trying
To try and conjure up nostalgia
For something that never was

So go on, Martha
Find a better life if it is out there
Go on, Martha
And sing to me the miracles you find
And I'll be here waiting for you
When you've found that all your dreaming
Was just a waste of time",Mothra (Will You Please Be Quiet),2005
Chris Mills,"This weather's got to change
Because I'm so tired of the rain
I know it makes the flowers grow
But tonight, it just makes me said

And I miss the summer sun
And you in your summer clothes
Your face pressed against the sky
Sunlight dancing on your shoulders

Maybe this is but a dream
And the winter some sad hour
In the middle on the night
When your heart's lost all its power
But you know you can't give up
You know you can't give in
Because when the morning comes
Everything that is black
Will be blue again

This weather's got to change
Because I'm so tired of the way
The wind will lift you up
Just to knock you down again

But when you can't go on
And you just want it to end
You know all you have to do
Is close yours and pretend

That this is but a dream
And the world some sad hour
In the middle of the night
When your love's lost all its power
But you know you can't give in
Because when the morning comes
Everything that is black
Will be blue again",The World Some Sad Hour,2005
