Band,Lyrics,Song,Year
Chiller Streeter,"I'm gonna make a change,
For once I'm my life
It's gonna feel real good,
Gonna make a difference
Gonna make it right

As I, turn up the collar on
My favorite winter coat
This wind is blowing my mind
I see the kids in the streets,
With not enough to eat
Who am I to be blind?
Pretending not to see their needs

A summer disregard,a broken bottle top
And a one man soul
They follow each other on the wind ya' know
'Cause they got nowhere to go
That's why I want you to know

I'm starting with the man in the mirror
I'm asking him to change his ways
And no message could have been any clearer
If you want to make the world a better place
(If you want to make the world a better place)
Take a look at yourself, and then make a change
(Take a look at yourself, and then make a change)
(Na na na, na na na, na na, na nah)

I've been a victim of a selfish kind of love
It's time that I realize
That there are some with no home, not a nickel to loan
Could it be really me, pretending that they're not alone?

A willow deeply scarred, somebody's broken heart
And a washed-out dream
(Washed-out dream)
They follow the pattern of the wind ya' see
'Cause they got no place to be
That's why I'm starting with me
(Starting with me!)

I'm starting with the man in the mirror
(Ooh!)
I'm asking him to change his ways
(Ooh!)
And no message could have been any clearer
If you want to make the world a better place
(If you want to make the world a better place)
Take a look at yourself, and then make a change
(Take a look at yourself, and then make a change)

I'm starting with the man in the mirror
(Ooh!)
I'm asking him to change his ways
(Change his ways, ooh!)
And no message could have been any clearer
If you want to make the world a better place
Take a look at yourself and then make that
(Take a look at yourself and then make that)
Change!

I'm starting with the man in the mirror
(Man in the mirror, oh yeah!)
I'm asking him to change his ways
(Better change!)
No message could have been any clearer
(If you want to make the world a better place)

(Take a look at yourself and then make the change)
(You gotta get it right, while you got the time)
('Cause when you close your heart)
You can't close your, your mind!
(Then you close your, mind!)
That man, that man, that man, that man
With the man in the mirror
(Man in the mirror, oh yeah!)
That man, that man, that man,
I'm asking him to change his ways
(Better change!)
You know, that man
No message could have been any clearer
If you want to make the world a better place
(If you want to make the world a better place)
Take a look at yourself and then make the change
(Take a look at yourself and then make the change)
Hoo! Hoo! Hoo! Hoo! Hoo!
Na na na, na na na, na na, na nah
(Ooh)
Oh no, no no

I'm gonna make a change
It's gonna feel real good!
Come on!
(Change)
Just lift yourself
You know
You've got to stop it,
Yourself!
(Yeah! Make that change!)
I've got to make that change, today!
Hoo!
(Man in the mirror)
You got to
You got to not let yourself
Brother
Hoo!
(Yeah! Make that change!)
You know I've got to get
That man, that man

(Man in the mirror)
You've got to
You've got to move! Come on!
Come on!
You got to

Stand up! Stand up! Stand up!
(Yeah! Make that change)
Stand up and lift yourself, now!
(Man in the mirror)
Hoo! Hoo! Hoo!
Aw!
(Yeah! Make that change!)
Gonna make that change

Come on!
You know it!
You know it!
You know it!
You know it
(Change)
Make that change.",Man in the Mirror,2010
Chilli,"Do you really want to know?
Butt the boy from my show.

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

Do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Do you, do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Yes, about the type for us to get down
Hip, hop, go down, walking all around
Don´t be afraid of betternees
Do what you please!

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

>>>>SOLO
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

I say you, this is the story
In the cloud of your friends
------
------
If you like to get up
When the music gets back
And I was thinking to myself
""Mhh, what can I do with that""
My king is a prown,
I love the way you break it down
And it would´nt surprise me
If he got around
He said, ""Girl, I like your style,
Let´s chill here for a while""

Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

Is it the time for us to get down
Yes, it´s time for us to get down
Is it really the time for us to get down,
Yes, it´s time for us to get down

Now, lalidadi
We, like to party
Who like to party ?

Now, lalidadi
We, like to party
Who like to party ?
We, like to party

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita","Tic, Tic, Tac",1997
Chilli,"Do you really want to know?
Butt the boy from my show.

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

Do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Do you, do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Yes, about the type for us to get down
Hip, hop, go down, walking all around
Don´t be afraid of betternees
Do what you please!

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

>>>>SOLO
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

I say you, this is the story
In the cloud of your friends
------
------
If you like to get up
When the music gets back
And I was thinking to myself
""Mhh, what can I do with that""
My king is a prown,
I love the way you break it down
And it would´nt surprise me
If he got around
He said, ""Girl, I like your style,
Let´s chill here for a while""

Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

Is it the time for us to get down
Yes, it´s time for us to get down
Is it really the time for us to get down,
Yes, it´s time for us to get down

Now, lalidadi
We, like to party
Who like to party ?

Now, lalidadi
We, like to party
Who like to party ?
We, like to party

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita",Tic Tic Tac,1997
Chilli,"Mother, mother
There's too many of you crying
Brother, brother, brother
There's far too many of you dying
You know we've got to find a way
To bring some lovin' here today, yea

Father, father
We don't need to escalate
You see, war is not the answer
For only love can conquer hate
You know we've got to find a way
To bring some lovin' here today

Picket lines and picket signs
Don't punish me with brutality
Talk to me, so you can see
Oh, what's going on
What's going on
Ya, what's going on
Ah, what's going on

In the mean time
Right on, baby
Right on
Right on

Father, father, everybody thinks we're wrong
Oh, but who are they to judge us
Simply because our hair is long
Oh, you know we've got to find a way
To bring some understanding here today
Oh

Picket lines and picket signs
Don't punish me with brutality
Talk to me
So you can see
What's going on
Ya, what's going on
Tell me what's going on
I'll tell you what's going on - Uh
Right on baby
Right on baby",What's Going On [Mick Guzausk's Pop Mix],2001
Chilli,"I (I want to change my number)
Cuz you (you steady call my number)
Cuz you
Want everyone to think that (you're so over me)

But I (I know I got you open)
And you (I know you probably hoping)
That we (can maybe get together)
That's something I can't see

I bet you're still thinkin bout me
I bet you're still thinkin bout when you're with her
Cause you still be callin me (at 3:45)
And I can not believe that you are still around

Yo, why you gotta knock on my (do')
You know I don't want you no (mo')
I bet your boys don't know
That you're (actin' like a ...oh!)

Said you was cool without me (but no)
You can do without me (I hope)
That your girlfriend knows
That you're (crawlin on all fours)

I bet you're still thinkin bout me
I bet you're still thinkin bout when you're with her
Cause you still be callin me (at 3:45)
And I can not believe that you are still around

Since you got so many confessions
Why can't you admit that you were stressin me out
I'm just glad I learned my lesson
I can't let you back into my life
I'm so much happier now

Now I bet you thinkin bout me
Yo girl is Oh So Kris-pie!
Check it
My lifestyle is cool
Yeah you thinkin of me
But I ain't thinkin of you ... shoot!
Cause I'm smooth like that
Chuck D's, pretty face you remember that (oh)
You chose her
You can't have this back
Just remember this picture in my Cadillac

I bet you're still thinkin bout me
I bet you're still thinkin bout when you're with her
Cause you still be callin me (at 3:45)
And I can not believe that you are still around

I bet you're still thinkin bout me
I bet you're still thinkin bout when you're with her
Cause you still be callin me (at 3:45)
And I can not believe that you are still around",I Bet,2005
Chilli,"Do you really want to know?
Butt the boy from my show.

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

Do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Do you, do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Yes, about the type for us to get down
Hip, hop, go down, walking all around
Don´t be afraid of betternees
Do what you please!

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

>>>>SOLO
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

I say you, this is the story
In the cloud of your friends
------
------
If you like to get up
When the music gets back
And I was thinking to myself
""Mhh, what can I do with that""
My king is a prown,
I love the way you break it down
And it would´nt surprise me
If he got around
He said, ""Girl, I like your style,
Let´s chill here for a while""

Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

Is it the time for us to get down
Yes, it´s time for us to get down
Is it really the time for us to get down,
Yes, it´s time for us to get down

Now, lalidadi
We, like to party
Who like to party ?

Now, lalidadi
We, like to party
Who like to party ?
We, like to party

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita",Tic Tic Tac,2000
Chilli,"Do you really want to know?
Butt the boy from my show.

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

Do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Do you, do you really want to know?
Butt the boy from my show.

Yes, I want to know!
Butt the boy from your show!

Yes, about the type for us to get down
Hip, hop, go down, walking all around
Don´t be afraid of betternees
Do what you please!

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

>>>>SOLO
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

I say you, this is the story
In the cloud of your friends
------
------
If you like to get up
When the music gets back
And I was thinking to myself
""Mhh, what can I do with that""
My king is a prown,
I love the way you break it down
And it would´nt surprise me
If he got around
He said, ""Girl, I like your style,
Let´s chill here for a while""

Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
---
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita

I was down for long, in my life
It was time for falling in love

Come on and sing with,
Come and dance with me
Now it´s time for falling in love

Is it the time for us to get down
Yes, it´s time for us to get down
Is it really the time for us to get down,
Yes, it´s time for us to get down

Now, lalidadi
We, like to party
Who like to party ?

Now, lalidadi
We, like to party
Who like to party ?
We, like to party

Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita
Bachi, Bachi, dambo
Girl, chici chici chici chita","Tic, Tic Tac",2002
Chilliwack,"I went down to see lonesome Mary
She was a-sittin' all alone
She was a cryin' about her calm drearyness
Of the faded desert of a home

She was a-weepin' and a-wailin'
You know she does it every day
I said Mary, Mary, Mary, Mary
How can you live that way?

She said I don't know
It must be in my soul
I guess I've lost beat
With mom's library
How to get along with persons in the world

Oooooooooooooooohhhhh lonesome Mary
Oooooooooooooooohhhhh lonesome Mary
Yeah, yeah yeah

Oh tonight I see lonesome Mary
She was a-sittin' all alone
She was a cryin' about her calm drearyness
Of the faded desert of a home

She was a-weepin' and a-wailin'
You know she does it every day
I said Mary, Mary, Mary, Mary
How can you live that way?

She said I don't know
It must be in my soul
I guess I've lost beat
With mom's library
How to get along with persons in the world

Oooooooooooooooohhhhh lonesome Mary
Oooooooooooooooohhhhh lonesome Mary
Yeah, yeah yeah
Oh yeah!",Lonesome Mary,1971
Chilliwack,"She talks crazy talk
She talks crazy talk
She talks crazy talk
She could make a man a ruin

She talks crazy talk
She'll tell ya anything
She talks crazy talk
She could give a man the ruin

And if you fall for her lies
In a while, you will find
You can dance, you can sing
Like a puppet on a string
But you ain't in control of a single thing

She talks crazy talk
She talks crazy talk
She'll tell ya anything
She could make a man a ruin

She talks mumbo jumbo
Monkey on your back
She talks crazy talk
She could make a man a ruin

And if you fall for her lies
In a while, you will find
You can dance, you can sing
Like a puppet on a string
But you ain't in control of a single thing

She talks crazy talk
She don't mean a word she says
She talks crazy talk
She could make a man a ruin

She talks crazy talk, mumbo jumbo
Monkey on your back
She talks crazy talk
She could make a man a ruin

She talks crazy talk, mumbo jumbo
Monkey on your back
She talks crazy talk
She could make a man a ruin",Crazy Talk,1974
Chilliwack,"Have you got something to tell me?
Please come up and tell it to me,
Please come up and tell me baby blue.

Have you got a tear or two, well,
Come on up and tell me do now,
You can tell it all now, baby blue.

Really baby don't be shy,
It's alright for me to talk to you.
So let it all come out
And let it all come through, baby blue.

Someone has been cruel to you,
Someone has been unkind to you,
How about you tell me, tell me do.

Who would want to treat you that way?
Who would stand to see you that way?
Who could make you cry now, baby blue?
Let it all come out
And let it all come through, baby blue.

Ooh-ooh-ooh, someone hurt you bad,
Ooh-ooh-ooh, you don't have to take it so bad.

Really baby don't be shy,
It's alright for me to talk to you.
And let it all come out
And let it all come through, baby blue.",Baby Blue,1977
