Band,Lyrics,Song,Year
Ginny O'Connor,"In my imagination, I'm finding consolation
Somewhere along the Rio Grande
Sadly I'm reminiscing, madly again I'm kissing
Someone along the Rio Grande
 
It happened in Monterey, a long time ago
I met her in Monterey, in old Mexico
Stars and steel guitars
And luscious lips, as red as wine
Broke somebody's heart
And I'm afraid that it was mine
It happened in Monterey
Without thinking twice
I left her and threw away the key to paradise
My indiscreet heart, longs for the sweetheart 
That I left in old Monterey
 
Making believe I'm merry
In ev'ry glass of sherry
I see the sparkle of her eye
And when I hear the cello
Tender and sweet and mellow
I hear the music of her sigh

It happened in Monterey, a long time ago
I met her in Monterey, in old Mexico
Stars and steel guitars
And luscious lips, as red as wine
Broke somebody's heart
And I'm afraid that it was mine
It happened in Monterey
Without thinking twice
I left her and threw away the key to paradise
My indiscreet heart, longs for the sweetheart",It Happened in Monterey,2007
Ginny O'Connor,"Don't need no palace paved with gold
Don't need more cash than banks can hold
When I get to feelin' a feelin'
For something there ain't too much of
My sweet lil' darlin' gives me her love
 
Don't catch me chasin' round at night
I'm not impressed by glamor sights
Lil' darlin' may not be as pretty 
As some other gals you can see
But my lil' darlin' only loves me",Li'l Darlin',2007
Ginny O'Connor,"Another bride, another June
Another sunny honeymoon
Another season, another reason
For makin' whoopee

A lot of shoes, a lot of rice
The groom is nervous, he answers twice
Its really killin' that he's so willin' 
To make whoopee

Picture a little love nest 
Down where the roses cling
Picture the same sweet love nest 
Think what a year can bring

He's washin dishes and baby clothes
He's so ambitious he even sews
But don't forget folks,
Thats what you get folks, for makin' whoopee

He doesn't make much money
Five thousand dollars per;
Some judge who thinks he's funny
Says, ""You pay six to her.""

He says, ""Now judge, suppose I fail?""
The judge says, ""Budge, right into jail.
You'd better keep her
I think it's cheaper
Than making whoopee.""",Makin' Whoopee,2007
Ginny O'Connor,"We want to multiply, are you gonna do it
I know you're qualified, are you gonna do it
Don't be so circumscribed, are you gonna do it
Just get yourself untied, are you gonna do it

Feel the heat pushing you to decide
Feel the heat burning you up, ready or not

Some like it hot and some sweat when the heat is on
Some feel the heat and decide that they can't go on
Some like it hot, but you can't tell how hot 'til you try
Some like it hot, so let's turn up the heat 'til we fry

The girl is at your side, are you gonna do it
She wants to be your bride, are you gonna do it
She wants to multiply, are you gonna do it
I know you won't be satisfied until you do it

Some like it hot and some sweat when the heat is on
Some feel the heat and decide that they can't go on
Some like it hot, but you can't tell how hot 'til you try
Some like it hot, so let's turn up the heat 'til we fry

Feel the heat pushing you to decide
Feel the heat burning you up, ready or not

Some like it hot and some sweat when the heat is on
Some feel the heat and decide that they can't go on
Some like it hot, but you can't tell how hot 'til you try
Some like it hot, so let's turn up the heat 'til we fry

Some like it hot, some like it hot
Some like it hot, some like it hot
Some like it hot, some like it hot
Some like it hot, some like it hot",Some Like It Hot,2007
Ginny O'Connor,"I was a hum-drum person
Leading a life apart
When love flew in through my window wide
And quickened my hum-drum heart
Love flew in through my window
I was so happy then
But after love had stayed a little while
Love flew out again

What is this thing called love?
This funny thing called love?
Just who can solve its mystery?
Why should it make a fool of me?
I saw you there one wonderful day
You took my heart and threw my heart away
That's why I ask the Lawd up in Heaven above
What is this thing called love?

You gave me days of sunshine
You gave me nights of cheer
You made my life an enchanted dream
'Til somebody else came near
Somebody else came near you
I felt the winter's chill
And now I sit and wonder night and day
Why I love you still",What Is This Thing Called Love,2007
Ginny Owens,"This road is winding, narrow and steep
And I can't keep walking with frozen feet,
My spirit is not willing;
My heart is cold as ice;
Thaw out my convictions;
The passion's left my life

[Chorus]
I don't want to be a flame
I want to be a raging fire!
Tired of my will, my way,
Your calling's higher
Oh, I know it's time I stopped running from the Truth
So I'll stand here still, until I'm filled
I want to be moved
I want to be moved by You

Want to be a rebel with a Holy cause,
Stand against the Devil and hold up my cross,
You have a mission for me; a reason why I'm here,
To radiate Your glory, with sweet songs to Your ears",I Wanna Be Moved,1999
Ginny Owens,"The pathway is broken
And The signs are unclear
And I don't know the reason why You brought me here
But just because You love me the way that You do
I'm gonna walk through the valley
If You want me to

[Chorus]
'Cause I'm not who I was
When I took my first step
And I'm clinging to the promise You're not through with me yet
so if all of these trials bring me closer to you
Then I will go through the fire
If You want me to

It may not be the way I would have chosen
When you lead me through a world that's not my home
But You never said it would be easy
You only said I'd never go alone

So When the whole world turns against me
And I'm all by myself
And I can't hear You answer my cries for help
I'll remember the suffering Your love put You through
And I will go through the valley
If You want me to",If You Want Me To,1999
Ginny Owens,"Thy Word is a lamp unto my feet and a light unto my path.
Thy Word is a lamp unto my feet and a light unto my path.

When I feel afraid Think I've lost my way, 
Still you're there right beside me.
Nothing will i fear as long as you are near, 
Please be near me to the end.

Thy Word is a lamp unto my feet and a light unto my path.
Thy Word is a lamp unto my feet and a light unto my path.

I will not forget your love for me and yet, 
My heart forever is wandering.
Jesus be my guide and hold me to your side, 
and I will love you to the end.

Nothing will i fear as long as you are near, 
Please be near me to the end.

Thy Word is a lamp unto my feet and a light unto my path.
Thy Word is a lamp unto my feet and a light unto my path.
And a light unto my path, you're the light unto my path.",Thy Word,1999
Ginny Owens,"Be thou my vision,
O lord of my heart;
Nought be all else to me
Save that thou art

Thou my best thought
By day or by night,
Waking or sleeping
Thy presence my light

Riches I heed not
Nor man's empty praise
Thou mine inheritance
Now and always

Thou and thou
Only first in my heart
High king of heaven,
My treasure thou art",Be Thou My Vision,1999
Ginny Owens,"Turnin' molehills into mountains,
Makin' big deals out of small ones,
Bearing gifts as if they're burdens,
This is how it's been.
Afraid of coming out of my shell,
Too many things I can't do too well,
Afraid I'll try real hard, and I'll fail
This is how it's been.
Till the day You pounded on my heart's door,
And You shouted joyfully,
""You're not a slave anymore!""

""You're free to dance-
Forget about your two left feet
And you're free to sing-even joyful noise is music to Me
You're free to love,
'Cause I've given you My love(repepte after bridge),
And it's made you free
After Bridge(I have set you free!"")
 
My mind finds hard to believe
That You became humanity and changed the course of history,
Because You loved me so.
And my heart cannot understand
Why You'd accept me as I am,
But You say You've always had a plan,
And that's all I need to know.
So when I am consumed by what the world will say,
It's Then You're singing to me, as You remove my chains-
 
Free from worry, free from envy and denial
Free to live, free to give, free to smile",Free,1999
