Band,Lyrics,Song,Year
Elton Britt & Rosalie Allen,"You're as hard to hold as quicksilver
When you kiss and run away
I dream you're mine and then as quick as quicksilver
All my dreams are led astray

I keep chasing you till I'm facing you
And embracing you with all your charms
Then you slip through my fingers just like quicksilver
Right into someone else's arms

Seems like I am havin' trouble with you
And I don't know what I'm gonna do
Seems like you're fickle, fickle as can be
And your fickle ways have got me up a tree

You're as hard to hold as quicksilver
When you kiss and run away
I dream you're mine and then as quick as quicksilver
All my dreams are led astray

I keep chasing you till I'm facing you
And embracing you with all your charms
Then you slip through my fingers just like quicksilver
Right into someone else's arms

Then you slip through my fingers just like quicksilver
Right into someone else's arms",Quicksilver,2004
Elton Dancer,"Your My Star, My Light, My whole entire life
Without you it's blurry and I can't see why
My friends say James are you feeling alright
And I just think that I'm dreaming all night
When I'm with you I feel I've been saved
And I wanna thank your mum and dad for what
They made so I just wanna say I'm gonna keep you
For life 24-7 I hope to

Hold ya closer and don't let go
I need to know how you feel too
So hold me closer and don't let go
I'm falling so please girl don't let go.

[Chorus]
Hold me Closer Tiny Dancer (Hold me Closer, Just hold me closer)
Count the headlights on the Highway
Lay me down in sheets of linen (Lay Me Down, Lay Me Down)
You had a busy day today

Your my perfect dream we're the perfect team
I'm the king, your the queen, your the book
That I read, without you it feels like there's no me
And that's why it's you that I just wanna keep
How many times have I told you that I love you
So many times you know I wanna hug you
So come and show me what love means
'Cause I don't really know I've just seen it in my dreams
I swear.

Hold ya closer and don't let go
I need to know how you feel too
So hold me closer and don't let go
I'm falling so please girl don't let go.

[Chorus]

It's crazy I don't think you recognize how strong my feelings are
So I dedicated this song to you listen.

Look I hope you recognize now what you really mean
Without you I couldn't do the songs I sing and I hope
You like it too 'cause it's nothing but the truth your not
Number 1 but you will be soon.

Hold ya closer and don't let go
I need to know how you feel too
So hold me closer and don't let go
I'm falling so please girl don't let go.

[Chorus: x2]

I hope your talking all the words man it's ironic",Tiny Dancer,2009
Elton G. Miranda,"One single drop of rain
Your salty tear became blue ocean
One tiny grain of sand turning in your hand
A world in motion

You're out beyond the furthest Morning Star
Close enough to hold me in Your arms
Adonai, I lift up my heart and I cry
My Adonai

You are the Maker of each moment
Father of my hope and freedom
Oh, my Adonai
One timid faithful knock

Resounds up the Rock of Ages
One trembling heart and soul
Becomes a servant bold and courageous
You call across the mountains and the seas

I answer from the deepest part of me
From age to age you reign in Majesty
And today You're making miracles in me",Adonai,2005
Elton John,"Blue eyes
Baby's got, blue eyes
Like a deep blue sea
On a blue, blue day

Blue eyes
Baby's got, blue eyes
When the mornin' comes
I'll be far away and I say

Blue eyes holdin' back the tears
Holdin' back the pain
Baby's got, blue eyes
And she's alone, again

Blue eyes
Baby's got, blue eyes
Like a clear blue sky
Watchin' over me

Blue eyes
Ooh, I love blue eyes
When I'm by her side
Where I long to be, I will see

Blue eyes laughin' in the sun
Laughin' in the rain
Baby's got, blue eyes
And I am home, and I am home again

Blue eyes laughin' in the sun
Laughin' in the rain
Baby's got, blue eyes
And I am home again",Blue Eyes/I Guess That's Why They Call It the Blues,
Elton John,"Levon wears his war wound like a crown
He calls his child Jesus 'cause he likes the name
And he sends him to the finest school in town

Levon, Levon likes his money
He makes a lot they say
Spends his days counting
In a garage by the motorway

He was born a pauper
To a pawn on a Christmas day
When the New York Times
Said God is dead and the war's begun
Alvin Tostig has a son today

And he shall be Levon
And he shall be a good man
And he shall be Levon
In tradition with the family plan
And he shall be Levon
And he shall be a good man
He shall be Levon

Levon's sells cartoon balloons in town
His family business thrives
Jesus blows up balloons all day
Sits on the porch swing watching them fly
And Jesus, he wants to go to Venus
Leave Levon far behind
Take a balloon and go sailing,
While Levon, Levon slowly dies

He was born a pauper
To a pawn on a Christmas day
When the New York Times
Said God is dead and the war's begun
Alvin Tostig has a son today

And he shall be Levon
And he shall be a good man
And he shall be Levon
In tradition with the family plan, woo
And he shall be Levon
And he shall be a good man
He shall be Levon

And he shall be Levon
And he shall be a good man
And he shall be Levon
In tradition with the family plan, woo
And he shall be Levon
And he shall be a good man
He shall be Levon",Levon,
Elton John,"Raised to be a lady by the golden rule
Alice was the spawn of a public school
With a double-barrel name in the back of her brain
And a simple case of mummy-doesn't-love-me blues

Reality it seems, was just a dream
She couldn't get it on with the boys on the scene
But what do you expect from a chick who's just sixteen?
And hey, hey, hey (hey, hey, hey) you know what I mean

All the young girls love Alice
Tender young Alice, they say
Come over and see me
Come over and please me
Alice, it's my turn today

All the young girls love Alice
Tender young Alice, they say
If I give you my number
Will you promise to call me?
Wait till my husband's away

Poor little darling with a chip out of her heart
It's like acting in a movie when you got the wrong part
Getting your kicks in another girl's bed
And it was only last Tuesday they found you in the subway dead

And who could you call your friends down in Soho?
One or two middle-aged dykes in a Go-Go
And what do you expect from a sixteen year old yo-yo
And hey, hey, hey (hey, hey, hey) oh don't you know?

All the young girls love Alice
Tender young Alice, they say
Come over and see me
Come over and please me
Alice, it's my turn today

All the young girls love Alice
Tender young Alice, they say
If I give you my number
Will you promise to call me?
Wait till my husband's away",All the Girls Love Alice,
Elton John,"Holy Moses I have been removed
I have seen the spectre he has been here too
Distant cousin from down the line
Brand of people who ain't my kind
Holy Moses I have been removed

Holy Moses I have been deceived
Now the wind has changed direction and I'll have to leave
Won't you please excuse my frankness but it's not my cup of tea
Holy Moses I have been deceived

I'm going back to the border
Where my affairs, my affairs ain't abused
I can't take any more bad water
Been poisoned from my head down to my shoes

Holy Moses I have been deceived
Holy Moses let us live in peace
Let us strive to find a way to make all hatred cease
There's a man over there
What's his colour I don't care
He's my brother let us live in peace
He's my brother let us live in peace
He's my brother let us live in peace",Border Song,
Elton John,"If your life is dull and dreary
And you're feeling rather weary
Of the mundane things that clutter up one's life
Drive your roller up to Bond Street

Where royalty and Sheiks meet
Make your day
Here's the thing to do
Spend a grand or two at Cartier",Cartier,
Elton John,"How come you're so understanding 
When I tell you all my lies
And pretending to believe them
See through all my alibis
And I need you more than ever
And I want you till the end... Chloe

How you handle what you live through
I can never hope to learn
Taking all the pain I give you
Loving blindly in return
And I need you more than ever
I will always be your friend
Chloe, Chloe

[Chorus]
Chloe, what you gonna do about me
Chloe, what you gonna do
What you gonna do about me

You're the lifeline that I cling to
When I feel like giving in
When the dreams that I rely on
Start to wear a little thin
Then I need you more than ever
And I want you till the end
Chloe, Chloe

[Chorus]",Chloe,
Elton John,"Every time you turn around
You wear another face
Every time i look away
I find a hiding place

If you knew me like you knew him
You would know just how i feel
Slipping through someone's fingers
Falling under someone's wheels

It's easier to walk away
Better off to face the facts
When love holds you up for ransom
Walk away and don't look back

Never seen you looking back through
Smiling eyes and tears
Never knew you holding on to
Memories and fears

Just release me i can't take it
Can't you see a change has come
Strangled by infatuation
Buried under someone's thumb

It's easier to walk away
Cover and fade to black
When love scars and leaves you branded
Walk away and don't look back

Every time you turn around
You wear another face
Every time i look away
I find a hiding place",Easier to Walk Away,
