Band,Lyrics,Song,Year
Sarah Brightman,"As sweet Polly Oliver lay musing in bed,
A sudden strange fancy came into her head.
""Nor father nor mother shall make me false prove,
I'll 'list as a soldier, and follow my love.""

So early next morning she softly arose,
And dressed herself up in her dead brother's clothes.
She cut her hair close, and she stained her face brown,
And went for a soldier to fair London Town.

Then up spoke the sergeant one day at his drill,
""Now who's good for nursing? A captain, he's ill.""
""I'm ready,"" said Polly. To nurse him she's gone,
And finds it's her true love all wasted and wan.

The first week the docter kept shaking his head,
""No nursing, young fellow, can save him,"" he said.
But when Pooly Oliver had nursed him back to life
He cried, ""You have cherished him as if you were his wife"".

O then Polly Oliver, whe burst into tears
And told the good doctor her hopes and her fears,
And very shortly after, for better or for worse,
The captain took joyfully his pretty soldier nurse.","Sweet Polly Oliver, for voice & piano (Folk Songs, Vol. III)",1988
Sarah Brightman,"There's none to soothe my soul to rest,
There's none my load of grief to share
Or wake to joy this lonely breast,
Or light the gloom of dark despair.

The voice of joy no more can cheer,
The look of love no more can warm
Since mute for aye's that voice so dear,
And closed that eye alone could charm.","There's none to soothe, for voice & piano (Folk Songs, Vol. III)",1988
Sarah Brightman,"The trees they grow so high and the leaves they do grow green,
And many a cold winter's night my love and I have seen.
Of a cold winter's night, my love, you and I alone have been,
Whilst my bonny boy is young, he's a-gowing.
Growing, growing,
Whilst my bonny boy is young, he's a-gowing.

O father, dearest father, you've done to me great wrong,
You've tied me to a boy when you know he is too young.
O daughter, dearest daughter, if you wait a little while,
A lady you shall be while he's growing.
Growing, growing,
A lady you shall be while he's growing.

I'll send your love to college all for a year or two
And then in the meantime he will do for you; 
I'll buy him white ribbons, tie them round his bonney waist
To let the ladies know that he's married.
Married, married,
To let the ladies know that he's married.

I went up to the college and I looked over the wall,
Saw four and twenty gentlemen playing at bat and ball.
I called to my true love, but they would not let hime come,
All because he was a young boy and growing.
Growing, growing,
All because he was a young boy and growing.

At the age of sixteen, he was a married man
And at the age of seventeen he was a father to a son,
And at the age of eighteen the grass grew over him,
Cruel death soon put an end to his growing.
Growing, growing,
Cruel death soon put an end to his growing.

And now my love is dead and in his grave doth lie,
The green grass grows o'er him so very, very high.
I'll sit and I'll mourn his fate until the day I die,
And I'll watch o'er his child while he's growing.
Growing, growing,
And I'll watch o'er his child while he's growing.","The trees they grow so high, for voice & piano (Folk Songs, Vol. I)",1988
Sarah Brightman,"Voici le printemps qui passe
""Bonjour, tisserand, bonjour!
Ami, cède-moi ta place,
J'en ai besoin pour un jour.
C'est moi qui fais la toilette
Des bois, des près et des fleurs.
Donne vite ta navette,
Tu sais qu'on m'attend ailleurs.""

Voici le printemps qui passe
""Bonjour, mon peintre, bonjour!
Ta main s'obstine et se lasse,
À faire un semblant du jour.
Donne vite ta palette
Ta palette et ton pinceau.
Tu vas voir le ciel en fate
Rajeunir dans mon tableau.""

Voici le printemps qui passe
""Bonjour, fillettes, bonjour!
Donnez vos fuseaux, de grâce,
Que je travaille à mon tour.
J'ai promis sous les charmilles
Ma laine aux nids d'alentour.
Je vous dirai, jeunes filles,
Où se niche aussi l'amour.""","Voici le printemps, for voice & piano (Folk Songs, Vol. II)",1988
Sarah Brightman,"The water is wide, I cannot get o'er,
And neither have I wings to fly.
Give me a boat that will carry two,
And both shall row, my love and I.

O, down in the meadows the other day,
A-gath'ring flowers both fine and gay,
A-gath'ring flowers both red and blue,
I little thought what love can do.

I leaned my back against some oak
Thinking that he was a trusty tree;
But first he bended, and then he broke,
And so did my false love to me.

A ship there is, and she sails the sea,
She's loaded deep as deep can be,
But not so deep as the love I'm in;
I know not if I sink or swim.

O, love is handsome and love is fine,
And love's a jewel while it is new,
But when it is old, it groweth cold,
And fades away like morning dew","O Waly, Waly, for voice & piano (Folk Songs, Vol. III)",1988
Sarah Brightman,"No more talk of darkness
Forget these wide-eyed fears
I'm here, nothing can harm you
My words will warm and calm you

Let me be your freedom
Let daylight dry your tears
I'm here, with you, beside you
To guard you and to guide you

Say you'll love me every waking moment
Turn my head with talk of summertime
Say you need me with you now and always
Promise me that all you say is true
That's all I ask of you

Let me be your shelter
Let me be your light
You're safe, no one will find you
Your fears are far behind you

All I want is freedom
A world with no more night
And you, always beside me
To hold me and to hide me

Then say you'll share with me one love, one lifetime
Let me lead you from your solitude
Say you want me with you, here beside you
Anywhere you go, let me go too
That's all I ask of you.

Say you'll share with me one love, one lifetime
Say the word and I will follow you
Share each day with me, each night, each morning
Say you love me 
You know I do
 
Love me, that's all I ask of you 

Love me, that's all I ask of you",All I Ask of You [From Phantom of the Opera],1989
Sarah Brightman,"Pie Jesu, pie Jesu, pie Jesu, pie Jesu
Qui tollis peccata mundi
Dona eis requiem
Dona eis requiem

Pie Jesu, pie Jesu, pie Jesu, pie Jesu
Qui tollis peccata mundi
Dona eis requiem
Dona eis requiem

Agnus Dei, Agnus Dei, Agnus Dei, Agnus Dei
Qui tollis peccata mundi
Dona eis requiem
Dona eis requiem

Sempiternam 
Sempiternam 

Requiem sempiternam",Pie Jesu [From Requiem],1989
Sarah Brightman,"Away from you
There is no music,
There is no sunlight,
The world is gray.
Away from you
The clocks are frozen,
And time's a traveler
Who's lost his way.

The people I meet
Might as well be statues,
The words we exchange
Might as well be Greek.
The room that I'm in
May be bright and cheerful
But to me
It's dim and bleak.

I'm half alive
Until the moment
The door swings open
And you walk through.
Now my world starts to glow
Like a stained-glass window
And what was old and cold
Is warm and new.
And so you see
Why I can never be
Away from you.

Away from you
The world is lifeless
As though creation
Has gone awry.
The trees are bare,
There are no flowers,
The fields are thirsty,
The streams are dry.

We live, you and I,
For a breath of sunlight,
So brief an escape
From a world of gray.
Our moments of warmth
Have been touch and go, love,
But tonight, we'll touch
And stay.

The people I meet
Might as well be statues,
The words we exchange
Might as well be Greek.
The room that I'm in
May be bright and cheerful
But to me
It's dim and bleak.

I'm half alive
Until the moment
The door swings open
And you walk through.
Now my soul is afloat
On a wave of music
That I could feel such joy
I never knew.
And so you see
Why I can never be
Away from you.",Away From You,1989
Sarah Brightman,"Dreamers have mountains they will climb
There are dreamers who don't believe in time
Only dreamers have worlds where they can fly far away.

Certain dreamers have kingdoms they will build,
Filled with treasures and dragons to be killed
Only dreamers have wings with which to fly far away.

Some people dream of being rich,
While others dream of being tall
And there are people who don't dream at all.

Dreamers have shooting stars they chase,
There are others with nightmares they must face.
Sometimes dreamers are forced to leave their dreams far away.

And there are people who don't dream at all.

Sometimes you need to take the time
To find treasures and mountains we can climb.
And maybe we dream to change the way that we feel,
'Cause to dreamers the real world can be unreal.",Dreamers,1989
Sarah Brightman,"Half a moment 
We are together 
I shall want no-one else 
And nothing new. 
Half a moment 
I shall treasure, 
Keep it locked away 
For some future rainy day. 

Should you leave me 
With just this moment 
In my mind 
I shall capture it anew, 
Like some picture 
Taken in my childhood 
Half a moment 
Spent with you. 

Half a moment 
I shall treasure, 
Keep it locked away 
For some future rainy day. 

Should you leave me 
With just this moment 
In my mind 
I shall capture it anew, 
Like some picture 
Taken in my childhood 
Half a moment 
Spent with you. 

Countless vivid memories 
Spin before my view, 
Like some toy kaleidoscope 
Images of you. 

Time looks kindly 
On fleeting lovers 
They can turn the briefest hour 
Into a day 
Turn a moment 
To a lifetime 
Making it to last 
Blending future with the past. 

We're together, 
What else can matter? 
Even though 
Half a moment is too few 
I shall save it 
'Til I have another 
Making one whole moment 
Filled with you.",Half a Moment,1989
