Band,Lyrics,Song,Year
Jermaine Jackson,"I'm sitting in the railway station. 
Got a ticket to my destination. 
On a tour of one-night stands my suitcase and guitar in hand. 
And ev'ry stop is neatly planned for a poet and a one-man band. 
Homeward bound, 
I wish I was, 
Homeward bound, 
Home where my thought's escaping, 
Home where my music's playing, 
Home where my love lies waiting 
Silently for me. 
Ev'ry day's an endless stream 
Of cigarettes and magazines. 
And each town looks the same to me, the movies and the factories 
And ev'ry stranger's face I see reminds me that I long to be, 
Homeward bound, 
I wish I was, 
Homeward bound, 
Home where my thought's escaping, 
Home where my music's playing, 
Home where my love lies waiting 
Silently for me. 

Tonight I'll sing my songs again, 
I'll play the game and pretend. 
But all my words come back to me in shades of mediocrity 
Like emptiness in harmony I need someone to comfort me. 
Homeward bound, 
I wish I was, 
Homeward bound, 
Home where my thought's escaping, 
Home where my music's playing, 
Home where my love lies waiting 
Silently for me. 
Silently for me.",Homeward Bound,1972
Jermaine Jackson,"In this world of ups and downs my dreams all fall through
Things just don't work out, no matter what I do
Disappointment haunts me, through each lonely day
The world around I see, in only shades of gray

But when the love light shines upon my face
I'm in a different world
A world I never knew, I'm in a different world
A world so sweet and true, I'm in a different world

I'm no longer just another face in a crowd
Hey, look into my eyes, you'll see I'm strong and I'm proud
You are all the sweetness of my life, you see
You have brought heaven right here on earth to me
No man of wealth, I know I'll ever be
But I'll be satisfied just knowing you love me

On the stage of life I've played a loser's part
It seems like I've been down right from the very start
Every time I lift myself up off the ground
Something always happens to bring the curtain down

But when your love light shines upon my face
I'm in a different world
A world so warm and sweet, I'm in a different world
Now that you've been loving me, I'm in a different world

Each time you speak my name or put your hand in mine
The empty life I knew, I leave it far behind
'Cause you gave me the love that I truly felt
Most of all you made me believe in myself
You're more than a love to me, you're my way of life
I'll forever cherish you, more each day and night

Oh,
I'm in a different world

A world that's warm, a world that's sweet
A world that's every bit complete
A world that's real, you've made me see
All the beauty surrounding me
Oh, look what you've done for me
Oh, look what you've done for me
I'm in a different world, now that you've been loving me
I'm in a different world, and that's where I want to be
I'm in a different world, now that you've been loving me...",I'm in a Different World,1972
Jermaine Jackson,"If I were your woman and you were my man,
you'd have no other woman, you'd be weak as a lamb.
If you had the strength to walk out that door,
My love would over rule my sense, and I'd call you back for more,
If I were your woman.
If I were your woman, and you were my man. Um baby.
 
She tears you down darlin', says you're nothing at all.
But, I'll pick you up darling, when she lets you fall.
You're like a diamond but she treats you like glass.
Yet you beg her to love you, but, me you don't ask.
If I were your woman, If I were your woman.
If I were your woman, here's what I'd do,
I'd never, no, no, stop loving you.
Yeah, yeah, um
 
Life is so crazy, a love is unkind.
Because she came first, darling, will she hang on your mind?
You're a part of me, and you don't even know it.
I'm what you need, but I'm too afraid to show it.
If I were your woman, If I were your woman, 
If I were your woman, here's what I'd do.
Never, no, no, no, stop loving you, ah, yeah.
If I were your woman, here's what I'd do.
Never, never stop loving you if
 

",If You Were My Woman,1972
Jermaine Jackson,"You're the sun that shines when clouds are in the way
You're the light of love to brighten up each and every day
And you care oh when no one cares at all
You are there when I need you
All I have to do is call and

I need you more, more now than ever
I need you more, as the days go by
I need you more, more now than ever
Oh without your love I couldn't live
I wouldn't even try

You're the birds that sing
You bring love song to me
You're the sweetest rose that will ever ever be
And you you make the world seem right
When everything is all wrong
And when I'm weak only you can make me strong
That's why

I need you more, more now than ever
I need you more, as the days go by
I need you more, more now than ever
Without your love I couldn't live
I wouldn't even try

Those softly whispered nicknames that only you would know
I'll never hear again
If you you should ever go

I need you more, more now than ever
I need you more, as the days go by
I need you more, more now than ever
Without your love I couldn't live
I wouldn't even try

Whoa oh oh I need you I need you I need you
More now than ever
Whoa oh oh
I need you, I need you, I need you
More now than ever
Whoa oh oh
I need you I need you I need you
More now, than ever",I Need You More Now Than Ever,1973
Jermaine Jackson,"A million to one
That's what our folks think
about this love of ours
A million to one
They say that our love will fade like yesterdays clouds
They're betting everything that our love won't survive
They're hoping in time we'll forget each other lives
A million to one
They say were to young to know the meaning of love
A million to one
That they've forgotten the dreams that were dreaming of
But we'll forgive them because we love them
after all that's said and done.
There's one in a million
A million to one
A million to one
They say were to young to know the meaning of love
A million to one
That they've forgotten the dreams that were dreaming of
But we'll forgive them because we love them
after all that's said and done.
There's one in a million
A million to one
A million to one, a million to one
",A Million to One,1973
Jermaine Jackson,"It never fails when I'm with you
I just freeze up inside
And you're waiting there with your arms open wide
My bashful feelin' just won't let me hide

You look as if you're surprised at me
I know its not the way its supposed to be

But did you should know by now
Girl, I'm just too shy
Did you know by now
Girl, I'm just too shy

I love to hold your hand
Tell you you're mine
But I just cant seem to make that move or to say those words
Somethin' inside me just hold me back

I want to save so much fun with you
I'm lost for words, I just can't begin

Baby, didn't you know it
Girl, I just don't show it
But I'm just too shy
Did you know by now
Girl, I'm just too shy

Maybe time will bring a change in me
Loving is you is not as easy as I thought it would be
Ooh

You look as if you're surprised at me

Did you should know by now
Girl, I'm just too shy
But did you know by now
Girl, I'm just too shy

Girl, I want to hug you
Girl, I want to love you
But I'm just too shy
Even wanna kiss you
Tell you I do miss you
But I'm just too shy

Ooh, ooh
Girl, I'm just too shy
But did you know by now
Girl, I'm just too shy

Did you know by now
Girl, I'm just too shy
Did you know by now
Girl, I'm just too shy",I'm Just Too Shy,1981
Jermaine Jackson,"It's been give years or more since we've sun our song
And I wonder why we took so long
Through all the pain and the tears that I cried
Our dream never died inside
While I was out there on my own
I loved you constantly
For I am my brothers keeper and my brother you're the keeper of me

Its hard being apart when you love so much
And I pray that we never lose touch
You came into my dreams and you answered my prayer
When you needed keeping I was there
And after all that we have been through
We're still one family
Yes I am my brothers keeper and my brothers your're the keeper of me
Our dream never died",I'm My Brother's Keeper,1981
Jermaine Jackson,"Whoa, whoa
Paradise its in your eyes
Oh, paradise all in your eyes
Ooh, paradise its all in your eyes

Ooh...ooh...ooh...ooh...
Ooh...ooh...ooh...ooh...

Paradise in your eyes
Girl, I love you, I love you, I love you, I love you, I love you

I see light in your loving eyes
Its so beautiful to me
When I look at you I'm in heaven
I want to spend my life with you
Cause you got

Paradise in your eyes
Girl, I love you, I love you, I love you, I love you, I love you
Paradise (Its all in your eyes) in your eyes (Ooh)
Girl, I love you, I love you, I love you, I love you, I love you

We would be in a garden
Where we can kiss the day away, ooh, hoo, ooh
When you wrap your arms round me, girl
Deep in your love is where Ill stay
Ooh, you got

Paradise all in your eyes
Girl, I love you, I love you, I love you, I love you, I love you, whoa
Paradise (All in your eyes) in your eyes
Girl, I love you, I love you, I love you, I love you, I love you, ooh, I love you

I told myself that
Id find someone beautiful like you
There you were in me
Ooh, my paradise is in your eyes

Paradise in your eyes
Paradise, oh girl, you've got those loving eyes
Paradise (All in your eyes) in your eyes
Girl, I love you, I love you, I love you, I love you, I love you

Cause you've got paradise (All in your eyes) in your eyes
Paradise",Paradise in Your Eyes,1981
Jermaine Jackson,"Like a fool I went and stayed too long
Now I'm wondering if your love's still strong
Oo, baby, here I am, signed, sealed, delivered, I'm yours!

Then that time I went and said goodbye
Now I'm back and not ashamed to cry
Oo, baby, here I am, signed, sealed, delivered, I'm yours!

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)

I've done a lot of foolish things
That I really didn't mean, didn't I?
Seen a lot of things in this old world
When I touch them, they mean nothing, girl
Oo, baby, here I am, signed, sealed, delivered, I'm yours!
Oowee baby, you set my soul on fire
That's why I know you're my heart's only desire

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)

Here I am baby
Signed, sealed, delivered, I'm yours
(You got my future in your hands)","Signed, Sealed, Delivered I'm Yours",1981
Jermaine Jackson,"Why don't you do what you do
When you did what you did to me
Love was so good, that it fills up all my needs
I was crazy for you, you were crazy for me
How could something so right, go so wrong
My love, sweet love
Why don't you say what you say
When you say what you said anymore
Your eyes couldn't lie, so long goodbye, close the door
I was crazy for you, you were crazy for me
How could something so right go so wrong
Tell me something I didn't do
Why did someone else put you through
Did they steal you away like a thief in the night
Love like this, must take flight
Why don't they play what they played
On the nights you danced with me
Remember the one we made love to endlessly
I was crazy for you, you were crazy for me
How could something so right go so wrong",Do What You Do,1984
