Band,Lyrics,Song,Year
Neil Young,"When the day is done
And the sun is sinking low
When you see the light
When you been most everywhere

You go
You go

When the traffic's slow
Break lines lined up for miles and miles
And you know the end is not in sight
You can never take your rides

Off the road
Off the road

When you're all alone
And you've been driving through the night
And you know the end is not in sight
You can never take your rides

Off the road
Off the road",Off the Road,2009
Neil Young,"Is my world not falling down
I'm in pieces on the ground
And my eyes aren't open
And I'm standing on my knees

But if crying and holding on
And flying on the ground is wrong
Then I'm sorry to let you down
But you're from my side of town
And I miss you

Turn me up or turn me down
Turn me off or turn me round
I wish I could have met you in a place
Where we both belong

But if crying and holding on
And flying on the ground is wrong
Then I'm sorry to let you down
But you're from my side of town
And I miss you

Sometimes I feel like I'm just a helpless child
Sometimes I feel like a kid
But baby, since I have changed
I can't take nothing home

City lights at a country fair
Never shine but always glare
If I'm bright enough to see you
You're just too dark to care

But if crying and holding on
And flying on the ground is wrong
Then I'm sorry to let you down
But you're from my side of town
And I miss you
",Flying on the Ground Is Wrong [Hidden Track],2009
Neil Young,"Round and round and round we spin,
To weave a wall to hem us in,
It won't be long, it won't be long
How slow and slow and slow it goes,
To mend the tear that always shows.
It won't be long, it won't be long.

It's hard enough losin'
the paper illusion
you've hidden inside,
Without the confusion
of findin' you're usin'
the crutch of the lie
To shelter your pride when you cry.

Round and round and round we spin,
To weave a wall to hem us in,
It won't be long, it won't be long
How slow and slow and slow it goes,
To mend the tear that always shows.
It won't be long, it won't be long.

Now you're movin' too slow
and wherever you go
there's another beside.
It's so hard to say no
to yourself and it shows
that you're losing inside,
When you step on your pride and you cry.

Round and round and round we spin,
To weave a wall to hem us in,
It won't be long, it won't be long
How slow and slow and slow it goes,
To mend the tear that always shows.
It won't be long, it won't be long.

How the hours will bend
through the time that you spend
till you turn to your eyes,
And you see your best friend
looking over the end
and you turn to see why,
And he looks in your eyes and he cries.

Round and round and round we spin,
To weave a wall to hem us in,
It won't be long, it won't be long
How slow and slow and slow it goes,
To mend the tear that always shows.
It won't be long, it won't be long",Round and Round (It Won't Be Long),2009
Neil Young,"The lights turned on and the curtain fell down
And when it was over it felt like a dream
They stood at the stage door and begged for a scream
The agents had paid for the black limousine
That waited outside in the rain
Did you see them? Did you see them?

Did you see them in the river?
They were there to wave to you
Could you tell that the empty quivered
Brown skinned Indian on the banks
That were crowded and narrow
Held a broken arrow

Eighteen years of American dream
He saw that his brother had sworn on the wall
He hung up his eyelids and ran down the hall
His mother had told him a trip was a fall
And don't mention babies at all
Did you see him? Did you see him?

Did you see him in the river?
He was there to wave to you
Could you tell that the empty quivered
Brown skinned Indian on the banks
That were crowded and narrow
Held a broken arrow

The streets were lined for the wedding parade
The queen wore the white gloves, the county of song
The black covered caisson her horses had drawn
Protected her king from the sun rays of dawn
They married for peace and were gone
Did you see them? Did you see them?

Did you see them in the river?
They were there to wave to you
Could you tell that the empty quivered
Brown skinned Indian on the banks
That were crowded and narrow
Held a broken arrow","Broken Arrow [Live at the Riverboat, Toronto 1969] [Live][#][Version]",2009
Neil Young,"Is my world not falling down
I'm in pieces on the ground
And my eyes aren't open
And I'm standing on my knees

But if crying and holding on
And flying on the ground is wrong
Then I'm sorry to let you down
But you're from my side of town
And I miss you

Turn me up or turn me down
Turn me off or turn me round
I wish I could have met you in a place
Where we both belong

But if crying and holding on
And flying on the ground is wrong
Then I'm sorry to let you down
But you're from my side of town
And I miss you

Sometimes I feel like I'm just a helpless child
Sometimes I feel like a kid
But baby, since I have changed
I can't take nothing home

City lights at a country fair
Never shine but always glare
If I'm bright enough to see you
You're just too dark to care

But if crying and holding on
And flying on the ground is wrong
Then I'm sorry to let you down
But you're from my side of town
And I miss you",Flying on the Ground Is Wrong,2009
Neil Young,"There is a town in North Ontario
Dream comfort mem'ry to spare
And in my mind I still need a place to go
All my changes were there

Blue, blue windows behind the stars
Yellow moon on the rise
Big birds flying across the sky
Throwing shadows on our eyes

Leave us

Helpless, helpless, helpless, helpless
Babe, can you hear me now?
The chains are locked and tied across the door
Baby, sing with me somehow

Blue, blue windows behind the stars
Yellow moon on the rise
Big birds flying across the sky
Throwing shadows on our eyes

Leave us

Helpless, helpless, helpless, helpless
Helpless, helpless, helpless, helpless
Helpless, helpless, helpless, helpless
Helpless, helpless, helpless, helpless",Helpless [#],2009
Neil Young,"Everybody's going out
And having fun
I'm a fool for stayin' home
And having none
I can't get over how she set me free
Oh, oh, lonesome me

There must be some way
That I can lose these lonesome blues
Forget about the past
Find someone new
I've thought of everything from A to Z
Oh, oh, lonesome me

I'll bet she's not like me
She's out and fancy free
Flirting with the boys with all her charms
But I still love her so and brother
Don't you know, I'd welcome her
Right back here in my arms

There must be some way
That I can lose these lonesome blues
Forget about my past
Find someone new
I can't get over how she set me free
Oh, oh, lonesome me
",Oh Lonesome Me [#],2009
Neil Young,"Five cheat card thief, misled skinhead,
Tell me where it's at?
Is it cool to bring it up again?
Will I blow my cat?
Misplaced tinselface, weekend pretend,
Am I on your track?
I would love to live close to you,
Could I bring my cat?

Cowgirl, sailor,
Do you know who you are?
Cowgirl, sailor,
Do you know who you are?
Do you know who you are?

Overfed premed, outfront gaspump,
Will I fix my car?
Pinch yourself when I smile at you,
Baby, I'm a star!
Turned on, tuned in, cop out, sell out,
Do you know who you are?
I took the time to try to fit you in,
Was I off too far?

Cowgirl, sailor,
Do you know who you are?
Cowgirl, sailor,
Do you know who you are?
Do you know who you are?
",Sell Out [#],2009
Neil Young,"Sailing heart-ships through broken harbors
Out on the waves in the night
Still the searcher must ride the dark horse
Racing alone in his fright
Tell me why, tell me why

Is it hard to make arrangements with yourself
When you're old enough to repay but young enough to sell?

Tell me lies later, come and see me
I'll be around for a while
I am lonely but you can free me
All in the way that you smile
Tell me why
Tell me why

Is it hard to make arrangements with yourself
When you're old enough to repay but young enough to sell?

Tell me why, tell me why",Tell Me Why [Live][#],2009
Neil Young,"The end has come
My sky has lost it's sun
The harm is done
She was the only one

[Chorus]
There goes my babe
There goes what might have been
There goes my babe
In the cool morning rain
And now my heart
Lies empty and still again

Don't take my hand
I'm doin' the best I can
Understand
I'm tryin' to be a man

She was so young
Too young to really care
I fell in love
With her long flowing hair
And now my heart lies empty
Without her love

If she were here
I'd long to hold her near
But now it's clear
The price of love is dear

[Chorus]",There Goes My Babe [#],2009
