Band,Lyrics,Song,Year
Lifehouse,"Silence is golden
But I think it's gonna kill me now
Everything I've seen
Never seems to fill me now
No one told me that the world could fall through, yeahd

In between this
Am I gonna find a way
To defeat this
Living inside yesterday
I'm alive
I think it's time to live like I am
Am I ever gonna find it
Am I ever gonna find it
Am I ever gonna find out

Patience can wait for now
I think I've waited for too long
You always gave a choice
And the right to be wrong
All my life has been slipping through your hands, yeah

In between this
Am I gonna find a way
To defeat this
Living inside yesterday
I'm alive
I think it's time to live like I am
Am I ever gonna find it
Am I ever gonna find it
Am I ever gonna find out",Am I Ever Gonna Find Out,2002
Lifehouse,"I stand with a blank expression now
And I can't believe myself
Would someone tell me how
Did I get here

I am walking
Changing slowly
I am chasing
Climbing closer

I know that I'll never be alone
You will never let me go
You are my anchor
Hold my hand while I'm sinking in the sand
No one else could understand 
You are my anchor

It seems that I lost track of time
And I can't believe my mind
Would you save me if
I reached out to you 

I am waiting
Watching, standing
I am reaching 
Climbing closer

I know that I'll never be alone
You will never let me go
You are my anchor
Hold my hand while I'm sinking in the sand
No one else could understand 
You are my anchor

Anchor yeah

Can you hear me, hear me
Can you hear me",Anchor,2002
Lifehouse,"Tainted
Has our love gone cold
In a place that's bitter and broken
We tasted of a world I know
Surely there must be something better
Something forever

Hello
From the world below
I'm watching the sun burning
As the road is slowly turning
Well I know
That in letting go
I'm learning how to live
Through a life I have to give

Walking
Past the city lights
Silence can be so disturbing
You'll find me standing in the night
The stars never seem so unending
So unending

Hello
From the world below
While I'm watching the sun burning
As the road is slowly turning
Well I know
That in letting go
I'm learning how to live
Through a life I have to give

We painted
Whitewashed everything
When all that remains are
Shadows of the stains
Tell me
Where did we go wrong
Can we just move on

Hello
From the world below
While I'm watching the sun burning
As the road is slowly turning
When I know
That in letting go
I'm learning how to live
Through a life I have to give

Hello
To the world below
While I'm watching the world spinning
This night seems so unending
Well I'll follow
To a place I know
That's only the beginning
Start over after ending",The Beginning [Acoustic Version],2002
Lifehouse,"Too late to hide
And too tired to care
Take what you've learned
And forget the rest
Take what you see
Of what's left of me
You know where I've been
And I don't want to go there again

[Chorus:]
You're beautiful, you're confusing
You're illogical, you're amazing
And I've seen the world
It's overrated
Until you're everything
I have nothing 
But an empty space

And I've been down
This road before
All that I've found
Points me right back to you
And I've watched you move
From down below
Where do I go from here
I guess I'll find out as I go

[Chorus]
You're beautiful, you're confusing
You're illogical, you're amazing
And I've seen the world
It's overrated
Until you're everything
I have nothing
But an empty space",Empty Space,2002
Lifehouse,"These clouds around you break your fall
As you came crashing to the ground
Did you learn anything at all
You climb back up to come back down

Everybody knows your name
But they don't know who you are
But to them it's just the same
Yeah you're just another name

She said fame will bring you down
At least that's what she used to say
Then they handed her another crown
She said it would never be this way

Everybody knows your name
But they don't know who you are
But to them it's just the same
Yeah you're just another name
La da da da da just another name

Yesterday she was a little girl
Pretending she was queen
Didn't know it'd change the world
Didn't know what this should mean

Which mask will you wear today
How about the one with the pretty smile
To you it's just another day
In a life you haven't lived in quite awhile

Everybody knows your name
But they don't know who you are
But to them it's just a game
And I think it's gone too far

Everybody knows your name
But they don't know who you are
You've got the most familiar face
But your just another name
La da da da da just another name
La da da da da just another name",Just Another Name,2002
Lifehouse,"Can't hold you down
Can I be you
There's nothing I can do
A slave to your hands

Climb up above
Your precious time
Don't worry your time
Don't hurry your mind

Where did you go?
Where did you hide?
All I can do
Is watch you pass by

Climb up above
Your precious time
Don't worry your time
Don't hurry your mind

Every time I try to take it back
I know I don't wanna live like that
I'll wait for tomorrow
Too tired to go the other way
Too late to wait another day
I'm going on

Climb up above
Your precious time
Don't worry your time
Don't hurry your mind

Climb up above
Your precious time
Don't worry your time
Don't hurry your mind
",My Precious,2002
Lifehouse,"I still feel the same
Though everything has changed
The pain it cost now I feel lost inside of my own name
But I keep running
I am running
I keep living for the day that I'm with you
That I'm with you

The past has left its stain
Now I feel the shame
I'll seize the day if you take away the chains of yesterday
But I keep running
I am running
I keep living for the day that I'm with you

And I am waiting
I am waiting
I keep waiting for the day that I'm with you

A new day the sun is shining
Seems I'm closer to finding
That life is more than what we hide
No way that I am turning
As long as the sun is burning
Now it seems that all I want is you

I still feel the same
Though everything has changed
The pain it costs now I feel lost inside of my own name

But I keep running
I am running
I keep living for the day that I'm with you

And I am waiting
I am waiting
I keep waiting for the day that I'm with you
That I'm with you",Out of Breath,2002
Lifehouse,"I watch as the daylight crawls
Past the shadows hanging on the walls
It's been a long time since I felt the stain
Of yesterday getting in my way

I'm alive but tell me am I free
I got eyes but tell me can I see
The sky is falling and no one knows
It shouldn't be hard to believe
Shouldn't be this difficult to breathe
The sky is falling and no one knows

You leave me hanging on only to catch my breath
I got you and I got nothing left
Don't leave me all alone down here
With myself and all of my fears

I'm alive but tell me am I free
I got eyes but tell me can I see
The sky is falling and no one knows
It shouldn't be hard to believe 
Shouldn't be this difficult to breathe
The sky is falling and no one knows

The sky is falling and no knows

No one knows
No one knows",Sky Is Falling,2002
Lifehouse,"I'd rather chase your shadow all my life
Than be afraid of my own 
I'd rather be with you
 
I'd rather not know 
Where I'll be than be alone and convinced that I know 
And the world keeps spinning 'round 

My world's upside down and I wouldn't change a thing
I've got nothing else to lose 
I lost it all when I found you and I wouldn't change thing 

No you and I wouldn't change a thing 
Everything I know has let me down 
So I will just let go 

Let you turn me inside out 
Cause I know I'm not sure 
About anything but you wouldn't have it any other way 

And the world keeps spinning 'round 
My world's upside down and I wouldn't change a thing
I've got nothing else to lose

I lost it all when I found you and I wouldn't change thing
No you and I wouldn't change a thing
Spinning, turning, watching, burning

All my life has found its meaning
Walking, crawling, climbing, falling
All my life has found its meaning

You and I wouldn't change a thing
No you and I wouldn't change a thing
And the world keeps spinning 'round

My world's upside down and I wouldn't change a thing
I've got nothing else to lose
I lost it all when I found you and I wouldn't change thing

No you and I wouldn't change a thing
No you and I wouldn't change a thing",Spin,2002
Lifehouse,"Quiet
Seems like an honest world
You're begging for the beggars' bread when the money's out
Stand climb and fall
Carry the world
Can't carry your own
When the world is falling down
And another breaks then another falls
For losers always make the winner's day
Stand climb and fall
Carry the weight
Can't carry it all
Are you falling
Are you faking
Are you healing
Are you breaking
Am I burning
Am I only melting 
These diamonds in the making
And I'm at the end of myself
Anything you want
And nothing seems to satisfy me
Take anything you want
Quiet
A sound you know so well
You're living just to make it through another day
Stand climb and fall
Carry the world
Can't carry your own
Are you falling
Are you faking
Are you healing
Are you breaking
Am I burning
Am I only melting
These diamonds in the making
And I'm at the end of myself
Anything you want
And nothing seems to satisfy me
Take anything you want
Take anything you want
Take anything you want
Quiet",Stanley Climbfall,2002
