Band,Lyrics,Song,Year
Deborah Cox,"I walk through these halls but nothing feels the same
Where we once made our lives, it's now so empty
The same paint is on the walls
The same songs, I use to sing alone
We'd run through the night but now it's so cold (so cold)

Oh, this house is not a home
'Cause love don't live here anymore (since you been gone)
I never felt this all alone since you went away
'Cause this house is not a home (love don't live here)
Why don't it feel like it felt before?
I know you're never coming back
This time is it over? (over)

I look in the mirror and you're still standing there
It's just an illusion of what use to be
So I lay in the bed we shared
Where we made love a million times I swear
Can't face the truth that you moved on, you're gone

Oh, this house is not a home
'Cause love don't live here anymore (since you been gone)
I never felt this all alone since you went away
'Cause this house is not a home (love don't live here no more)
Why don't it feel like it felt before?
I know you're never coming back
This time is it over? (over)

[Bridge]
In these rooms we were together
But now were so far apart
We should of tried to make it better
But then you went and left and torn up my heart

When you left
No no no

(Love don't live here)
(Since you been gone)
(It's so lonely)
(When you coming home?)
(Love don't live here)

Love don't live here anymore
(Since you been gone)
Since you went away baby why didn't you stay?
I'm alone now, it's so lonely baby
Since you went away
It's not the same
Is it over? Is it over?
Am I right? Am I right? Am I right?",House Is Not a Home [Tony Moran\Warren Rigg],2006
Deborah Cox,"The windows of the world are covered with rain
Where is the sunshine we once knew?
Everybody knows when little children play
They need a sunny day to grow straight and tall
Let the sun shine through

The windows of the world are covered with rain
When will those black skies turn to blue?
Everybody knows when boys grow into men
They start to wonder when their country will call
Let the sun shine through

The windows of the world are covered with rain
What is the whole world coming to?
Everybody knows when men can not be friends
Their quarrel often ends where some have to die
Let the sun shine through

The windows of the world are covered with rain
There must be something we can do
Everybody knows whenever rain appears
It's really angel tears
How long must they cry?
Let the sun shine through",The Windows of the World,2006
Deborah Cox,"I walk through these halls but nothing feels the same
Where we once made our lives, it's now so empty
The same paint is on the walls
The same songs, I use to sing alone
We'd run through the night but now it's so cold (so cold)

Oh, this house is not a home
'Cause love don't live here anymore (since you been gone)
I never felt this all alone since you went away
'Cause this house is not a home (love don't live here)
Why don't it feel like it felt before?
I know you're never coming back
This time is it over? (over)

I look in the mirror and you're still standing there
It's just an illusion of what use to be
So I lay in the bed we shared
Where we made love a million times I swear
Can't face the truth that you moved on, you're gone

Oh, this house is not a home
'Cause love don't live here anymore (since you been gone)
I never felt this all alone since you went away
'Cause this house is not a home (love don't live here no more)
Why don't it feel like it felt before?
I know you're never coming back
This time is it over? (over)

[Bridge]
In these rooms we were together
But now were so far apart
We should of tried to make it better
But then you went and left and torn up my heart

When you left
No no no

(Love don't live here)
(Since you been gone)
(It's so lonely)
(When you coming home?)
(Love don't live here)

Love don't live here anymore
(Since you been gone)
Since you went away baby why didn't you stay?
I'm alone now, it's so lonely baby
Since you went away
It's not the same
Is it over? Is it over?
Am I right? Am I right? Am I right?",House Is Not a Home [Tony Moran Mix],2006
Deborah Cox,"You got what it takes baby
Woo, come and sing with me

Well, it takes more than a robin to make the winter go
And it takes two lips of fire to melt away the snow
Well, it takes two hearts a-cookin' to make a fire grow
Ooh baby, you've got what it takes, yeah

You know it takes a lot of kissin' to make a romance sweet
Mmm, it takes a whole lot of lovin' to make my life complete
And it takes a whole lot of man, yes, it does to knock me off my feet
Oh, oh baby, see you've got what it takes, yes, you do

And I say, mmm, oh, ooh
You know you've got just what it takes

And it takes more than an effort to stay away from you
And it takes more than a lifetime to prove that I'll be true
But it takes somebody really special to make me say, I do
Oh and baby, you've got what it takes, yes, you do

Ah, mmm, ah, mmm
See you know you've got just what it takes

'Cause it takes more than an effort to stay away from you
And it takes more than a lifetime to prove that I'll be true
But it takes somebody special to make me say, I do
And you know baby, baby, see you've got what it takes, yes, you do

Oh baby, baby, baby, baby, you've got what it takes, yes, you do
Oh baby, baby, you, you've got what it takes

Oh, don't matter if you're going gray baby
Don't matter how you wear your hair baby
Don't matter if you wear those fancy clothes
Oh, it don't matter where you wanna go, I'll be with you
Yes, I do, yes, I love you

And you, you, you, you've got what it takes
Oh, baby, oh you, you, you, you've got what, what it takes there
Baby, baby, baby, you've got what it takes
Really something special about you, really something special about you Oh, oh, oh yeah","Baby, You've Got What It Takes",2007
Deborah Cox,"Blue skies
Smiling at me
Nothing but blue skies
Do I see

Bluebirds
Singing a song
Nothing but bluebirds
All day long

I never saw the sun
Shining so bright
Never saw things
Going so right
Noticing the days hurrying by
When you're in love,
My mind, how they fly

Blue days
All of them gone
Nothing but blue skies
From now on

Blue skies
Smiling at me
Nothing but blue skies
Do I see
[ Find more Lyrics at www.mp3lyrics.org/Umjv ]

Bluebirds
Singing a song
Nothing but bluebirds
All day long

I never saw the sun
Shining so bright
Never saw things
Going so right
Noticing the days hurrying by
When you're in love,
My mind, how they fly

Blue days
All of them gone
Nothing but blue skies
From now on

I never saw the sun
Shining so bright
Never saw things
Going so right
Noticing the days hurrying by
When you're in love,
My mind, how they fly

Blue days
All of them gone
Nothing but blue
Skies, blue skies,
Blue skies
From now on
Nothing but blue skies,
From now on",Blue Skies,2007
Deborah Cox,"Poor man take a trip in my rocket ship
We'll have a lovely afternoon
Kiss the world good-bye and away we'll fly
Our destination moon

We'll travel fast as a light to win, out of sight
The turf will be like a toy balloon
What a feel you'll get riding on my jet
A destination moon

Oh we'll go up, up, up, up
Straight to the moon, we two
High in the starry blue
I'll be out of this world with you

So when we steal in my space mobile
Supersonic honeymoon
Leave your past below, pull the switch let's go
Our destination moon

Oh we'll go up, up, up, up
Straight to the moon, we two
High in the starry blue
I'll be out of this world with you

So when we steal in my space mobile
A supersonic honeymoon
Leave your past below pull the switch let's go
Our destination, we'll fly high up in the sky
Destination, destination moon, woo",Destination Moon,2007
Deborah Cox,"I don't hurt anymore, all my
Teardrops are dried
No more walkin' the floor with
That burnin' inside
Just to think it could be,
Time has opened the door
And at last I am free, no, I don't hurt anymore

No use to deny, I wanted to die
The day you said we were through
But now I find you're out of my mind
And I can't believe that it's true

I've forgotten somehow
That I cared so before
Yes, it's wonderful now
I don't hurt anymore

No, no use to deny, I wanted to die
The day you said we were through
But now I find you're out of my mind
And I can't believe that it's true

I've forgotten somehow
That I cared so before
Yes, it's wonderful now
But I don't hurt anymore, yeah
And yes, it's wonderful now
I don't hurt anymore",I Don't Hurt Anymore,2007
Deborah Cox,"On the day I was born, said my father, said he
""I've an elegant legacy waiting for ye""
'Tis wine for your lips and a song for your heart
To sing it whenever the world falls apart

Look, look, look to the rainbow
Follow it over the hills and the streams
Look, look, look to the rainbow
Follow the fellow who follows a dream

So I bundled my heart and I roam the world free
To the east with a lark, to the west with the sea
And I searched all the earth and I scanned all the skies
And I found it at last in my own true love's eyes

Look, look, look to the rainbow
Follow it over the hills and the streams
Look, look, look to the rainbow
Follow the fellow who follows a dream

Follow the fellow, follow the fellow
Follow the fellow who follows a dream",Look to the Rainbow,2007
Deborah Cox,"Mainly you have fire on my mind
More than you ought to be
Mainly I find, you're on my mind
More than you ought to be

Thoughts of you should bring me joy
But then you only bring misery

Well, well, I tried to act gay seemed to have fun
But I'm finding a bottle that can't be one
'Cause you're on my mind more than you ought to be

Thoughts of you should bring me joy
But then you only bring misery

Now beyond happiness you bring, really isn't fair
But I payin' a heaven, heaven above
someday you'll have to care
And keep me on your mind more than I ought to be

But I hope my thoughts bring you joy
And not a whole lot of misery, oh
Not a whole lot of misery, oh",Misery,2007
Deborah Cox,"The leaves of brown came tumbling down
Remember in September in the rain
The sun without just like a dying ember
In September in the rain

To every word of love I heard you whisper
The raindrops seemed to play a sweet refrain
Though spring is here to me it's still September
That September in the rain

To every word of love I heard you whisper
The raindrops seemed to sing a sweet refrain
Though spring is here to me it's still September
That September in the rain

Whoa, September in the rain
Oh, September in the rain, yeah",September in the Rain,2007
