Band,Lyrics,Song,Year
Shawn Mendes,"I thought that I've been hurt before
But no one's ever left me quite this sore
Your words cut deeper than a knife
Now I need someone to breathe me back to life

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
I'm shaking falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
I'm tripping over myself
Aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Just like a moth drawn to a flame
Oh you lured me in I couldn't sense the pain
Your bitter heart cold to the touch
Now I'm gonna reap what I sow
I'm left seeing red on my own

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
I'm shaking falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
I'm tripping over myself
Aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head, get you out of my head

You watch me bleed until I can't breathe
I'm shaking falling onto my knees (falling on my knees)
And now that I'm without your kisses
I'll be needing stitches (and I'll be needing stitches)
I'm tripping over myself
Aching begging you to come help (begging baby please)
And now that I'm without your kisses
I'll be needing stitches

And now that I'm without your kisses
I'll be needing stitches
And now that I'm without your kisses
I'll be needing stitches",Stitches,2015
Shawn Mendes,"You've got my heart
But I can't let you keep it, babe
'Cause I won't be sure that I can stay
Don't waste your time
Trying to pull me in
'Cause I'm just a mess
Don't wanna fix
Just promise me one thing that you won't forget
But for now kiss me softly before I say

And don't be a fool
And wait on me darlin'
I know that you don't wanna hear this
But I'm always on the move

And don't be a fool
And say that you love me
'Cause you'll find a man
Who will stand by your side
And will be there for you
And just know that I do

Oh I really like you babe
And I wanna be there for you
For the rest of your days
But I know that hurt
If we keep on doing this
So I'm sorry to end this now
But I know that it's for the best

Don't be a fool
And wait on me darlin'
I know that you don't wanna hear this
But I'm always on the move

And don't be a fool, yeah
And say that you love me
'Cause you'll find a man
Who will stand by your side
And will be there for you

I don't think you'll ever understand
I don't think you'll ever understand
I know that you don't wanna hear this but darling don't be a fool

And don't be a fool, yeah
And wait on me darling
I know that you don't wanna hear this
But I'm always on the move, yeah, oh

Just don't be a fool, yeah
And say that you love me, girl
'Cause you'll find a man
Who'll stand by your side
And will be there for you

And don't be a fool
And wait on me darling
I know that you don't wanna hear this
But don't be a fool",Don't Be a Fool,2016
Shawn Mendes,"She got a bad reputation
She takes the long way home
And all of my friends seen her naked
Or so the story goes
Mistakes we all make them
But they won't let it go, no
'Cause she's got a bad reputation
But I know what they don't

And I don't care what they say about you baby
They don't know what you've been through
Trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you

She got a bad reputation
Nobody gets too close
A sight of a soul when it's breaking
Making my heart grow cold
And into the deeper she's sinking
I'm begging her please don't let go
She's got a bad reputation
But she's all that, all I want though

And I don't care what they say about you baby
They don't know what you've been through
And trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you 

Nobody knows the way that I know her, said
Nobody knows the weight that’s on her shoulders, said
Nobody knows the way that I know her, said
She got it bad, she got it bad 
Nobody knows the way that I know her, said
Nobody knows the weight that’s on her shoulders, said
Nobody knows the way that I know her, said
She got it bad, she got it bad

And I don't care what they say about you baby
They don't know what you've been through
Trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you

And I don't care what they say about you baby
They don't know what you've been through
Trust me, I could be the one to treat you like a lady
Let me see what's underneath, all I need is you

She got a bad reputation
She takes the long way home",Bad Reputation,2016
Shawn Mendes,"Damn, you look so good with your clothes on
And I'm not trying to come off too strong
But you know that I can't help it
'Cause girl you're beautiful

And I can't deny I want your body
But I'm a gentleman so I'll be
The one who takes it slowly
'Cause girl you're so beautiful

I wanna love you with the lights on
Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
Hold you 'til the night's gone
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on

I like the vibe in this hotel room
And I'd really like to get to know you
Start discovering your secrets
Underneath these very sheets
Your skin's so perfect up against me
Your lips are talking when we don't speak
And I never wanna leave this
'Cause there's so much left to see

I wanna love you with the lights on
Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
And hold you 'til the nights gone
Darling, I wanna see every inch of you
I get lost in the way you move

I wanna love you with the lights on
Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
Hold you 'til the nights gone
Darling, I wanna see every inch of you
I get lost in the way you move

I wanna love you with the lights on
Keep you up all night long
Darling, I wanna see every inch of you
I get lost in the way you move
I wanna love you with the lights on
And hold you 'til the nights gone
Darling, I wanna see every inch of you
I get lost in the way you move

I wanna love you with the lights on
Love you with the lights on
Love you with the lights on",Lights On,2016
Shawn Mendes,"You hit me up
It's late at night
This is the same old story
Your friends should take your phone away
I always give in when you tell me lies to reassure me
I always make the same mistakes, yeah
Ooh you give a little taste
Love me and then you take it from me
Oh I hate that I love it
'Cause you're driving me crazy

First you say you love me then you say you don’t
I wake up in the mornin' and I'm all alone
Tell me that you're with it then you say you won't
Can you make your mind up?
Please, I'm losin' my patience
You know I'm losin' my patience, yeah

I'm in your room, it's just us two
I feel you getting closer
You rest your head upon my chest
Deep down I know that this should be
The last time I come over
You always leave me such a mess

Ooh, you give me a little taste
Lure me in then you take it from me
Oh I hate that I love it
'Cause you're driving me crazy

First you say you love me then you say you don’t
I wake up in the mornin' and I'm all alone
Tell me that you're with it then you say you won't
Can you make your mind up?
Please, I'm losin' my patience
You know I'm losin' my patience, yeah

And you gotta stop, if you know
So I can start letting go
'Cause it's driving me crazy
Yeah, you keep driving me crazy

When you say you love me then you say you don’t
I wake up in the mornin' and I'm all alone
Tell me that you're willing then you say you won't
Yeah, you're driving me crazy

First you say you love me then you say you don’t
I wake up in the mornin' and I'm all alone
Tell me that you're with it then you say you won't
Can you make your mind up?
Please, I'm losin' my patience

You know I'm losin' my patience, yeah

Please, I'm losin' my patience, yeah",Patience,2016
Shawn Mendes,"Am I asking all these questions for nothing
I'm wondering if anyone's there
And I really need to make a confession
I hate to say that I'm a little bit scared

But I've been on this train too long
People getting off and on
Praying that I don’t forget where I belong
And every time I ask myself

Am I turning into someone else?
I’m praying that I don’t forget just who I am
I really wanna understand
I just wanna understand

I'm callin' all my friends after midnight, yeah
To remind 'em that I'll always be there for them
It gets lonely when there's no one to talk to
But it's good to know that somebody cares

'Cause I've been on this train too long
People gettin' off and on
I'm prayin' that I don't forget where I belong
And every time I ask myself

Am I turnin' into someone else?
I'm prayin' that I don't forget just who I am
I really wanna understand
I just wanna understand

'Cause we all get lost sometimes (yeah yeah)
We all get lost sometimes
We don't leave your heart behind (no, yeah)
We all get lost sometimes

I really wanna understand
I just wanna understand

Now I just need to, I need to understand
I really wanna understand oh who I am

When you wake up, your whole world is flipped
Is just different, and you gotta, you know, you gotta
You gotta go with it and
That's just simply growing up
And now I see it in a negative way
You have to see it as it has been giving to you
I mean, as much as time it's gonna be crazy
You're gonna feel like that's where we're supposed to be
You're not gonna feel out of place anymore
You're gonna feel that's where you're meant to be
You don't have to pretend that it's easy all the time
You just let it go and
And grow with it, and you can't hold on
To the old you, or the old this or the old that
Because, you know, you change
And it's not changing in a bad way
It's just changing because that's what happens in life
You grow up, everyone moves on
You're just learning
You stay true to yourself
Changing isn't a bad thing and it never was
But at the end of the day you know, you're the same person
And, and where your heart is, that doesn't change

And every time I ask myself
Am I turning into someone else?
And I just pray to God that I'm still who I am
I really wanna understand
I just gotta understand yeah yeah

Now I just need to, I need to understand
I really wanna understand oh who I am",Understand,2016
Shawn Mendes,"I wanna follow where she goes
I think about her and she knows it
I wanna let her take control
'Cause everytime that she gets close, yeah

She pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah

Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

She says that she's never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitation

Pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah

Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back

'Cause if we lost our minds and we took it way too far
I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, I know we would be alright
'Cause if we lost our minds and we took it way too far
But I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, I know we would be alright

Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
I feel so free when you're with me, baby
Baby, there's nothing holding me back",There's Nothing Holdin' Me Back,2016
Shawn Mendes,"Stop, take it in
And I breathe for a minute
I think too much when I'm alone
I never win when I
Keep all my thoughts inside
So I pick up the phone

And my dad said, Shawn, stay with me
Everything will be alright
I know I haven’t seen you lately
But you’re always on my mind

I don't know what
You’re going through
But there’s so much life
Ahead of you
And it won’t slow down
No matter what you do
So you just gotta hold on
All we can do is hold on, yeah

These days are flying by
Weeks feel like minutes
I can't remember being small
I try to figure it out
I can't seem to find out how
I guess I don't know much at all

And my dad said
Shawn, stay with me
Everything will be alright
I know I haven’t seen you lately
But you’re always on my mind

I don't know what
You’re going through
But there’s so much life
Ahead of you
And it won’t slow down
No matter what you do
So you just gotta hold on
All we can do is hold on, yeah

All we can do is hold on
Yeah, you just gotta hold on
Just, just hold on
Just hold on for me

My dad said
Shawn, stay with me
Everything will be alright

I don't know what
You’re going through
But there’s so much life
Ahead of you
And it won’t slow down
No matter what you do
So you just gotta hold on
All we can do is hold on, yeah
Yeah, you just gotta hold on
Just hold on for me",Hold On,2016
Shawn Mendes,"It's not that I'm afraid I'm not enough for her
It's not that I can't find the words to say
But when she's with him, she seems happier
And I don't want to take that away

How many times can I see your face?
How many times will you walk away?
I just have to let you know

I'm not try'na start a fire, with this flame
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me If I'm wrong, and this is crazy
But I got you this rose
And I need to know
Will you let it die or let it grow?
Die or let it go?

It's not that I don't care about the love you have
It's not that I don't want to see you smile
But there's no way that he can feel the same
'Cause when I think of you my mind goes wild

How many times can I see your face?
How many times will you walk away?
I just have to let you know

I'm not try'na start a fire, with this flame
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me If I'm wrong, and this is crazy
But I got you this rose
And I need to know
Will you let it die or let it grow?

You can tell me to stop, if you already know
Though I'm not sure my heart can take it
But the look on your face says, don't let me go

I'm not try'na start a fire, with this flame
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me if I'm wrong, and this is crazy
But I got you this rose
And I need to know
Will you let it die or let it go?
I'm not tryna start a fire, with this flame (with this flame)
But I'm worried that your heart might feel the same
And I have to be honest with you baby
Tell me If I'm wrong, and this is crazy
But I got you this rose
And I need to know
Will you let it die or let it grow?",Roses,2016
Shawn Mendes,"Hey, how's it going?
Can you meet me down on Adelaide street?
Can you talk for a moment
There's no way to say this that easily
And everything I said, I swear I meant it
I need to tell you that this isn't your fault
And I know that I'll probably regret it
And it kills me 'cause the worst part of all

It's that I hate to hurt you
But I got to be honest
I can't give you what you need
You deserve more than I can promise
And I'm just tryna, I'm just tryna
Baby, I'm just tryna be honest
I'm tryna be honest with ya
You know that I'm sorry
But I'm tryna be honest with ya

Hey, can you listen?
I swear to God to you, there's nobody else
You're gonna say that I'm lyin'
When I tell you every feeling I felt
Was honest and sincere
And that you were different
And when we kissed I felt like that kid in love, yeah
And I know that I'll probably regret it
I might wish I never said this at all

Oh I hate to hurt you
But I got to be honest
I can't give you what you need, oh
You deserve more than I can promise
And I'm just tryna, I'm just tryna
Baby, I'm just tryna be honest
I'm tryna be honest with ya
You know that I'm sorry
But I'm tryna be honest with ya

Oh, oh, oh
I don't wanna see you cry
Oh, oh, oh
Swear that I don't wanna see you cry

'Cause I hate I hurt you
But I gotta be honest
I can't give you what you need, oh
You deserve more than I can promise
And I'm just tryna, I'm just tryna
Baby, I'm just tryna be honest

I hate I hurt you
But I got to be honest
that I can't give you what you need, oh
You deserve more than I can promise
And I'm just tryna, I'm just tryna

Baby, I'm just tryna be honest",Honest,2016
