Band,Lyrics,Song,Year
Ben Bridwell,"Well, I dreamt you were playing
An old guitar from a five-and-dime
There was a song trapped inside
With the sweetest tune
You said it was sad to sing

Where do you fall when you have nowhere to go?
Where do you go where you have no one to see?
What do you see when you have nothing to feel?
What do you feel when you're all alone?

It’s a song that circles round and around
Like a bird lost inside a cloud
Cut off from the stars and they’re guided in the light
Not sure which way is up or down anymore

Where do you fall when you have nowhere to go?
Where do you go where you have no one to see?
What do you see when you have nothing to feel?
What do you feel when you're all alone?

Tired of waiting
Clouds will be breaking
Soon you'll escape and
Someday we'll find a place in the sky",Falling from the Sky,2015
Ben Bridwell,"There's no way out of here
When you come in you're in for good

There was no promise made
The part you played the chance you took
There are no boundaries set
But time and yet you waste it still

So it slips through your hands
Like grains of sand you watch it go
There's no time to be lost
You'll pay the cost so get it right

There's no way out of here
When you come in you're in for good
And never was there an answer, there an answer
Not without listening without seeing

There are no answers here
When you look out you don't see in
There was no promise made
The part you played the chance you took

There's no way out of here
When you come in you're in for good
And never was there an answer, there an answer
Not without listening without seeing

There's no way out of here
When you come in you're in for good
There are no answers here
When you look out you don't see in
There was no promise made
The part you played the chance you took

There's no way out of here

There's no way out of here",No Way Out of Here,2015
Ben Bridwell,"If I die at twenty three
Won't you bury me
In the sunshine?
Please let me know
That you're still mine
Though I'm gone
My love for you
Is, oh, so strong

And when the grass grows over me
Let me know
You still love me
Never put nobody else
Above me
Then I'll know
My love for you 
Will always grow",Ab's Song,2015
Ben Bridwell,"Ohhoohohoo

Am I a good man?
Am I a fool, am'I a fool?
Am I weak?
Somebody tell me
Or am I just playing it cool
I have a woman
And I know shes no good
Still hold my head up high tryi'n to do the things a good man should
Does it make me a good man?
Am I good man?
Am I a fool, am I a fool?
Am I weak?
Somebody tell me
Or am I just playin' it cool
Shes has made, well, my whole life a mess
Still on the words staying by for love so she can always have the very best
Does that make me a good man?
Am I a good man?
Am I a fool, am I a fool?
Am I weak?
Somebody tell me
Or am I just playin' it cool
The best of her love she gives to someone else
Still before I hurt the little girl I would rather hurt myself
Does it make me a good man?
Am I a good man?
Am I a fool, am I a fool?
Am I weak?
Somebody tell me
Or am I just playin' it cool
She has made my whole life a mess
But still I work day and night for her so she can always have the very best
Does that make me a good man?
Am I a good man?
Am I a fool, am I a fool?
Am I weak?
Somebody tell me
Or am I just playin' it cool
Does that make me a good man?
Am I a good man?
Am I a good man?
Am I a good man?
Am I a good man?
Am I a good man?
Am I good?
Am I good?",Am I a Good Man,2015
Ben Bridwell,"If you don't love her you'd better let her go
You'll never fool her you're bound to let it show
Love's so hard to take when you have to fake
Everything in return
You just preserve her
When you serve her a little tenderness

If she's a woman she'll try to make it last
If you're a man now you'd better end it fast
There's no reason here, no treason here
Just the way a woman's mind
Well she has no name she has no shame
She just loves you

It's not easy to undo what's done
Or to speak too freely to just anyone
And if this takes more than you bargained for
Boy it's time you learned
Not to talk so loud, not to walk so proud
When you're comin' on",Any Day Woman,2015
Ben Bridwell,"Coyot', Coyotee
What have they done?
My little brother, where
Where do you run?

They strychinined the mountains
They strychinined the plains
My little brother, the coyote
Won't come back again

When you hear him singing
The few that are left
He's warning the human race
Of his death

Don't poison the mesas
Don't poison the sky
Or you won't be back
Little brother, goodbye

There will be no one to listen
And no one to sing
And never and never
Will there be spring

Coyot', Coyotee
What have they done?
My little brother, where
Where do you run?","Coyote, My Little Brother",2015
Ben Bridwell,"Well, in the morning, we'll have to pretend again, smiling
You'll be my good friend again, hold me
The light comes a-creeping in the morning, the curtain will rise again
I know, I know, because I've done this one before

Well, it's the end there, just the beginning, now I'm here
Caught in the middle, loving you comes
As easy as breathing, loving you comes, when everyone's leaving
I know, I know, because I've done this one before

I know, I know
Why must it be so?
Why ask for the moon?

Well, there's just so much, to want to be with her
Where was I when, she was in trouble? 
Now I'm here and too late, as usual in the morning, well, she'll be returning
I know, I know, because I've read this one before

I know, I know
Why must it be so?
Why ask for the moon?

Well, in the morning, we'll have to pretend again, smiling
You'll be my good friend again, hold me
The light comes a-creeping in the morning, the curtain will rise again
I know, I know, because we've played this one before",Done This One Before,2015
Ben Bridwell,"God knows
I've been taking a lot without giving back
God knows
I've been taking a lot without giving back

You gotta give to get
You gotta give to get back
You gotta give to get
You gotta give to get back
You gotta give to get
You gotta give to get back to the love

God knows
I've been taking a lot without giving back
God knows
I've been taking a lot without giving back
God knows
I've been asking a lot without giving back

You gotta give to get
You gotta give to get back
You gotta give to get
You gotta give to get back
You gotta give to get
You gotta give to get back to the love

Get back got to get back
Get back got to get back
Get back got to get back
Get back got to get back",God Knows (You Gotta Give to Get),2015
Ben Bridwell,"Whippoorwill's singing
Soft summer breeze
Makes me think of my baby
I left down in New Orleans
I left down in New Orleans

Magnolia, you sweet thing
You're driving me mad
Got to get back to you, babe
You're the best I ever had
You're the best I ever had

You whisper ""good morning""
So gently in my ear
I'm coming home to you, babe
I'll soon be there
I'll soon be there",Magnolia,2015
Ben Bridwell,"The trouble with the straight and the narrow
Is its so thin, I keep sliding off to the side
And the devil makes good use of these hands of mine

And if Jesus is the straight path that saves
Then I'm condemned to live my whole life on the curb
On the crossroad to the devil, I'll dwell and I'll count my years

You know that I got a little something I should say
I guess that I'm just so easily led astray
It's alright because I know my own way back home from here

And I don't fall of the wagon you know
I take a dive and go as deep as I can go
Don't hold your breath because I'm coming up slow, this time.

And The trouble with the straight and the narrow
Is its so thin, I keep sliding off to the side
And the devil makes good use of these hands of mine

You know a little problem or two
I guess that I keep on taking a few
I've been told its not the best thing that I can do, right now

And I don't go looking for my sins you know
They come out waiting, and I just get on and go
Don't hold your breath because I'm coming up slow this time

And The trouble with the straight and the narrow
Is its so thin, I keep sliding off to the side
And the devil makes good use of these hands of mine

And if Jesus is the straight path that saves
Then I'm condemned to live my whole life on the curb
On the crossroad to the devil, I'll dwell and I'll count my years

And The trouble with the straight and the narrow
Is its so thin, I keep sliding off to the side
And the devil makes, the devil makes, good use of these hands of mine",Straight and Narrow,2015
