Band,Lyrics,Song,Year
Kevin Rowland & Dexys Midnight Runners,"More please and thank you
Introducing the Celtic Soul Brothers and featuring the strong devoted,
Ladies and gentlemen, would you now please take your leave.
Because we've sat back looking and nearly been took,
Even been scared but now I don't care and I'm telling anyone who'll listen.
I've seen what's on show and now there's no more to know
'cause I've been there, 
I've been seen there, 
I've seemed it, dreamed it,
Beened it, schemed it.
Excuse me please, you're standing in my space,
So step aside, now your time's up.
Come on my friends, I would now like to propose a toast
To the strength I see that's surrounding me and those who've cared,
Oh yes, I've been scared and I'm telling anyone who'll listen
I've seen what's on show and now there's no more to know, 
Oh I've been there, 
I've seen there, 
I've seemed it, dreamed it,
Schemed it.
You see I know this to be true,
Now would I lie to you?
And I'm not waiting for approval from you
We're coming through.
More please and thank you.
",The Celtic Soul Brothers,1982
Kevin Rowland & Dexys Midnight Runners,"'ll show you them now, those boys without cares.
Who'd swapped dirty pictures and talked during prayers.
They grew up with wisdom they'd stored from those days
Nobody told them to get in they must change.
I'll show you them now. Come with me and
I'll show you them now.
The teachers laughed with them class idiot style.
After all they weren't their kids so why should they mind.
Boyish good looks held the wrath back a while.
Then they were drummed in and thumped in and soon left behind.
Alcoholics, child molesters, nervous wrecks and prima donnas
Jilted lovers, office clerks, petty thieves, hard drug pursuers.
Lonely tramps, awkward misfits, oh anyone of these.
Mortgaged up families looked at first too mundane.
But it's funny how with help all the lucky ones changed.
Some of them couldn't, there had to be more.
Music, I dunno, films, something special perhaps.
I'll show you them now, come with me
And I'll show you them now.
It's so hard to picture dirty tramps as young boys.
But if you see a man crying, hold his hand, he's my friend.
If these words sound corny, switch this off, I don't care.
Nearby he's still crying, I won't smile while he's there.
Nearby he's still crying. I won't smile while he's there.",I'll Show You,1982
Kevin Rowland & Dexys Midnight Runners,"Jackie Wilson said it was reet petite
I kind of love you
Yes it knocks me off my feet
Let it all come down
Oh let it all come down
And you know I'm so wired up
I don't need any more tea in my cup
Let it all come down
Oh let it all come down
Now watch this
Toodle langa langa Toodle langa fang
Toodle langa langa Toodle langa fang
I'm in heaven
I'm In heaven
I'm In heaven when you smile
And when you walk across the street
It makes my heart go boom boom boom,
Let It all come down
And every time I stop to think about It
Well little child you simply make my day
Let It all come down
Oh let It all come down
Toodle langa langa Toodle langa fang
Toodle langa langa Toodle langa fang
I'm In heaven
I'm in heaven
I'm in heaven when you smile
",Jackie Wilson Said (I'm in Heaven When You Smile),1982
Kevin Rowland & Dexys Midnight Runners,"What's that, what's that on the start?
Oh, oh let's get this straight from the start
Who's that? Who's that? What's his part?
Tell him to come back, tomorrow we'll start

(You keep saying) So what did I say?
(You keep saying) Tell me what did I say?

I said pardon me, oh
Pardon me, oh
Pardon me, please
Pardon me
I said come 'round here, singing oh 
Let's get this straight from the start

I'll tell you this is something I don't even understand
Oh oh, these people 'round here have their own way of thinking
Some of them get angry with things out of hand
Oh oh, watch what you're saying (That's not what I'm thinking)

(You keep saying) What did I say?
(You keep saying) You tell me what did I say

I said pardon me, oh
Pardon me, oh
Pardon me, please
Pardon me
Said just to come 'round here, singing oh 
Let's get this straight from the start

Oh no, I don't believe (You better look at what you think oh oh oh)
Oh, I don't believe (You'd better look at what you think)
All these people 'round here have ideas of their own, so

What's that, what's that repeating part?
Oh, oh let's get this straight from the start
Who's that? Who's that? What's his part?
Tell him to come back, tomorrow we'll start

(You keep saying) So what did I say?
(You keep saying) Go on, what did I say? I know what I said, I said

Pardon me, oh
Pardon me, please
Pardon me, oh
Pardon me
I'm waiting to come 'round here, singing oh 
Let's get this straight from the start

Pardon me
Pardon me
I'll tell you come 'round here, 'cause I want
Just get this straight from the start

Pardon me
Pardon me
I'm telling you come 'round here, woah oh oh 
Let's get this straight from the start

Pardon me
Pardon me
Why don't you come 'round here, 'cause I want
To get this straight from the start

Pardon me
Pardon me
Come on, come on, come on, come on, come on
Oh, let's get this straight from the start

Pardon me
Pardon me
Come on, come, come, come
Oh, let's get this straight from the start

Pardon me
Pardon me
I said I would come 'round here, woah oh oh 
Let's get this straight from the start

Pardon me
Pardon me
I gotta come 'round here, woah oh oh",Let's Get This Straight (From the Start) [*],1982
Kevin Rowland & Dexys Midnight Runners,"Pure, this must be, it has to be.
Pure, let's make this pure,
(Do you mean it?) Yes I do,
(Then let's sing it) Certainly, but
First bare your hearts and cleanse your souls
(And then?) Let's try and make this precious, like this.
Let's make this precious.
We're striving over here
(Ever nearer?) I think so
(Visions clearer) of course, of course.
But still we must forsake all to win
(All temptation?) everything (for salvation?) now you're talking
Then let this apply to all we do
(And then?) Our striving will guide us
And somehow I think that we'll win.
Let's make this precious,
First let's hear somebody sing me a record
That cries pure and true.
No not those guitars. They're too noisy and crude.
The kind that convinces refuses to leave,
There's no need to turn it up.
If it's pure I'll feel it from here
Let's make this precious, (I think we probably will)
Let's make this precious, (I think we probably will)",Let's Make This Precious,1982
Kevin Rowland & Dexys Midnight Runners,"You've always been searching for something
But everything seems so so-so
Tightly close your eyes
Hold out your hand
We'll make a stand
Forget their plans
and their demands
PLAN B
They're testing you - but don't worry
PLAN B
This week I'm strong enough for two
I'm coming
I'm running
I'm burning
I wouldn't sell you anything
It starts off just joking
and then they stop talking to you
and that's the worst thing of all
The worst thing of all
Whispers more than loud enough
Try to make you feel not good enough
Try this
Don't believe your eyes
Hold out your hand
We'll make a stand
Forget their plans
and their demands
PLAN B
Bill Withers was good to me
PLAN B
Pretend I'm Bill and lean on me
I'm coming
I'm running
I'm burning
I wouldn't sell you anything
PLAN B
Hold on to me
PLAN B
No don't be nervous. Just trust in me
I'm coming
I'm running
I'm burning
I wouldn't sell you anything ",Plan B,1982
Kevin Rowland & Dexys Midnight Runners,"Show me them now those wild little boys,
the ones that spelled trouble and stole all their toys,
young boys with contempt and schemes in their eyes,
strong, rich in spirit with milk stains on their ties.
A little while later the first ones to smoke,
oh, I just stood there in awe laughing loud at their jokes.
Tinny transistors (Honk Kong made) and this weeks ""Parade"" 
Ah, if they'd accept me I'd have given anything.
Stolen watches and big studded rings, 
tall talk of girls and all that kind of thing. 
Ah, they just had something precious you know what I mean, 
such wisdom and style like I'd never seen. 
They helped me get older,
pulled me through each bad phase, 
show me them now those boys from ""those days"". 
Show me them now
let me look and see how they've grown up now.",Show Me [*],1982
Kevin Rowland & Dexys Midnight Runners,"I'll need tonight to sit and think about this
Think what to do.
I'll take some strength to banish hollow sorrow.
Hollow sorrow's nothing new.
Just enough strength to last until tomorrow
Until I believe in my soul.
Tonight I lost sight of all purpose
Despite all this trickery you told me was right.
I was such a good boy I let you hold the door
So kind, so nice, where's my prize?
(That's all there ever is) Oh yeah yeah yeah?
(That's all there ever was) Ah you must be fucking joking.
(The same for everyone) Oh yes. Yes yes.
Would you repeat that. Break it to me gently,
Stand over there.
Oh I know I was an arrogant boy but I let you hold the door
Oh I was kind. I was nice, where's the prize?
And I'm on the train from New Street
To Euston. I'm going out to Harrow again
And I'm trying to get the feeling
That I had in nineteen seventy two.
Oh but you're going too fast for me here,
I'm saying, wait a minute there, wait a minute there
Hold it, stop! Let me get this clear
(That's all there ever is) oh yeah yeah yeah?
(That's all there ever was) yes, yes. ha ha ha.
(The same for everyone) Oh yes. yes. yes.
You see I know what this is, I know
What's going on here, this is just the difference between . . .
It's the battle between the body and the soul. The spirit
And what's needed here. . .
What I intend to do now is I'm going to punish my body.
I'll punish the body to believe in the soul, I will punish
my body, until I believe in my soul.",Until I Believe in My Soul,1982
Kevin Rowland & Dexys Midnight Runners,"I'll show you them now, those boys without cares.
Who'd swapped dirty pictures and talked during prayers.
They grew up with wisdom they'd stored from ""those days""
Nobody told them to get in they must change.
I'll show you them now. Come with me and
I'll show you them now.
The teachers laughed with them class idiot style.
After all they weren't their kids so why should they mind.
Boyish good looks held the wrath back a while.
Then they were drummed in and thumped in and soon left behind.
Alcoholics, child molesters, nervous wrecks and prima donnas
Jilted lovers, office clerks, petty thieves, hard drug pursuers.
Lonely tramps, awkward misfits, oh anyone of these.
Mortgaged up families looked at first too mundane.
But it's funny how with help all the lucky ones changed.
Some of them couldn't, there had to be more.
Music, I dunno, films, something special perhaps.
I'll show you them now, come with me
And I'll show you them now.
It's so hard to picture dirty tramps as young boys.
But if you see a man crying, hold his hand, he's my friend.
If these words sound corny, switch this off, I don't care.
Nearby he's still crying, I won't smile while he's there.
Nearby he's still crying. I won't smile while he's there.
",I'll Show You [BBC In Concert - Newcastle 26/06/82],2010
Kevin Rowland & Dexys Midnight Runners,"Pure, this must be, it has to be.
Pure, let's make this pure,
(Do you mean it?) Yes I do,
(Then let's sing it) Certainly, but
First bare your hearts and cleanse your souls
(And then?) Let's try and make this precious, like this.
Let's make this precious.
We're striving over here
(Ever nearer?) I think so
(Visions clearer) of course, of course.
But still we must forsake all to win
(All temptation?) everything (for salvation?) now you're talking
Then let this apply to all we do
(And then?) Our striving will guide us
And somehow I think that we'll win.
Let's make this precious,
First let's hear somebody sing me a record
That cries pure and true.
No not those guitars. They're too noisy and crude.
The kind that convinces refuses to leave,
There's no need to turn it up.
If it's pure I'll feel it from here
Let's make this precious, (I think we probably will)
Let's make this precious, (I think we probably will)",Let's Make This Precious [BBC Session - David Jensen 04/07/82],2010
