Band,Lyrics,Song,Year
"Electric Light Orchestra, Part II","We're just a stone's throw
From Burning Hellfire
Does anybody know,
Where did all the heroes go?
We've had our fill of
This gallery of scoundrels,
The leaders of the world, 
Those power hungry liars

Rise up and sound the sirens,
Send out the searching powers,
All we need is a few good men
Send the S.O.S. and red alerts
All across the universe
Calling your honest men?
S.O.S. emergency,
Sinking fast and getting worse.

Where's your honest men?
In some village, far away,
Or in a little town pub.
High on a mountain top
There must be an honest man
Calling all honest men

Throw out the tyrants,
The aged fat cats
Outlived their usefulness
They have led us to this mess
Make them answer,
Hold them to their promises,
And throw them in the street
If they won't tell the truth

S.O.S. and red alert
All across the universe,
Calling all honest men
S.O.S. emergency,
Sinking fast and getting worse,
Where's your honest men?
To your stations,
Man the ramparts,
The barricades
We need new heroes urgently

We need a few good honest men
Calling all honest men
Calling all honest men
Call to him
He lives next door,
Across the street
On the upper floor.

It's our only hope we need him now
Send the S.O.S. and red alert,
All across the universe,
Calling all honest men
S.O.S. emergency,
Sinking fast and getting worse,
Where's your honest men
Strike a blow,
Save the ship,
We need a few good honest men
Calling all honest men
Calling all honest men
Calling all honest men
S.O.S. across the universe
Where's your honest
We need your honest
Calling all honest men

Calling out all over the world,
Where's your honest men
Looking out all over the world,
We need your honest men",Honest Men,1990
"Electric Light Orchestra, Part II","I could paint your picture in the sky tonight
Your lips stick on the moon in pastel light
Baby, it`s full and white
Honey, it`s full tonight

So kiss me red
Kiss me rouge
Kiss me rough
Kiss me smooth
Oh

I could paint your picture in my room tonight
Your body`s on my mind, it`s full and white
Oh, but you`re far away
And what I wouldn`t pay

To kiss you red
Kiss you rouge
Kiss you rough
Kiss you smooth
Oh

It`s black out
And I`m afraid of the dark
So I light a candle to replace your heart
What I wouldn`t give to have you here in my bed

To kiss me red
Kiss me rouge
Kiss me rough
Kiss me smooth",Kiss Me Red,1990
"Electric Light Orchestra, Part II","Meeting you in the park and talking in the pouring rain
(oh what a time we had)
Running home in the dark and pretending it was all a game
(oh what a time)
Those were the days, those were the days

Memories of you have really left a scar
And all that i can do now is to love you from afar
'cos everything was fine
That once upon a time

Asking you if you'd stay, not believing that you might
(oh what a time we had)
Missing you through the day, dreaming of you through the night
(oh what a time)
Those were the days, those were the days

Though there's no denying that you're nowhere around
I can't help myself from looking for your face amongst the crowd
'cos everything was fine, that once upon a time

Have to leave the past behind me and get on the right track
Though there's nothing i can say that will ever bring you back
But everything was fine, that once upon a time

I wish i knew for how much longer this misery will last
Can't control these feelings, i'm still living in the past
'cos everything was fine, that once upon a time
I've got to build my life again, try to find somebody new
But i know inside my heart of hearts there'll be no replacing you
But everything was fine, that once upon a time
",Once upon a Time,1990
"Electric Light Orchestra, Part II","Chorus
The night has a thousand eyes
And they're all on you
The night has a thousand ears
Listening to your cries
Let it work its magic
Let it work its magic
The night has a thousand eyes

Verse 1
You, you had to slip away
After all that spark
You, said all that you could say
And slipped into the dark
I could not let you go
Alone into the night
I had to let you know

The magic there, in the night air

Chorus
The night has a thousand eyes
And they're all on you
The night has a thousand ears
Listening to your cries
Let it work its magic
Let it work its magic
The night has a thousand eyes

Verse 2
You, somewhere out in the dark
Runs a wounded heart
You, stumbling in the night
In the air of after light
You take along the fears
Did you waste these years,
And did they warn you
Of the night zone all alone

Sometimes it takes a fight
To keep everything on track,
And sometimes it takes a starry night
To bring the magic back
This was the time
And this was the place
With starlight on your face
And the moon on the rise,
The night has a thousand eyes
",Thousand Eyes,1990
"Electric Light Orchestra, Part II","Hold on tight to your dream 
Hold on tight to your dream 
When you see your ship go sailing 
When you feel your heart is breaking 
Hold on tight to your dream

It's a long time to be gone 
Time just rolls on and on 
When you need a shoulder to cry on 
When you get so sick of trying 
Hold tight to your dream

When you get so down that you can't get up 
And you want so much but you're all out of luck 
When you're so downhearted and misunderstood 
Just over and over and over you could

Accroches-toi a ton reve 
Accroches-toi a ton reve 
Quand tu vois ton bateau partir 
Quand tu sents ton coeur se briser 
Accroches-toi a ton reve

When you get so down that you can't get up 
And you want so much but you're all out of luck 
When you're so downhearted and misunderstood 
Just over and over and over you could

Hold on tight to your dream 
Hold on tight to your dream 
When you see the shadows falling 
When you hear that cold wind calling 
Hold on tight to your dream

Hold on tight to your dream 
Hold on tight to your dream",Hold on Tight,1992
"Electric Light Orchestra, Part II","The city streets are empty now
(The lights don't shine no more)
And so the songs are way down low

A sound that flows into my mind
(The echoes of the daylight)
Of everything that is alive
(In my blue world)

I turn to stone when you are gone
I turn to stone
I turn to stone, when you comin' home
I can't go on

The dying embers of a night
(A fire that slowly fades 'till dawn)
Still glow upon the wall so bright (turning, turning)

The tired streets that hide away
(From here to everywhere they go)
Roll past my door into the day
In my blue world

I turn to stone when you are gone
I turn to stone
I turn to stone, when you comin' home
I can't go on

Turn to stone when you are gone
I turn to stone

Yes, I'm turnin' to stone
'Cause you ain't coming home
Why ain't you comin' home
If I'm turnin' to stone
You've been gone for so long
And I can't carry on
Yes, I'm turnin', I'm turnin'
I'm turnin' to stone

The dancing shadows on the wall
(The two-step in the hall)
Are all I see since you've been gone (turning, turning)

Through all I sit here and I wait
(I turn to stone, I turn to stone)
You will return again some day
To my blue world

I turn to stone when you are gone
I turn to stone
I turn to stone, when you comin' home
I can't go on

I turn to stone when you are gone
I turn to stone

I turn to stone when you are gone
I turn to stone
Turn to stone, when you comin' home
I can't go on

I turn to stone when you are gone
I turn to stone",Turn to Stone,1992
"Electric Light Orchestra, Part II","Don't want to talk, don't want to walk
Don't want to do anything
Don't want to kick, don't want to scream
Don't want to sleep, don't want to dream
Just want to sit, just want to stare
Do what you want I don't care
Wait for the phone, wait for the ring
Don't want to do anything

Chorus

Don't want to work, don't want to play
Just sit around everyday
Don't want to dance, don't want to sing
Don't want to do anything
Don't want to laugh, don't want to cry
Just want to sit and wonder why
It's just too much without your touch
Don't want to do anything

Chorus
",Don't Wanna,1994
"Electric Light Orchestra, Part II","I wait till everyone`s asleep
Then out into the night I creep
No one can see me now
Or hear me running, soundlessly

The moon`s the only light I need
To search for food, young ones to feed
But as the dawn is drawing near the earth, my way`s not clear
I`m trapped on the outside

Moonlight save me, moonlight save me
Moonlight save me, moonlight save me

Unearthly fear, it grips my skin
Unearthly sound, the hunt begins
I hear excited cries
But dare not look from where I`m hiding

The multi-coloured humans ride
Soon they will find me where I hide
The brown and white tormentors
Begin to howl and then I`m running

Moonlight save me
I cut across the trail I left five miles before
One chance to throw them off my scent but I`m not sure
An elder told me it had worked sometime before

My heart is beating like a drum
I make the ridge, but can`t go on
I turn to face my death
But nothing comes to stop me breathing

Down in the clearing now I see
They`re searching all around for me
Confusion everywhere
But I am safe up here, I`ve won, I`ve won, I`ve won, I`ve won, I`ve won",The Fox,1994
"Electric Light Orchestra, Part II","It was 9-29, 9-29 back street big city.
The sun was going down, there was music all around
It felt so right.

It was one of those nights, one of those nights when
you feel the world stop turnin', you were standing
There, there was music in the air. I should have been
Away, but I knew I'd have to stay.

Last train to London, just headin' out,
Last train to London, just leavin' town.
But I really want tonight to last forever
I really wanna be with you,
Let the music play on down the line tonight.

It was one of those nights, one of those nights when
you feel the fire is burnin', everybody was there,
everybody to share
It felt so right.

There you were on your own, lookin' like you were
The only one around, I had to be with you,
nothin' else that I could do,
I should have been away, but I knew I'd have to stay.

Last train to London, just headin' out,
Last train to London, just leavin' town.
But I really want tonight to last forever
I really wanna be with you.
Let the music play on down the line tonight.

Underneath a starry sky, time was still but hours
Must really have rushed by, I didn't realize,
But love was in your eyes, I really should have
Gone, but love went on and on...

Last train to London, just headin' out,
Last train to London, just leavin' town.
But I really want tonight to last forever
I really wanna be with you.
Let the music play on down the line tonight.",The Last Train to London,1996
"Electric Light Orchestra, Part II","Listen everybody let me tell you 'bout the rock 'n' roll 
Feel that rhythm and it's really gonna thrill your soul 
She said come along with me, to a land of make believe 
She said rock 'n' roll is king

She loves that rock 'n' roll and she plays it all night long 
That's all she ever tells me when I call her on the telephone 
She says feel that jumpin' beat, and git up on your feet 
She says rock 'n' roll is king

Oh let those guitars play 
Play for me play for me 
Oh let that song ring out 
That's how it's meant to be

It rolls like a train that's comin' on down the track 
She rolled over Beethoven and she gave Tchaikovsky back 
She loves that drivin' beat, she goes dancin' on down the street 
She said rock 'n' roll is king

Oh let those guitars play 
Play for me play for me 
Oh let that song ring out 
That's how it's meant to be

When she comes around and I'm listenin' to the radio 
She says you can't do that 'cause all I wanna do is rock 'n' roll 
Now here I'm gonna stay where that music starts to play 
She says rock 'n' roll is king",Rock & Roll Is King,1996
