Band,Lyrics,Song,Year
Buddy Spicher,"Darling, you toyed with toy heart
I think you played the game right from the start
This toy heart was broken 
When parting words were spoken
Darling, you toyed with a toy heart

You played with my poor heart like a toy
That toy broke and then we had to part
It never can be mended 
I hope this romance's ended
Darling, you toyed with a toy heart

Now darling my time will come some day
Time alone will heal my broken heart
The clouds will roll away, 
The sun will shine someday
Darling, you toyed with a toy hear

Now darling you know you've done me wrong
Your love for me has passed and gone
I'll find somebody new, 
I hope that they'll be true
Darling you toyed with a toy heart
",Toy Heart,1991
Buddy Spicher,"Somewhere over the rainbow, way up high
There's a land that I've heard of once in a lullaby.
Somewhere over the rainbow, skies are blue
And the dreams that you dare to dream,
Really do come true.

Someday I'll wish upon a star
And wake up where the clouds are far behind me.
Where troubles melt like lemon drops,
High above the chimney tops,
That's where you'll find me.

Somewhere over the rainbow, blue birds fly
Birds fly over the rainbow
Why then, oh why can't I?
If happy little bluebirds fly beyond the rainbow
Why, oh why can't I?

Somewhere over the rainbow, way up high
There's a land that I've heard of once in a lullaby.
Somewhere over the rainbow, skies are blue
And the dreams that you dare to dream,
Really do come true.

Someday I'll wish upon a star
And wake up where the clouds are far behind me.
Where troubles melt like lemon drops,
High above the chimney tops,
That's where you'll find me.

Somewhere over the rainbow, blue birds fly
Birds fly over the rainbow
Why then, oh why can't I?
If happy little bluebirds fly beyond the rainbow
Why, oh why can't I?",Over the Rainbow,1992
Buddy Spicher & Benny Martin,"Somewhere over the rainbow, way up high
There's a land that I've heard of once in a lullaby.
Somewhere over the rainbow, skies are blue
And the dreams that you dare to dream,
Really do come true.

Someday I'll wish upon a star
And wake up where the clouds are far behind me.
Where troubles melt like lemon drops,
High above the chimney tops,
That's where you'll find me.

Somewhere over the rainbow, blue birds fly
Birds fly over the rainbow
Why then, oh why can't I?
If happy little bluebirds fly beyond the rainbow
Why, oh why can't I?

Somewhere over the rainbow, way up high
There's a land that I've heard of once in a lullaby.
Somewhere over the rainbow, skies are blue
And the dreams that you dare to dream,
Really do come true.

Someday I'll wish upon a star
And wake up where the clouds are far behind me.
Where troubles melt like lemon drops,
High above the chimney tops,
That's where you'll find me.

Somewhere over the rainbow, blue birds fly
Birds fly over the rainbow
Why then, oh why can't I?
If happy little bluebirds fly beyond the rainbow
Why, oh why can't I?",Over the Rainbow,2000
Buddy Stewart,"Did you ever get that feeling in the moonlight
That wonderful feeling that you want to be kissed
You're strolling through the park, the stars so bright above
You'd love to love somebody, but there's nobody there to love

Did you ever get that longing on a June night
That wonderful longing you can never resist
Did you ever get that feeling in the moonlight
That feeling that says you want to be kissed

(Tell me honestly ... did you ever get that feelin' in the moonlight)
(Wonderful feeling that you wanna be kissed)
(You're strolling in the park, stars so bright above)
(You'd love to love somebody, but there's no one to love)

(Did you ever get that longing on a June night)
(Wonderful longing you can't resist)
(Did you ever get that feelin' in the moonlight)
(That feeling that says you wanna to be kissed)

Did you ever get that feeling in the moonlight
That wonderful feeling that you want to be kissed
You're strolling through the park, the stars so bright above
You'd love to love somebody, but there's nobody there to love

Did you ever get that longing on a June night
That wonderful longing you can never resist
Did you ever get that feeling in the moonlight
That feeling that says you want to be kissed

(That certain feelin!)
(Feelin' that says you wanna be kissed!)
They said that feeling!
That feeling that says you wanna to be kissed",(Did You Ever Get) That Feeling In The Moonlight?,
Buddy Stewart,"Every day, along about evening
When the sunlight's beginning to pale
I ride through the slumbering shadows

Along the Navajo Trail
When it's night and crickets are callin'
And coyotes are makin' a wail
I dream by a smoldering fire
Along the Navajo Trail

I love to lie and listen to the music
When the wind is strummin' a sagebrush guitar
When over yonder hill the moon is climbin'
It always finds me wishin' on a star
Well what a ya know, it's mornin' already
There's the dawnin', so silver and pale
It's time to climb into my saddle
And ride the Navajo Trail

I love to lie and listen to the music
When the wind is strummin' a sagebrush guitar
When over yonder hill the moon is climbin'
It always finds me wishin' on a star
Well what a ya know, it's mornin' already
There's the dawnin', so silver and pale (like a silvery veil)
It's time to climb into my saddle

And ride the Navajo Trail
Ride the Navajo Trail
Ride the Navajo Trail",Along the Navajo Trail,2001
Buddy Stewart,"In the middle of May
I met a gal named June;
Took her out in July,
And 'neath an August moon,

And all through Sept'
I kept admiring her charms,
And all through Oct'
We were locked in each other's arms!

From November to Jan'
The runaround began!
February and March,
I was a worried man!

It wasn't till April
That she said okay,
And we were married
In the middle of May.

In the middle of May
He met a gal named June;
Took her out in July,
And 'neath an August moon,

And all through Sept'
He kept admiring her charms,
And all through Oct'
They were locked in each other's arms!

From November to Jan'
The runaround began!
February and March,
He was such a worried man!

It wasn't till April,
That's the day she said okay,
And they were married
In the middle of May.",In the Middle of May,2001
Buddy Stewart,"Did you ever get that feeling in the moonlight
That wonderful feeling that you want to be kissed
You're strolling through the park, the stars so bright above
You'd love to love somebody, but there's nobody there to love

Did you ever get that longing on a June night
That wonderful longing you can never resist
Did you ever get that feeling in the moonlight
That feeling that says you want to be kissed

(Tell me honestly, did you ever get that feelin' in the moonlight)
(Wonderful feeling that you wanna be kissed)
(You're strolling in the park, stars so bright above)
(You'd love to love somebody, but there's no one to love)

(Did you ever get that longing on a June night)
(Wonderful longing you can't resist)
(Did you ever get that feelin' in the moonlight)
(That feeling that says you wanna to be kissed)

Did you ever get that feeling in the moonlight
That wonderful feeling that you want to be kissed
You're strolling through the park, the stars so bright above
You'd love to love somebody, but there's nobody there to love

Did you ever get that longing on a June night
That wonderful longing you can never resist
Did you ever get that feeling in the moonlight
That feeling that says you want to be kissed

(That certain feelin)
(Feelin' that says you wanna be kissed)
They said that feeling!
That feeling that says you wanna to be kissed",That Feeling in the Moonlight,2001
Buddy Tate,"I've flown around the world in a plane 
I've settled revolutions in Spain 
And the North Pole I have charted 
Still I can't get started with you 

On the golf course, I'm under par 
Metro Goldwyn have asked me to star 
I've got a house, a showplace 
Still I can't get no place with you 

'Cause you're so supreme 
Lyrics I write of you, I dream 
Dream day and night of you 
And I scheme just for the sight of you 
Baby, what good does it do? 

I've been consulted by Franklin D 
Greta Garbo has had me to tea 
Still I'm broken-hearted",I Can't Get Started,
Buddy Tate,"I'm in the mood for love
Simply because you're near me.
Funny, but when you're near me
I'm in the mood for love.

Heaven is in your eyes
Bright as the stars we're under
Oh! Is it any wonder
I'm in the mood for love?

Why stop to think of whether
This little dream might fade?
We've put our hearts together
Now we are one, I'm not afraid!

If there's a cloud above
If it should rain we'll let it
But for tonight, forget it!
I'm in the mood for love",I'm in the Mood for Love,
Buddy Tate,"East of the sun and west of the moon
We'll build a dream house of love dear
Close to the sun in the day
Near to the moon at night
We'll live in a lovely way dear
Sharing our love in the pale moonlight

Just you and I, 
Forever and a day
Love will not die, 
We'll keep it that way
Up among the stars 
We'll find a harmony of life to a lovely tune
East of the sun and west of the moon dear
East of the sun and west of the moon",East of the Sun,1962
