Band,Lyrics,Song,Year
Titãs,"Não posso mais viver assim ao
Seu ladinho
Por isso colo meu ouvido no
Radinho
De pilha
Pra te sintonizar
Sozinha numa ilha
Sonífera ilha
Descansa meus olhos
Sossega minha boca
Me enche de luz",Sonifera Ilha,1999
Titãs,"Só sorriu depois
Do que chorou na véspera
Com a mão na testa
Os olhos enxugou
Sabe que sorrir é bom
E quem não detesta
Sofrer a espera
De quem sempre amou
Há sempre
A pequena chance
Do impossível rolar
Soterrar o mundo inteiro
Com um avalanche
Só pra que possa sobrar
Apenas eu e você
Bastaria pra que todo o mundo
Houvesse em qualquer lugar

Só sorriu depois
Do que chorou na véspera
Com a mão na testa
Os olhos enxugou
Sabe que sorrir é bom
E quem não detesta
Sofrer a espera
De quem sempre amou
Há sempre
A pequena chance
Do impossível rolar
Soterrar o mundo inteiro
Com um avalanche
Só pra que possa sobrar
Apenas eu e você
Bastaria pra que todo o mundo
Houvesse em qualquer lugar",Sua Impossivel Chance,1999
Titãs,"O telefone tocou
Fui atender
Na madrugada
Quero estar com você
Eu preciso de você agora
Por favor meu bem não vá embora
O tempo vai passando nos relógios
Encontro os seus beijos toda hora
Segundo por segundo na memória
Toda cor
Me lembra os seus olhos
Eu sei que vou, eu quero te encontrar
Eu preciso de você agora
Por favor meu bem não vá embora",Toda Cor,1999
Titãs,"A solução pro nosso povo eu vou dar
Negócio bom assim ninguém nunca viu
Tá tudo pronto aqui é só vim pegar
A solução é alugar o Brasil

Nóis não vamo paga nada, lá, lá, lá lá
Nóis não vamo paga nada
É tudo free, tá na hora
Agora é free, vamo embora
Dar lugar pros gringo entrar
Que esse imóvel tá pra alugar

Os estrangeiros sei que Ellis vão gostar 
Tem o atlântico tem vista pro mar
A Amazônia é o jardim do quintal
E o dólar deles paga o nosso mingau

Nóis não vamo paga nada, lá, lá, lá lá
Nóis não vamo paga nada
É tudo free, tá na hora
Agora é free, vamo embora
Dar lugar pros gringo entrar
Que esse imóvel tá pra alugar",Aluga-Se,2000
Titãs,"Eu quero levar
Uma vida moderninha
Deixar minha menininha
Sair sozinha
Não ser machista
E não bancar o possessivo
Ser mais seguro
E não ser tão impulsivo

Mas eu me mordo de ciúme
Mas eu me mordo de ciúme

Meu bem me deixa
Sempre muito à vontade
Ela me diz que é muito bom
Ter liberdade
E que não há mal nenhum
Em ter outra amizade
E que brigar por isso
É muita crueldade

Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme

Meu bem me deixa
Sempre muito à vontade
Ela me diz que é muito bom
Ter liberdade
E que não há mal nenhum
Em ter outra amizade
E que brigar por isso
É muita crueldade
Hiê! Hiê! Hiê!

Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme
Mas eu me mordo de ciúme",Ciúme,2000
Titãs,"Nem sei porque você se foi
Quantas saudades eu senti
E de tristezas vou viver
E aquele adeus, não pude dar
Você marcou em minha vida
Viveu, morreu na minha história
Chego a ter medo do futuro
E da solidão, que em minha porta bate

E eu
Gostava tanto de você
Gostava tanto de você

Eu corro fujo desta sombra
Em sonhos vejo este passado
E na parede do meu quarto
Ainda está o seu retrato
Não quero ver pra não lembrar
Pensei até em me mudar
Lugar qualquer que não exista 
O pensamento em você

E eu
Gostava tanto de você
Gostava tanto de você",Gostava Tanto de Você,2000
Titãs,"Mina teus cabelo e da hora
Seu corpão violão, meu docinho de coco
Tá me deixando louco, minha brasília amarela
Tá de portas abertas, pra mó de gente se amar
Pelados em santos, pois você minha pitxula
Me deixa legalzão, não me sinto sozinho
Você é meu chuchuzinho! music is very good
Mais comigo ela não quer se casar
Na brasília amarela com roda gaúcha ela não quer entrar
Feijão com jabá a desgraçada não quer compartilhar
Mas ela linda, muito mais do que linda, very, very, beautiful
Você me deixa doidão

Mina teus cabelo é da hora
Seu corpão violão, meu docinho de coco
Tá me deixando louco, minha brasília amarela
Tá de portas abertas, pra mó de a gente se amar
Pelados em santos, pois você minha pitxula
Me deixa legalzão, não me sinto sozinho
Você é meu chuchuzinho! music is very good
Pro Paraguai ela não quis viajar
Comprei um Reebok e uma calça Fiorucci ela não quis usar
Eu não sei o que faço pra essa mulher eu conquistar
Porque ela linda muito mais do que linda",Pelados Em Santos,2000
Titãs,"Querem acabar comigo
Nem eu mesmo sei porque
Enquanto eu tiver você aqui
Ninguém poderá me destruir

Querem acabar comigo
Isso eu não vou deixar
Me abrace assim, me olhe assim
Não vá ficar, longe de mim

Pois enquanto eu tiver você comigo
Sou mais forte para mim não há perigo
Você está aqui, e eu estou também
E com você eu não temo ninguém

Querem acabar comigo
Nem eu mesmo sei porque
Enquanto eu tiver você aqui
Ninguém poderá me destruir

Pois enquanto eu tiver você comigo
Sou mais forte para mim não há perigo
Você sabe bem de onde eu venho
E no coração o que eu tenho
Tenho muito amor que é só o que interessa
Fique sempre aqui pois a verdade é essa

Querem acabar comigo
Nem eu mesmo sei porque
Enquanto eu tiver você aqui
Ninguém poderá me destruir

Querem acabar comigo
Isso eu não vou deixar
Me abrace assim, me olhe assim
Não vá ficar longe de mim

Querem acabar comigo
Nem eu mesmo sei porque
Querem acabar comigo
Nem eu mesmo sei porque",Querem Acabar Comigo,2000
Titãs,"Já me acostumei com a tua voz
Com teu rosto e teu olhar
Me partiram em dois
E procuro agora o que é minha metade

Quando não estás aqui
Sinto falta de mim mesmo
E sinto falta do meu corpo junto ao teu

Meu coração é tão tosco e tão pobre
Não sabe ainda os caminhos do mundo

Quando não estás aqui
Sinto medo de mim mesmo
E sinto falta do teu corpo junto ao meu

Vem depressa pra mim
Que eu não sei esperar
Já fizemos promessas demais
E já me acostumei com a tua voz
Quando estou contigo estou em paz
Quando não estás aqui
Meu espirito se perde, voa longe",Sete Cidades,2000
Titãs,"Quis evitar
Teus olhos
Mas não pude reagir
Fico à vontade então

Acho que é
bobagem
A mania de fingir
Negando a intenção

Quando um certo alguém
Cruzou o teu caminho
E te mudou a direção

Chego a ficar
sem jeito
Mas não deixo de seguir
A tua aparição

Quando um certo alguém
Desperta o sentimento
É melhor não resistir
E se entregar

Me dê a mão
Vem ser a minha estrela
Complicação
Tão fácil de entender
Vamos dançar
Luzir a madrugada
Inspiração
Pra tudo o que eu viver

Quando um certo alguém
Desperta o sentimento
É melhor não resistir
E se entregar

Me dê a mão
Vem ser a minha estrela
Complicação
Tão fácil de entender
Vamos dançar
Luzir a madrugada
Inspiração
Pra tudo o que eu viver",Um Certo Alguém,2000
