Band,Lyrics,Song,Year
Mägo de Oz,"Si has perdido la fe 
Si vas a abandonar
Si no encuentras tu sitio
Si estás sola
Si el fracaso se entera 
De tu dirección

Si lloraste al caer 
Ríete al levantar
Si una pena estrangula 
Tu mirada
Desmaquilla tus ojos
Que los bese el sol

Sé bien lo que duele perder 
El norte y no encontrar 
Tu sitio, tu lugar

Sigue la luz sino encuentras el camino
Sigue la luz que se esconde en tu interior
Aprende a volar con las alas del destino
Aprende a soñar y podrás tener el sol ¡oh! 

Si llegaste a olvidar 
A que sabe el reír
Si olvidaste regar 
Una promesa
Plántale algunas flores 
A tu corazón

Si has dejado morir 
Sueños por realizar
Si la melancolía 
Es tu condena
Líbrate de cadenas 
Y ponte a vivir

Serás lo que tú quieras ser 
Yo te acompañaré 
No hay nada que perder

Sigue la luz sino encuentras el camino

Sigue la luz sino encuentras el camino
Sigue la luz que se esconde en tu interior
Aprende a volar con las alas del destino
Aprende a soñar y podrás tener el sol
¡oh!",Sigue La Luz,2012
Mägo de Oz,"Ahora que me he quedado solo, que me queda poco de ti
Solamente la culpa y un futuro que yo vendí
Ahora que se ha acabado todo, casi antes de comenzar
Voy buscando algunas respuestas pues no paro de preguntar

¿Quién prescribe las pócimas de amor? 
Pa curarme de mi y lo que soy
¿Quién receta sonrisas por perder y dejar ir? 
Lo único que yo amé

Y a pesar de que no estás, te llevo cosida a mi piel
Tu recuerdo se ha instalado en mi a vivir
Y aunque nunca volverás, busco en el trastero de mi 
Ese beso abandonado que nunca te di

Ahora que vivo en el olvido. Ahora que vivo en el ayer
Que mi corazón se ha partido en miles de trocitos de ti

¿Dónde esta la sonrisa que olvidé? 
Solo queda la mueca que inventé
¿Quién derriba los muros que hace tiempo levante 
Para esconderme de mí? 

Y a pesar de que no estás, te llevo cosida a mi piel
Tu recuerdo se ha instalado en mi a vivir
Y aunque nunca volverás, busco en el trastero de mi 
Ese beso abandonado que nunca te di

¿Quién prescribe las pócimas de amor? 
Pa curarme de mi y lo que soy
¿Quién receta sonrisas por perder y dejar ir? 
Lo único que yo amé

Y a pesar de que no estás, te llevo cosida a mi piel
Tu recuerdo se ha instalado en mi a vivir
Y aunque nunca volverás, busco en el trastero de mi 
Ese beso abandonado que nunca te di",Xanandra,2012
Mägo de Oz,"Cuando despiertes un día 
Y sientas que no puedas más 
Que en el nombre del de arriba tu vida van a manejar
Si sientes que el miedo se pega a tu piel 
Por ser comunero y justicia querer 
Si te rindes hermano, por ti nunca pensarás 

Cuando vayan a pedirte los diezmos a fin de mes 
Y la santa inquisición te ""invite"" a confesar 
Por eso amigo tú alza la voz 
Di que nunca pediste opinión 
Y si es verdad que existe un Dios que trabaje de sol a sol 

Ponte en pie, alza el puño y ven 
A la fiesta pagana, en la hoguera hay de beber 
De la misma condición, no es el pueblo ni un señor 
Ellos tienen el clero y nosotros nuestro sudor 

Si no hay pan para los tuyos 
Y ves muy gordo al abad 
Si su virgen viste de oro, desnúdala 
Cómo van a silenciar al jilguero o al canario 
Si no hay cárcel ni tumba para el canto libertario 

Ponte en pie, alza el puño y ven 
A la fiesta pagana, en la hoguera hay de beber 
De la misma condición, no es el pueblo ni un señor 
Ellos tienen el clero y nosotros nuestro sudor 

Ponte en pie, alza el puño y ven 
A la fiesta pagana, en la hoguera hay de beber 
De la misma condición, no es el pueblo ni un señor 
Ellos tienen el clero y nosotros nuestro sudor 

Ponte en pie, alza el puño y ven 
A la fiesta pagana, en la hoguera hay de beber 
De la misma condición, no es el pueblo ni un señor 
Ellos tienen el clero y nosotros nuestro sudor 

Ah ah ah ah
Ah ah ah
Ah ah ah ah ah ah ah
Ah ah ah ah
Ah ah ah
Ah ah ah ah ah ah ah",Fiesta Pagana 2.0,2013
Mägo de Oz,"Si has llegado aquí 
Si has sabido encontrar este, sitio este lugar 
No te eches atrás 
Déjate guiar por mi voz y verás que los sueños se pueden cumplir 

Sólo has de olvidar todo cuanto aprendiste ayer 
Sólo has de dejar tu inocencia brotar 

Si crees en mí yo haré que todo sea
Del mismo color que el de la eternidad 

Si olvidaste sonreír
Si olvidaste que una risa te puede curar 
Del mal, de soledad 
Ven y acércate, volaremos a un mundo distinto, a otra realidad 

Sólo has de llevar de equipaje sonrisas 
Y por mapa tú tendrás solo imaginación 

Dentro de ti se abrirán puertas 
Lleva una brújula para encontrar risas 

Somos de una lugar donde nadie nos puede encontrar 
Ven, despiértanos y no te arrepentirás 
Los aplausos que tú nos des han de bastar 
Para volver del más allá 

Somos de un tiempo de brujas y hadas 
Somos los hijos de la rebelión 
Los condenados por anhelar la libertad 
Di abracadabra y nos tendrás 

Somos de una lugar donde nadie nos puede encontrar 
Ven, despiértanos y no te arrepentirás 
Los aplausos que tus nos des han de bastar 
Para volver del más allá 

Somos de un tiempo de brujas y hadas 
Somos los hijos de la rebelión 
Los condenados por anhelar la libertad 
Di abracadabra y nos tendrás",Abracadabra,2014
Mägo de Oz,"Soy la voz del miedo y del adiós y soy principio 
Y fin soy frió y calor 
Yo soy el príncipe de toda soledad
Sígueme no hay nada que perder 
Si quieres ser feliz podemos construir algunos 
Puentes mágicos a otro lugar 

Yo soy el miedo a envejecer 
Soy partida de ajedrez 
Que tu alma juegan por ser inmortal 

Ven a mí el cielo te puede esperar, rézame 
Y no morirás, el dolor de perder se escurrirá, es tu 
Vida si te entregas al fin a mi 

Soy la paz soy guerra y al final soy lo que piensas 
Tu amor llanto y dolor 
Soy la manzana envenenada del edén
Entra en mi te llevare a un lugar 
Donde se esconde el mal donde las lágrimas
Son prisioneras y su cárcel es el mar 

La vida es solo una ilusión 
Un espejismo fue dolor 
Que el sueño eterno ara cicatrizar 

Ven a mí el cielo te puede esperar, rézame 
Y no morirás
El dolor de perder se escurrirá
Es tu vida si te entregas al fin 

Ven recuéstate en mí y el dolor se dormirá 
Entrégame tu alma ven ahógate en mi 
Te llenare de ausencias los recuerdos del ayer 
Para asesinar nostalgias de tu ser 

Yo te doy la eterna solución te libro desde hoy de todo tu pecar 
Invocame por que la santa muerte soy

Ven a mí el cielo te puede esperar
Rézame y no morirás
El dolor de perder se escurrirá
Es tu vida si te entregas al fin 

Ven a mí el cielo te puede esperar
Rézame y no morirás
El dolor de perder se escurrirá 
Es tu vida si te entregas al fin",Cadaveria,2014
Mägo de Oz,"Llueve luz en mí de una vega sideral 
Explosiones de alguna estrella fugaz 
Viajaré a mi ser desdoblándome de mí 
Agujeros negros se burlan de ti 

Implosionaré traspasando el umbral 
De otra dimensión de luna bifocal 

Lágrimas de un unicornio y un dragón 
Juegan con mi nave cerca del colchón 
He viajado sobre la luna de orión 
Puente aéreo hacia la realidad 
Pidiendo permiso para aterrizar",Constelación Alpha DCI,2014
Mägo de Oz,"En un barrio de obreros crecí 
Y ahí fue donde aprendí 
Que en la vida siempre hay luchar sin parar 
Sin parar 

En la escuela yo nunca aprendí 
Pues las calles fueron mi único tutor 
En el parque yo me gradué en chicas y 
Rock and roll 

De los curas salvando mi piel ese honor 
Con el que te envenena cualquier religión 

Soy lo que todos esperan de mí 
De la piel del Diablo yo soy 
De una estirpe que está por venir 
Que empieza por ti 

Hasta que un día me enamoré 
Y puse precio a mi piel 
Y casi dejo la música y mi alma 
Por las piernas de una mujer 

No hay beso más poderoso 
Que el de una canción 
No hay corazón que no arda 
Al oír rock and roll 

Soy lo que todos esperan de mí 
De la piel del Diablo yo soy 
De una estirpe que está por venir 
Que empieza por ti 

Soy el guardián de las noches en ti 
De la piel del Diablo yo soy 
El canalla que muere por ti 
Si tú te vas 

Soy lo que todos esperan de mí 
De la piel del Diablo yo soy 
De una estirpe que está por venir 
Que empieza por ti 

Soy el guardián de las noches en ti 
De la piel del Diablo yo soy 
El canalla que muere por ti 
Si tú te vas 

Soy la piel del Diablo yo soy",De la piel del Diablo,2014
Mägo de Oz,"“Erro pernitionis 
Venenum pro timai 
Vade satan 
In vento del magister 
Omnis fallacia 
Ostis manais salutis 
Ilussia” 

Ahora que ha acabado todo, sé que hoy voy a morir 
Y sé que la sentencia sobre mí, es muerte, soledad
Tengo miedo, pues ya oigo su voz

Hoy el sol se ha derretido en mí
La luna ayer se ahogó
Se ahorcaron las estrellas 
Colgándose de mí

La inocencia ha venido a por mí 
Vestida de mi ayer
Con la mirada de un adiós 
Del niño que yo fui

Mi condena es la soledad
Y no morir, y no vivir
Y mi pena es la eternidad
El tiempo escolta mi sufrir

Bienvenido seas al infierno 
Donde podrás llorar
Donde el dolor se escurrirá llenándose de ti

Bienvenido amigo al fuego eterno 
Donde podrás pagar
Donde la luz se suicidó y ahora es oscuridad

“Ilussia 
Invocamus 
Divinus domine 

Ilussia 
Divinus 
Oh sanctus kyrie” 

Si pudiera volver a empezar
Si pudiera cambiar 
Todo aquello que olvidé 
Por querer sobrevivir

Y aunque tarde, no puedo evitar 
Acordarme hoy de ti
Te abandoné y me emborraché 
Saciándose de vivir

Grita ausencias en mí tu voz
Susurra muerte el viento en mí

Bienvenido seas al infierno
Donde podrás llorar
Donde el dolor se escurrirá llenándose de ti

Bienvenido amigo al fuego eterno 
Donde podrás pagar
Donde la luz se suicidó y ahora es oscuridad

“Io sono la voce
Il canto dall’inferno
Io sono il bacio
Della morte in voi

Io sono Lilith
Il bacio dell’inferno
Se me idolatrare 
Mai moriras” 

“Ilussia 
Invocamus 
Divinus domine 

Ilussia 
Divinus 
Oh sanctus kyrie” 

“Ilussia 
Invocamus 
Divinus domine 

Ilussia 
Divinus 
Oh sanctus kyrie” 

Sobre el arcoíris ya no queda sitio para mí
El camino a las estrellas hace tiempo que cerró
Sólo existe un sitio para mí

Bienvenido seas al infierno 
Donde podrás llorar
Donde el dolor se escurrirá llenándose de ti

Bienvenido amigo al fuego eterno 
Donde podrás pagar
Donde la luz se suicidó y ahora es oscuridad

“Ilussia 
Invocamus 
Divinus domine 

Ilussia 
Divinus 
Oh sanctus kyrie” 

“Ilussia 
Invocamus 
Divinus domine 

Ilussia 
Divinus 
Oh sanctus kyrie” 

“Ilussia 
Invocamus 
Oh sanctus kyrie”",Ilussia,2014
Mägo de Oz,"Mi primer poema lo escribí a perder mi gran amor 
La primera letra que escribí fue la carta en la que dije adiós 
La primera estrofa que canté fueron llantos al nacer 
Por los gritos cuentan que elegí por nana un rock & roll 

Desde que tengo razón 
ella ha sido mi consuelo, ella es mi voz 

No voy a dejarte nunca pues tú eres mi amor 
No voy a olvidarte mientras viva 
No te cambiaré, tú eres mi primer amor 
Pues mi casa es una canción 

El primer qué país al que viaje lo hice sin mover los pies 
Una melodía me llevo de turismo hacia mi vos 
La primera vez que dije amor mi alma hablo por mí 
La primera vez que me vendí mi guitarra se rompió 

Pentagramas en mi piel
tatuando me destrozas mi canción 

No voy a dejarte nunca pues tú eres mi amor 
No voy a olvidarte mientras viva 
No te cambiaré, tú eres mi primer amor 
Pues mi casa es una canción  

Si abandonas una melodía, un verso, una canción 
Se te cubrirá de soledad tu rock 

No voy a dejarte nunca pues tú eres mi amor 
No voy a olvidarte mientras viva 
No te cambiaré, tú eres mi primer amor 
Pues mi casa es una canción 

No voy a olvidarte nunca, solo abrázame 
Entre versos se anida mi voz 
Y si he de morir, que me entierren junto a ti 
Sobre el ataúd de una canción",Melodian,2014
Mägo de Oz,"Hay tantas cosas que no te di 
Tantos besos que me perdí 
Que aplace por crecer, por vivir 
Hoy yo te quiero pedir perdón 
Por no ser un hijo mejor 
Y olvidar que sin ti no soy yo 
Nunca te alejes de mí 
Estoy solo y no sé qué camino elegir 
Sigo siendo el niño aquel 
Aunque estés lejos de mí 
Yo te llevo en mi piel 
Yo he salido de ti 
Moriré siendo de ti 
Mmmmm, mmmmmm, mmmmm 

(patricia tapia) 

Sé que en tu pelo ayer nevó 
Que tus canas te las pinto 
El reloj, con el tinte de una flor 
Ven que se escurra la soledad 
Por tu sonrisa y no volverá 
Pues tu piel todavía huele a el 

Nunca te alejes de mí 
Estoy solo y no sé qué camino elegir 
Sigo siendo el niño aquel 
Aunque estés lejos de mí 
Yo te llevo en mi piel 
Yo he salido de ti 
Moriré siendo de ti",Moriré siendo de ti,2014
