"year","ranking","artist","title"
1965,11,"The Beach Boys","Help Me, Rhonda"
1965,12,"Roger Miller","King of the Road"
1965,13,"Jewel Akens","The Birds and the Bees"
1965,14,"Mel Carter","Hold Me, Thrill Me, Kiss Me"
1965,15,"Junior Walker & the All Stars","Shotgun"
1965,16,"Sonny & Cher","I Got You Babe"
1965,17,"Gary Lewis & the Playboys","This Diamond Ring"
1965,18,"Ramsey Lewis Trio","The 'In' Crowd"
1965,19,"Herman's Hermits","Mrs. Brown, You've Got a Lovely Daughter"
1965,20,"The Supremes","Stop! In the Name of Love"
1965,21,"The Righteous Brothers","Unchained Melody"
1965,22,"Herman's Hermits","Silhouettes"
1965,23,"The Seekers","I'll Never Find Another You"
1965,24,"Jay and the Americans","Cara Mia"
1965,25,"The Byrds","Mr. Tambourine Man"
1965,26,"Sounds Orchestral","Cast Your Fate to the Wind"
1965,27,"Barbara Mason","Yes, I'm Ready"
1965,28,"Tom Jones","What's New Pussycat?"
1965,29,"Barry McGuire","Eve of Destruction"
1965,30,"The McCoys","Hang On Sloopy"
1965,31,"The Beatles","Ticket to Ride"
1965,32,"Bert Kaempfert","Red Roses for a Blue Lady"
1965,33,"James Brown","Papa's Got a Brand New Bag"
1965,34,"Wayne Fontana & The Mindbenders","Game of Love"
1965,35,"Shirley Ellis","The Name Game"
1965,36,"Petula Clark","I Know a Place"
1965,37,"The Supremes","Back in My Arms Again"
1965,38,"Barbara Lewis","Baby I'm Yours"
1965,39,"The Kingsmen","The Jolly Green Giant"
1965,40,"Patti Page","Hush, Hush, Sweet Charlotte"
1965,41,"Bob Dylan","Like a Rolling Stone"
1965,42,"Freddie and the Dreamers","I'm Telling You Now"
1965,43,"Gerry and the Pacemakers","Ferry Cross the Mersey"
1965,44,"The Righteous Brothers","Just Once in My Life"
1965,45,"Johnny Rivers","The Seventh Son"
1965,46,"Herman's Hermits","I'm Henry the Eighth, I Am"
1965,47,"Horst Jankowski","A Walk in the Black Forest"
1965,48,"The Yardbirds","For Your Love"
1965,49,"The Beach Boys","California Girls"
1965,50,"The Moody Blues","Go Now"
1965,51,"Shirley Bassey","Goldfinger"
1965,52,"Billy Joe Royal","Down in the Boondocks"
1965,53,"Glenn Yarbrough","Baby the Rain Must Fall"
